Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Bali,Denpasar,Denpasar Utara,Pemecutan Kaja,80118
Bali,Denpasar,Denpasar Barat,Padangsambian Kaja,80117
Bali,Denpasar,Denpasar Barat,Padangsambian Klod/Kelod,80117
Bali,Jembrana,Pekutatan,Pulukan,82262
Bali,Jembrana,Pekutatan,Pekutatan,82262
Bali,Jembrana,Pekutatan,Pengeragoan (Pengragoan),82262
Bali,Jembrana,Pekutatan,Pulukan,82262
Bali,Jembrana,Pekutatan,Pekutatan,82262
Bali,Jembrana,Pekutatan,Pengeragoan (Pengragoan),82262
Bali,Jembrana,Melaya,Tuwed,82252
Bali,Jembrana,Melaya,Nusa Sari,82252
Bali,Jembrana,Melaya,Tukadaya,82252
Bali,Jembrana,Negara,Banyubiru,82218
Bali,Jembrana,Negara,Berangbang,82218
Bali,Jembrana,Jembrana,Batuagung,82218
Bali,Tabanan,Baturiti,Antapan,82191
Bali,Tabanan,Baturiti,Apuan,82191
Bali,Tabanan,Baturiti,Angseri,82191
Bali,Tabanan,Pupuan,Sanda,82163
Bali,Tabanan,Pupuan,Padangan,82163
Bali,Tabanan,Pupuan,Pajahan,82163
Bali,Tabanan,Selemadeg / Salemadeg Barat,Mundeh,82162
Bali,Tabanan,Selemadeg / Salemadeg Barat,Mundeh Kangin,82162
Bali,Tabanan,Selemadeg / Salemadeg Barat,Mundeh Kauh,82162
Bali,Tabanan,Selemadeg,Antap,82162
Bali,Tabanan,Selemadeg / Salemadeg Barat,Angkah,82162
Bali,Tabanan,Kerambitan,Tibu Biu (Tibubiyu),82161
Bali,Tabanan,Penebel,Sangketan,82152
Bali,Tabanan,Penebel,Senganan,82152
Bali,Tabanan,Penebel,Tajen,82152
Bali,Tabanan,Kediri,Nyambu,82121
Bali,Tabanan,Kediri,Nyitdah,82121
Bali,Tabanan,Kediri,Kaba-Kaba,82121
Bali,Tabanan,Tabanan,Wanasari,82111
Bali,Tabanan,Tabanan,Dauh Peken,82111
Bali,Buleleng,Tejakula,Tembok,81173
Bali,Buleleng,Kubutambahan,Bulian,81172
Bali,Buleleng,Kubutambahan,Bukti,81172
Bali,Buleleng,Kubutambahan,Bila,81172
Bali,Buleleng,Sukasada,Wanagiri,81161
Bali,Buleleng,Sukasada,Sukasada,81161
Bali,Buleleng,Sukasada,Silangjana,81161
Bali,Buleleng,Gerokgak,Pengulon,81155
Bali,Buleleng,Gerokgak,Penyabangan,81155
Bali,Buleleng,Gerokgak,Patas,81155
Bali,Buleleng,Busungbiu,Bongancina,81154
Bali,Buleleng,Busungbiu,Busungbiu,81154
Bali,Buleleng,Busungbiu,Bengkel,81154
Bali,Buleleng,Seririt,Kalianget,81153
Bali,Buleleng,Seririt,Bubunan,81153
Bali,Buleleng,Seririt,Banjar Asem,81153
Bali,Buleleng,Banjar,Banjar Tegeha,81152
Bali,Buleleng,Buleleng,Tukadmungga,81119
