Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Bangka Belitung,Pangkal Pinang,Gerunggang,Tua Tunu indah,33124
Bangka Belitung,Pangkal Pinang,Gerunggang,Kacang Pedang,33125
Bangka Belitung,Pangkal Pinang,Taman Sari,Kejaksaan,33123
Bangka Belitung,Bangka Selatan,Lepar Pongok,Tanjung Sangkar,33791
Bangka Belitung,Bangka Selatan,Lepar Pongok,Tanjung Labu,33791
Bangka Belitung,Bangka Selatan,Kepulauan Pongok,Pongok,33791
Bangka Belitung,Bangka Selatan,Lepar Pongok,Tanjung Sangkar,33791
Bangka Belitung,Bangka Selatan,Lepar Pongok,Tanjung Labu,33791
Bangka Belitung,Bangka Selatan,Kepulauan Pongok,Pongok,33791
Bangka Belitung,Bangka Selatan,Tukak Sadai,Bukit Terap,33783
Bangka Belitung,Bangka Selatan,Toboali,Bikang,33783
Bangka Belitung,Bangka Selatan,Air Gegas,Tepus,33782
Bangka Belitung,Bangka Selatan,Payung,Nadung,33778
Bangka Belitung,Bangka Selatan,Payung,Malik,33778
Bangka Belitung,Bangka Selatan,Payung,Irat,33778
Bangka Belitung,Bangka Tengah,Pangkalan Baru,Jeruk,33684
Bangka Belitung,Bangka Tengah,Namang,Jelutung,33684
Bangka Belitung,Bangka Tengah,Pangkalan Baru,Dul,33684
Bangka Belitung,Bangka Tengah,Lubuk Besar,Lubuk Lingkuk,33681
Bangka Belitung,Bangka Tengah,Koba,Kurau Barat,33681
Bangka Belitung,Bangka Tengah,Koba,Kurau (Timur),33681
Bangka Belitung,Bangka Tengah,Sungai Selan,Keretak Atas,33675
Bangka Belitung,Bangka Tengah,Sungai Selan,Lampur,33675
Bangka Belitung,Bangka Tengah,Sungai Selan,Kerantai,33675
Bangka Belitung,Belitung Timur,Damar,Burung Mandi,33571
Bangka Belitung,Belitung Timur,Kelapa Kampit,Cendil,33571
Bangka Belitung,Belitung Timur,Kelapa Kampit,Buding,33571
Bangka Belitung,Belitung Timur,Dendang,Jangkang,33561
Bangka Belitung,Belitung Timur,Dendang,Balok,33561
Bangka Belitung,Belitung Timur,Dendang,Dendang,33561
Bangka Belitung,Belitung,Membalong,Simpang Rusa,33452
Bangka Belitung,Belitung,Membalong,Pulau Seliu,33452
Bangka Belitung,Belitung,Membalong,Pulau Sumedang,33452
Bangka Belitung,Belitung,Sijuk,Terong,33414
Bangka Belitung,Belitung,Sijuk,Tanjung Binga,33414
Bangka Belitung,Belitung,Sijuk,Tanjong Tinggi,33414
Bangka Belitung,Belitung,Tanjung Pandan,Buluh Tumbang,33411
Bangka Belitung,Belitung,Tanjung Pandan,Air Merbau,33411
Bangka Belitung,Belitung,Tanjung Pandan,Aik Ketekok,33411
Bangka Belitung,Bangka Barat,Tempilang,Sangku,33365
Bangka Belitung,Bangka Barat,Tempilang,Penyampak,33365
Bangka Belitung,Bangka Barat,Tempilang,Buyan Kelumbi,33365
Bangka Belitung,Bangka Barat,Parittiga,Telak,33362
Bangka Belitung,Bangka Barat,Parittiga,Teluk Limau,33362
Bangka Belitung,Bangka Barat,Jebus,Sinar Manik,33362
Bangka Belitung,Bangka Barat,Mentok (Muntok),Air Limau,33351
Bangka Belitung,Bangka Barat,Mentok (Muntok),Air Putih,33351
Bangka Belitung,Bangka Barat,Mentok (Muntok),Belolaut,33351
Bangka Belitung,Bangka,Belinyu,Gunung Muda,33253
Bangka Belitung,Bangka,Riau Silip,Deniang,33253
Bangka Belitung,Bangka,Belinyu,Bukit Ketok,33253
Bangka Belitung,Bangka,Sungai Liat,Sinar Baru,33212
Bangka Belitung,Bangka,Sungai Liat,Kudai (Kuday),33213
Bangka Belitung,Bangka,Sungai Liat,Srimenanti,33214
Bangka Belitung,Bangka,Mendo Barat,Kota Kapur,33173
Bangka Belitung,Bangka,Mendo Barat,Labuh Air Pandan,33173
Bangka Belitung,Bangka,Mendo Barat,Kace Timur,33173
Bangka Belitung,Pangkal Pinang,Gerunggang,Bukit Sari,33123
Bangka Belitung,Pangkal Pinang,Gerunggang,Air Kepala Tujuh,33123
Bangka Belitung,Pangkal Pinang,Gerunggang,Bukit Merapin (Bukit Merapen),33123
Bangka Belitung,Pangkal Pinang,Taman Sari,Opas Indah,33121
Bangka Belitung,Pangkal Pinang,Taman Sari,Rawa Bangun,33121
Bangka Belitung,Pangkal Pinang,Gabek,Jerambah Gantung,33119
Bangka Belitung,Pangkal Pinang,Taman Sari,Batin Tikal,33121
Bangka Belitung,Pangkal Pinang,Gabek,Selindung Baru,33117
Bangka Belitung,Pangkal Pinang,Gabek,Gabek Satu,33118
Bangka Belitung,Pangkal Pinang,Gabek,Gabek Dua,33116
Bangka Belitung,Pangkal Pinang,Gabek,Selindung (Selindung Lama),33117
Bangka Belitung,Pangkal Pinang,Pangkal Balam,Lontong Pancur,33115
Bangka Belitung,Pangkal Pinang,Pangkal Balam,Pasir Garam,33115
Bangka Belitung,Pangkal Pinang,Pangkal Balam,Rejosari,33111
Bangka Belitung,Pangkal Pinang,Pangkal Balam,Ampui,33113
Bangka Belitung,Pangkal Pinang,Pangkal Balam,Ketapang,33111
Bangka Belitung,Pangkal Pinang,Gabek,Air Salemba,33111
Bangka Belitung,Bangka Selatan,Lepar Pongok,Penutuk,33791
Bangka Belitung,Bangka Selatan,Lepar Pongok,Kumbung,33791
Bangka Belitung,Bangka Selatan,Kepulauan Pongok,Celagen,33791
Bangka Belitung,Bangka Selatan,Tukak Sadai,Tukak,33783
Bangka Belitung,Bangka Selatan,Toboali,Toboali,33783
Bangka Belitung,Bangka Selatan,Tukak Sadai,Tiram,33783
Bangka Belitung,Bangka Selatan,Toboali,Teladan,33783
Bangka Belitung,Bangka Selatan,Toboali,Tanjung Ketapang,33783
Bangka Belitung,Bangka Selatan,Toboali,Serdang,33783
Bangka Belitung,Bangka Selatan,Tukak Sadai,Sadai,33783
