Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Banten,Tangerang,Karawaci,Cimone,15114
Banten,Tangerang,Karawaci,Gerendeng,15113
Banten,Tangerang,Karawaci,Marga Sari,15113
Banten,Serang,Pulo Ampel,Salira,42455
Banten,Serang,Pulo Ampel,Sumuranja,42455
Banten,Serang,Pulo Ampel,Margasari,42455
Banten,Serang,Pulo Ampel,Salira,42455
Banten,Serang,Pulo Ampel,Sumuranja,42455
Banten,Serang,Pulo Ampel,Pulo Panjang,42455
Banten,Serang,Waringin Kurung,Waringinkurung,42453
Banten,Serang,Waringin Kurung,Sukadalem,42453
Banten,Serang,Waringin Kurung,Telaga Luhur,42453
Banten,Cilegon,Citangkil,Tamanbaru,42441
Banten,Cilegon,Citangkil,Kebonsari,42442
Banten,Cilegon,Ciwandan,Banjar Negara,42441
Banten,Cilegon,Cibeber,Karangasem,42425
Banten,Cilegon,Cibeber,Cibeber,42423
Banten,Cilegon,Cibeber,Kalitimbang,42424
Banten,Lebak,Wanasalam,Ketapang,42396
Banten,Lebak,Wanasalam,Cipeucang,42396
Banten,Lebak,Wanasalam,Cisarap,42396
Banten,Lebak,Cijaku,Cihujan,42395
Banten,Lebak,Cijaku,Cijaku,42395
Banten,Lebak,Cigemblong,Cibungur,42395
Banten,Lebak,Cibeber,Citorek Tengah,42394
Banten,Lebak,Cibeber,Cisungsang,42394
Banten,Lebak,Cibeber,Citorek Barat,42394
Banten,Lebak,Cilograng,Cilograng,42393
Banten,Lebak,Bayah,Cimancak,42393
Banten,Lebak,Cilograng,Cikamunding,42393
Banten,Lebak,Panggarangan,Jatake,42392
Banten,Lebak,Panggarangan,Hegarmanah,42392
Banten,Lebak,Cihara,Citepuseun,42392
Banten,Lebak,Malingping,Cilangkahan,42391
Banten,Lebak,Malingping,Kadujajar,42391
Banten,Lebak,Maja,Sindangmulya,42381
Banten,Lebak,Curugbitung,Cilayang,42381
Banten,Lebak,Maja,Cilangkap,42381
Banten,Lebak,Curugbitung,Ciburuy,42381
Banten,Lebak,Cipanas,Giriharja,42372
Banten,Lebak,Lebakgedong,Ciladaeun,42372
Banten,Lebak,Cipanas,Bintangsari,42372
Banten,Lebak,Sajira,Bangunmekar,42371
Banten,Lebak,Muncang,Sindangwangi,42364
Banten,Lebak,Muncang,Sukanagara,42364
Banten,Lebak,Cirinten,Karoya,42363
Banten,Lebak,Bojongmanik,Kadurahayu,42363
Banten,Lebak,Cirinten,Kadudamas,42363
Banten,Lebak,Leuwidamar,Cisimeut,42362
Banten,Lebak,Leuwidamar,Cisimeut Raya,42362
Banten,Lebak,Cimarga,Tambak,42361
Banten,Lebak,Cibadak,Tambakbaya,42357
Banten,Lebak,Cibadak,Pasar Keong,42357
