Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Bengkulu,Bengkulu,Teluk Segara,Pasar Baru,38114
Bengkulu,Bengkulu,Teluk Segara,Pasar Melintang,38115
Bengkulu,Bengkulu,Teluk Segara,Sumur Meleleh,38113
Bengkulu,Kepahiang,Muara Kemumu,Warung Pojok,39374
Bengkulu,Kepahiang,Muara Kemumu,Warung Pojok,39374
Bengkulu,Kepahiang,Seberang Musi,Tebat Laut,39374
Bengkulu,Kepahiang,Muara Kemumu,Warung Pojok,39374
Bengkulu,Kepahiang,Seberang Musi,Tebat Laut,39374
Bengkulu,Kepahiang,Muara Kemumu,Warung Pojok,39374
Bengkulu,Kepahiang,Bermani Ilir,Keban Agung,39374
Bengkulu,Kepahiang,Bermani Ilir,Embong Ijuk,39374
Bengkulu,Kepahiang,Bermani Ilir,Embong Sido,39374
Bengkulu,Kepahiang,Tebat Karai,Talang Karet,39373
Bengkulu,Kepahiang,Tebat Karai,Taba Santing (Tabasating),39373
Bengkulu,Kepahiang,Seberang Musi,Talang Babatan,39373
Bengkulu,Kepahiang,Seberang Musi,Kandang,39373
Bengkulu,Kepahiang,Kebawetan (Kabawetan),Bukit Sari,39373
Bengkulu,Kepahiang,Seberang Musi,Cirebon Baru (Cirbon Baru),39373
Bengkulu,Kepahiang,Kepahiang,Pagar Gunung,39372
Bengkulu,Kepahiang,Kepahiang,Kuto Rejo (Kuterejo),39372
Bengkulu,Kepahiang,Kepahiang,Kelobak,39372
Bengkulu,Kepahiang,Ujan Mas,Suro Ilir,39371
Bengkulu,Kepahiang,Ujan Mas,Suro Lembak,39371
Bengkulu,Kepahiang,Ujan Mas,Suro Bali,39371
Bengkulu,Lebong,Pinang Belapis,Sebelat,39269
Bengkulu,Lebong,Pinang Belapis,Sungai Lisai,39269
Bengkulu,Lebong,Pinang Belapis,Tambang Sawah,39269
Bengkulu,Lebong,Lebong Sakti,Tabeak Kauk,39267
Bengkulu,Lebong,Lebong Sakti,Magelang Baru,39267
Bengkulu,Lebong,Lebong Sakti,Muning Agung,39267
Bengkulu,Lebong,Lebong Utara,Talang Ulu,39264
Bengkulu,Lebong,Lebong Utara,Tunggang,39264
Bengkulu,Lebong,Amen,Sukaraja,39264
Bengkulu,Lebong,Amen,Garut,39264
Bengkulu,Lebong,Lebong Utara,Dusun Muara Aman,39264
Bengkulu,Lebong,Lebong Utara,Embong Uram,39264
Bengkulu,Lebong,Lebong Tengah,Embong Panjang,39263
Bengkulu,Lebong,Lebong Selatan,Turan Lalang,39262
Bengkulu,Lebong,Topos,Topos,39262
Bengkulu,Lebong,Rimbo Pengadang,Tik Kuto,39261
Bengkulu,Lebong,Topos,Ajai Siang,39262
Bengkulu,Lebong,Rimbo Pengadang,Tanjung,39261
Bengkulu,Rejang Lebong,Sindang Beliti Ilir,Sari Pulau,39183
Bengkulu,Rejang Lebong,Sindang Beliti Ilir,Periang,39183
Bengkulu,Rejang Lebong,Sindang Beliti Ilir,Merantau,39183
Bengkulu,Rejang Lebong,Sindang Beliti Ulu,Tanjung Agung,39182
Bengkulu,Rejang Lebong,Padang Ulak Tanding,Taktoi,39182
Bengkulu,Rejang Lebong,Padang Ulak Tanding,Taba Tinggi,39182
Bengkulu,Rejang Lebong,Sindang Beliti Ulu,Apur,39182
Bengkulu,Rejang Lebong,Sindang Beliti Ulu,Air Nau,39182
Bengkulu,Rejang Lebong,Padang Ulak Tanding,Air Kati,39182
Bengkulu,Rejang Lebong,Selupu Rejang,Kampung Baru,39153
Bengkulu,Rejang Lebong,Selupu Rejang,Karang Jaya,39153
Bengkulu,Rejang Lebong,Sindang Daratan,IV/Empat Suku Menanti,39153
Bengkulu,Rejang Lebong,Bermani Ulu,Sentral Baru,39152
Bengkulu,Rejang Lebong,Bermani Ulu,Suka Rami,39152
Bengkulu,Rejang Lebong,Bermani Ulu,Purwodadi,39152
Bengkulu,Rejang Lebong,Curup Selatan,Teladan (Desa Teladan),39125
Bengkulu,Rejang Lebong,Curup,Timbul Rejo,39125
Bengkulu,Rejang Lebong,Curup Selatan,Tanjung Dalam,39125
Bengkulu,Rejang Lebong,Curup Timur,Duku Ilir,39125
Bengkulu,Rejang Lebong,Curup Timur,Duku Ulu,39125
Bengkulu,Rejang Lebong,Curup Utara,Desa Pahlawan,39125
Bengkulu,Rejang Lebong,Curup Tengah,Pelabuhan Baru,39115
Bengkulu,Rejang Lebong,Curup Timur,Karang Anyar,39116
Bengkulu,Rejang Lebong,Curup Tengah,Kampung Jawa,39115
Bengkulu,Kaur,Maje,Penyandingan,38965
Bengkulu,Kaur,Maje,Muara Jaya,38965
Bengkulu,Kaur,Maje,Parda Suka,38965
Bengkulu,Kaur,Nasal,Pasar Jumat,38964
Bengkulu,Kaur,Nasal,Merpas,38964
Bengkulu,Kaur,Nasal,Muara Dua,38964
Bengkulu,Kaur,Kaur Selatan,Pengubaian,38963
Bengkulu,Kaur,Kaur Selatan,Pasar Lama,38963
Bengkulu,Kaur,Kaur Selatan,Pahlawan Ratu,38963
Bengkulu,Kaur,Kinal,Tanjung Baru,38962
Bengkulu,Kaur,Kinal,Talang Padang,38962
Bengkulu,Kaur,Kinal,Tanjung Alam,38962
Bengkulu,Kaur,Kinal,Gunung Terang,38962
Bengkulu,Kaur,Kinal,Geramat,38962
Bengkulu,Kaur,Kinal,Gedung Wani,38962
Bengkulu,Kaur,Kaur Tengah,Padang Hangat,38961
Bengkulu,Kaur,Luas,Padang Jati,38961
Bengkulu,Kaur,Muara Sahung,Muara Sahung,38961
Bengkulu,Kaur,Padang Guci Hilir,Talang Padang,38956
Bengkulu,Kaur,Kelam Tengah,Talang Marap,38956
Bengkulu,Kaur,Padang Guci Hilir,Talang Jawi I,38956
Bengkulu,Kaur,Kaur Utara,Padang Manis,38956
Bengkulu,Kaur,Padang Guci Hilir,Marga Mulyo,38956
Bengkulu,Kaur,Padang Guci Hulu,Manau Sembilan I,38956
Bengkulu,Kaur,Padang Guci Hilir,Air Kering,38956
Bengkulu,Kaur,Tanjung Kemuning,Tanjung Kemuning III,38955
Bengkulu,Kaur,Tanjung Kemuning,Tinggi Ari,38955
Bengkulu,Kaur,Kelam Tengah,Pagar Dewa,38955
Bengkulu,Kaur,Tanjung Kemuning,Padang Kedondong,38955
Bengkulu,Kaur,Tanjung Kemuning,Padang Leban,38955
Bengkulu,Seluma,Ilir Talo,Rawa Indah,38887
Bengkulu,Seluma,Ilir Talo,Pasar Talo,38887
Bengkulu,Seluma,Ilir Talo,Penago Baru,38887
Bengkulu,Seluma,Ulu Talo,Giri Mulya,38886
Bengkulu,Seluma,Ulu Talo,Giri Nanto,38886
Bengkulu,Seluma,Ulu Talo,Air Keruh,38886
Bengkulu,Seluma,Seluma Utara,Pandan,38884
Bengkulu,Seluma,Seluma Utara,Lubuk Resam,38884
Bengkulu,Seluma,Seluma Barat,Tanjung Agung,38883
Bengkulu,Seluma,Lubuk Sandi,Lubuk Terentang,38882
Bengkulu,Seluma,Lubuk Sandi,Dusun Tengah,38882
Bengkulu,Seluma,Lubuk Sandi,Gunung Agung,38882
Bengkulu,Seluma,Air Periukan,Air Periukan,38881
Bengkulu,Seluma,Seluma Selatan,Tanjungan,38878
Bengkulu,Seluma,Seluma Selatan,Tanjung Seru,38878
Bengkulu,Seluma,Sukaraja,Riak Siabun I,38877
Bengkulu,Seluma,Sukaraja,Niur,38877
Bengkulu,Seluma,Sukaraja,Padang Kuas,38877
Bengkulu,Seluma,Semidang Alas Maras,Ujung Padang,38875
Bengkulu,Seluma,Seluma,Dusun Baru,38876
Bengkulu,Seluma,Semidang Alas Maras,Talang Kemang,38875
Bengkulu,Seluma,Semidang Alas Maras,Karang Anyar,38875
Bengkulu,Seluma,Semidang Alas Maras,Kembang Mumpo,38875
Bengkulu,Seluma,Semidang Alas Maras,Gunung Kembang,38875
Bengkulu,Seluma,Talo,Air Payangan,38874
Bengkulu,Seluma,Semidang Alas,Talang Durian,38873
Bengkulu,Seluma,Semidang Alas,Tebat/Teba Gunung,38873
Bengkulu,Seluma,Semidang Alas,Cugung Langu,38873
Bengkulu,Seluma,Semidang Alas,Gunung Megang,38873
Bengkulu,Seluma,Semidang Alas,Gunung Mesir,38873
Bengkulu,Muko Muko,Penarik,Suka Maju,38768
Bengkulu,Muko Muko,Teras Terunjam,Sido Mulyo,38768
Bengkulu,Muko Muko,Penarik,Sido Mulya,38768
Bengkulu,Muko Muko,Lubuk Pinang,Tanjung Alai,38767
Bengkulu,Muko Muko,Air Majunto,Tirta Mulya,38767
Bengkulu,Muko Muko,V Koto,Talang Sepakat,38767
Bengkulu,Muko Muko,V Koto,Lubuk Cabau,38767
Bengkulu,Muko Muko,Lubuk Pinang,Arah Tiga,38767
Bengkulu,Muko Muko,Lubuk Pinang,Kota Praja,38767
Bengkulu,Muko Muko,Sungai Rumbai,Mekar Sari,38766
Bengkulu,Muko Muko,Teramang Jaya,Nenggalo,38766
Bengkulu,Muko Muko,Pondok Suguh,Lubuk Selandak,38766
Bengkulu,Muko Muko,Air Dikit,Sumber Sari,38765
Bengkulu,Muko Muko,Kota Mukomuko (Mukomuko Utara),Selagan Jaya,38765
Bengkulu,Muko Muko,Air Dikit,Sari Bulan,38765
Bengkulu,Muko Muko,Ipuh (Muko-Muko Selatan),Tanjung Medan,38764
Bengkulu,Muko Muko,Ipuh (Muko-Muko Selatan),Tirta Kencana,38764
Bengkulu,Muko Muko,Air Rami,Talang Rio,38764
Bengkulu,Muko Muko,Ipuh (Muko-Muko Selatan),Manunggal Jaya,38764
Bengkulu,Muko Muko,Air Rami,Marga Mulia,38764
Bengkulu,Muko Muko,Malin Deman,Gajah Makmur,38764
Bengkulu,Bengkulu Utara,Padang Jaya,Sido Mukti,38657
Bengkulu,Bengkulu Utara,Padang Jaya,Talang Tua/Tuo,38657
Bengkulu,Bengkulu Utara,Padang Jaya,Marga Sakti,38657
Bengkulu,Bengkulu Utara,Batik Nau,Batik Nau,38656
Bengkulu,Bengkulu Utara,Batik Nau,Airlakok,38656
Bengkulu,Bengkulu Utara,Giri Mulia,Wonoharjo,38655
Bengkulu,Bengkulu Utara,Air Padang,Padang Kala,38653
Bengkulu,Bengkulu Utara,Air Padang,Lubuk Mumpo,38653
Bengkulu,Bengkulu Utara,Air Padang,Kembang Manis,38653
Bengkulu,Bengkulu Utara,Arga Makmur,Talang Denau,38611
Bengkulu,Bengkulu Utara,Arma Jaya,Sidodadi,38611
Bengkulu,Bengkulu Utara,Arma Jaya,Sumber Agung,38611
Bengkulu,Bengkulu Utara,Air Besi,Tanjung Genting,38575
Bengkulu,Bengkulu Utara,Air Besi,Tanjung Karet,38575
Bengkulu,Bengkulu Utara,Tanjung Agung Palik,Tanjung Agung,38575
Bengkulu,Bengkulu Selatan,Pinoraya,Tungkal I,38571
Bengkulu,Bengkulu Selatan,Pinoraya,Telaga Dalam,38571
Bengkulu,Bengkulu Selatan,Pino,Tanjung Eran,38571
Bengkulu,Bengkulu Selatan,Air Nipis,Penandingan,38571
Bengkulu,Bengkulu Selatan,Pinoraya,Pasar Pino,38571
Bengkulu,Bengkulu Selatan,Air Nipis,Palak Bengkerung,38571
Bengkulu,Bengkulu Selatan,Ulu Manna,Kayu Ajaran,38571
Bengkulu,Bengkulu Selatan,Pinoraya,Karang Cayo,38571
Bengkulu,Bengkulu Selatan,Pino,Gedung Agung,38571
Bengkulu,Bengkulu Selatan,Kedurang Ilir,Suka Jaya,38553
Bengkulu,Bengkulu Selatan,Kedurang Ilir,Suka Raja,38553
Bengkulu,Bengkulu Selatan,Kedurang Ilir,Penindaian,38553
Bengkulu,Bengkulu Selatan,Kedurang Ilir,Karang Caya,38553
Bengkulu,Bengkulu Selatan,Kedurang,Durian Sebatang,38553
Bengkulu,Bengkulu Selatan,Kedurang,Bumi Agung,38553
Bengkulu,Bengkulu Selatan,Seginim,Gunung Ayu II,38552
Bengkulu,Bengkulu Selatan,Seginim,Durian Seginim,38552
Bengkulu,Bengkulu Selatan,Seginim,Dusun Baru,38552
Bengkulu,Bengkulu Selatan,Kota Manna,Pasar Baru,38512
Bengkulu,Bengkulu Selatan,Pasar Manna,Batu Lambang,38513
Bengkulu,Bengkulu Selatan,Bunga Mas,Tumbuk Tebing,38511
Bengkulu,Bengkulu Selatan,Manna,Manggul,38511
Bengkulu,Bengkulu Selatan,Manna,Lubuk Sirih Ilir,38511
Bengkulu,Bengkulu Selatan,Manna,Lubuk Sirih Ulu,38511
Bengkulu,Bengkulu Utara,Enggano,Kaana,38387
Bengkulu,Bengkulu Utara,Enggano,Apoho,38387
Bengkulu,Bengkulu Tengah,Merigi Kelindang,Ulak Lebar,38386
Bengkulu,Bengkulu Tengah,Taba Penanjung,Lubuk Sini,38386
Bengkulu,Bengkulu Tengah,Merigi Kelindang,Kelindang Atas,38386
Bengkulu,Bengkulu Tengah,Taba Penanjung,Kota Niur,38386
Bengkulu,Bengkulu Tengah,Talang Empat,Jaya Karta,38385
Bengkulu,Bengkulu Tengah,Talang Empat,Jumat,38385
Bengkulu,Bengkulu Tengah,Talang Empat,Air Sebakul,38385
Bengkulu,Bengkulu Tengah,Merigi Sakti,Lubuk Pendam,38383
Bengkulu,Bengkulu Tengah,Pagar Jati,Layang Lekat,38383
Bengkulu,Bengkulu Tengah,Merigi Sakti,Komering,38383
Bengkulu,Bengkulu Tengah,Karang Tinggi,Penanding,38382
Bengkulu,Bengkulu Tengah,Karang Tinggi,Pagar Gunung,38382
Bengkulu,Bengkulu Tengah,Karang Tinggi,Padang Siring,38382
Bengkulu,Bengkulu Tengah,Pondok Kubang,Linggar Galing,38375
Bengkulu,Bengkulu Tengah,Pondok Kubang,Batu Raja,38375
Bengkulu,Bengkulu Tengah,Pondok Kubang,Dusun Anyar,38375
Bengkulu,Bengkulu Utara,Kerkap,Magelang,38374
Bengkulu,Bengkulu Utara,Tanjung Agung Palik,Lubuk Pendam,38374
Bengkulu,Bengkulu Utara,Kerkap,Lubuk Durian,38374
