Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
DI Yogyakarta,Yogyakarta,Umbulharjo,Giwangan,55163
DI Yogyakarta,Yogyakarta,Umbulharjo,Warungboto,55164
DI Yogyakarta,Yogyakarta,Umbulharjo,Muja Muju,55165
DI Yogyakarta,Gunung Kidul,Semanu,Pacarejo,55893
DI Yogyakarta,Gunung Kidul,Semanu,Semanu,55893
DI Yogyakarta,Gunung Kidul,Semanu,Ngeposari,55893
DI Yogyakarta,Gunung Kidul,Semanu,Pacarejo,55893
DI Yogyakarta,Gunung Kidul,Semanu,Semanu,55893
DI Yogyakarta,Gunung Kidul,Semanu,Ngeposari,55893
DI Yogyakarta,Gunung Kidul,Karangmojo,Ngawis,55891
DI Yogyakarta,Gunung Kidul,Karangmojo,Gedang Rejo,55891
DI Yogyakarta,Gunung Kidul,Karangmojo,Jati Ayu,55891
DI Yogyakarta,Gunung Kidul,Tepus,Tepus,55881
DI Yogyakarta,Gunung Kidul,Girisubo,Balong,55883
DI Yogyakarta,Gunung Kidul,Tepus,Sidoharjo,55881
DI Yogyakarta,Gunung Kidul,Purwosari,Giriasih,55872
DI Yogyakarta,Gunung Kidul,Purwosari,Giricahyo,55872
DI Yogyakarta,Gunung Kidul,Sapto Sari,Planjan,55871
DI Yogyakarta,Gunung Kidul,Gedang Sari,Ngalang,55863
DI Yogyakarta,Gunung Kidul,Gedang Sari,Sampang,55863
DI Yogyakarta,Gunung Kidul,Patuk,Terbah,55862
DI Yogyakarta,Gunung Kidul,Playen,Dengok,55861
DI Yogyakarta,Gunung Kidul,Playen,Gading,55861
DI Yogyakarta,Gunung Kidul,Playen,Getas,55861
DI Yogyakarta,Gunung Kidul,Ngawen,Kampung,55853
DI Yogyakarta,Gunung Kidul,Ngawen,Sambirejo,55853
DI Yogyakarta,Gunung Kidul,Nglipar,Pilang Rejo,55852
DI Yogyakarta,Gunung Kidul,Wonosari,Karang Tengah,55851
DI Yogyakarta,Gunung Kidul,Wonosari,Duwet,55851
DI Yogyakarta,Gunung Kidul,Wonosari,Kepek,55813
DI Yogyakarta,Bantul,Imogiri,Selopamioro,55782
DI Yogyakarta,Bantul,Imogiri,Kebon Agung,55782
DI Yogyakarta,Bantul,Imogiri,Karangtalun,55782
DI Yogyakarta,Bantul,Bambang Lipuro,Mulyodadi,55764
DI Yogyakarta,Bantul,Sanden,Srigading,55763
DI Yogyakarta,Bantul,Sanden,Murtigading,55763
DI Yogyakarta,Bantul,Bantul,Trirenggo,55714
DI Yogyakarta,Bantul,Bantul,Bantul,55711
DI Yogyakarta,Bantul,Bantul,Ringin Harjo,55712
DI Yogyakarta,Kulon Progo,Nanggulan,Tanjungharjo,55671
DI Yogyakarta,Kulon Progo,Nanggulan,Donomulyo,55671
DI Yogyakarta,Kulon Progo,Nanggulan,Jati Sarono,55671
DI Yogyakarta,Kulon Progo,Galur,Karang Sewu,55661
DI Yogyakarta,Kulon Progo,Galur,Kranggan,55661
DI Yogyakarta,Kulon Progo,Galur,Nomporejo,55661
DI Yogyakarta,Kulon Progo,Temon,Kedundang,55654
DI Yogyakarta,Kulon Progo,Temon,Kulur,55654
DI Yogyakarta,Kulon Progo,Temon,Palihan,55654
DI Yogyakarta,Kulon Progo,Pengasih,Sendangsari,55652
DI Yogyakarta,Kulon Progo,Pengasih,Karangsari,55652
DI Yogyakarta,Kulon Progo,Pengasih,Kedungsari,55652
DI Yogyakarta,Sleman,Cangkringan,Argo Mulyo,55583
DI Yogyakarta,Sleman,Cangkringan,Glagah Harjo,55583
DI Yogyakarta,Sleman,Pakem,Pakem Binangun,55582
DI Yogyakarta,Sleman,Prambanan,Boko Harjo,55572
DI Yogyakarta,Sleman,Prambanan,Gayam Harjo,55572
DI Yogyakarta,Sleman,Prambanan,Madu Rejo,55572
DI Yogyakarta,Sleman,Seyegan,Margokaton,55561
DI Yogyakarta,Sleman,Tempel,Sumber Rejo,55552
DI Yogyakarta,Sleman,Tempel,Tambak Rejo,55552
DI Yogyakarta,Sleman,Gamping,Banyuraden,55293
DI Yogyakarta,Sleman,Gamping,Ambarketawang,55294
