Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
DKI Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210
DKI Jakarta,Jakarta Pusat,Gambir,Petojo Selatan,10160
DKI Jakarta,Jakarta Pusat,Gambir,Duri Pulo,10140
DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Harapan,14540
DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Kelapa,14540
DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Tidung,14520
DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Harapan,14540
DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Utara,Pulau Kelapa,14540
DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan,Pulau Tidung,14520
DKI Jakarta,Jakarta Utara,Tanjung Priok,Kebon Bawang,14320
DKI Jakarta,Jakarta Utara,Koja,Tugu Utara,14260
DKI Jakarta,Jakarta Utara,Koja,Lagoa,14270
DKI Jakarta,Jakarta Timur,Cakung,Penggilingan,13940
DKI Jakarta,Jakarta Timur,Cakung,Cakung Timur,13910
DKI Jakarta,Jakarta Timur,Cakung,Rawa Terate,13920
DKI Jakarta,Jakarta Timur,Ciracas,Cibubur,13720
DKI Jakarta,Jakarta Timur,Pasar Rebo,Pekayon,13710
DKI Jakarta,Jakarta Timur,Makasar,Kebon Pala,13650
DKI Jakarta,Jakarta Timur,Duren Sawit,Pondok Bambu,13430
DKI Jakarta,Jakarta Timur,Jatinegara,Cipinang Muara,13420
DKI Jakarta,Jakarta Timur,Jatinegara,Cipinang Besar Selatan,13410
DKI Jakarta,Jakarta Timur,Matraman,Pisangan Baru,13110
DKI Jakarta,Jakarta Timur,Matraman,Utan Kayu Selatan,13120
DKI Jakarta,Jakarta Selatan,Setia Budi,Pasar Manggis,12970
DKI Jakarta,Jakarta Selatan,Pancoran,Cikoko,12770
DKI Jakarta,Jakarta Selatan,Pancoran,Pengadegan,12770
DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,12760
DKI Jakarta,Jakarta Selatan,Pasar Minggu,Pejaten Barat,12510
DKI Jakarta,Jakarta Selatan,Cilandak,Pondok Labu,12450
DKI Jakarta,Jakarta Selatan,Cilandak,Cilandak Barat,12430
