Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Gorontalo,Gorontalo,Kota Selatan,Limba U Dua (Limba U II),96115
Gorontalo,Gorontalo,Kota Selatan,Limba B,96115
Gorontalo,Gorontalo,Kota Timur,Heledulaa Selatan,96114
Gorontalo,Bone Bolango,Bone,Waluhu,96585
Gorontalo,Bone Bolango,Bonepantai,Tunas Jaya,96585
Gorontalo,Bone Bolango,Bonepantai,Uabanga,96585
Gorontalo,Bone Bolango,Bone,Waluhu,96585
Gorontalo,Bone Bolango,Bonepantai,Tunas Jaya,96585
Gorontalo,Bone Bolango,Bonepantai,Uabanga,96585
Gorontalo,Bone Bolango,Bulawa,Mopuya,96585
Gorontalo,Bone Bolango,Bone Raya,Mootayu,96585
Gorontalo,Bone Bolango,Bone Raya,Mootinelo,96585
Gorontalo,Bone Bolango,Bone,Inogaluma,96585
Gorontalo,Bone Bolango,Bulawa,Bunga Hijau,96585
Gorontalo,Bone Bolango,Bone,Cendana Putih,96585
Gorontalo,Bone Bolango,Pinogu,Tilonggibila,96584
Gorontalo,Bone Bolango,Suwawa Timur,Tilangobula,96584
Gorontalo,Bone Bolango,Suwawa Tengah,Tapadaa,96584
Gorontalo,Bone Bolango,Suwawa Selatan,Bulontala Timur,96584
Gorontalo,Bone Bolango,Suwawa,Bube Baru,96584
Gorontalo,Bone Bolango,Suwawa,Bubeya,96584
Gorontalo,Bone Bolango,Kabila,Talango,96583
Gorontalo,Bone Bolango,Tilongkabila,Tamboo,96583
Gorontalo,Bone Bolango,Botu Pingge,Sukma,96583
Gorontalo,Bone Bolango,Botu Pingge,Buata,96583
Gorontalo,Bone Bolango,Tilongkabila,Butu,96583
Gorontalo,Bone Bolango,Kabila Bone,Botubarani,96583
Gorontalo,Bone Bolango,Bulango Ulu,Pilolaheya,96582
Gorontalo,Bone Bolango,Bulango Ulu,Mongiilo,96582
Gorontalo,Bone Bolango,Bulango Ulu,Mongiilo Utara,96582
Gorontalo,Bone Bolango,Bulango Utara,Bandungan,96582
Gorontalo,Bone Bolango,Bulango Selatan,Ayula Timur,96582
Gorontalo,Bone Bolango,Bulango Selatan,Ayula Utara,96582
Gorontalo,Gorontalo Utara,Anggrek,Ilodulunga,96525
Gorontalo,Gorontalo Utara,Anggrek,Iloheluma,96525
Gorontalo,Gorontalo Utara,Anggrek,Ibarat,96525
Gorontalo,Gorontalo Utara,Tolinggula,Molangga,96524
Gorontalo,Gorontalo Utara,Biau,Luhuto,96524
Gorontalo,Gorontalo Utara,Tolinggula,Limbato,96524
Gorontalo,Pohuwato,Randangan,Motolohu Selatan,96469
Gorontalo,Pohuwato,Randangan,Omayuwa,96469
Gorontalo,Pohuwato,Taluditi (Taluduti),Marisa IV,96469
Gorontalo,Pohuwato,Wanggarasi,Lembah Permai (Malango II),96468
Gorontalo,Pohuwato,Lemito,Kenari,96468
Gorontalo,Pohuwato,Wanggarasi,Bukit Harapan,96468
Gorontalo,Pohuwato,Popayato Timur,Maleo,96467
Gorontalo,Pohuwato,Popayato Barat,Dudewulo,96467
Gorontalo,Pohuwato,Popayato Timur,Kelapa Lima,96467
Gorontalo,Gorontalo,Biluhu,Botubolu’o (Botuboluo),96272
Gorontalo,Gorontalo,Biluhu,Huwongo,96272
Gorontalo,Gorontalo,Batudaa Pantai,Buhudaa,96272
Gorontalo,Gorontalo,Bongomeme,Molas,96271
Gorontalo,Gorontalo,Bongomeme,Molopatodu,96271
Gorontalo,Gorontalo,Bongomeme,Molanihu,96271
Gorontalo,Gorontalo,Bongomeme,Dulamayo,96271
Gorontalo,Gorontalo,Bongomeme,Batulayar,96271
Gorontalo,Gorontalo,Dungaliyo,Bongomeme,96271
Gorontalo,Pohuwato,Patilanggio,Manawa,96266
Gorontalo,Pohuwato,Patilanggio,Ilo Heluma,96266
Gorontalo,Pohuwato,Buntulia,Karya Indah,96266
Gorontalo,Boalemo,Mananggu,Salilama,96265
Gorontalo,Pohuwato,Dengilo,Popaya,96265
Gorontalo,Pohuwato,Paguat,Siduan,96265
Gorontalo,Boalemo,Mananggu,Bendungan,96265
Gorontalo,Boalemo,Botumoita (Botumoito),Tutulo,96264
