Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Jambi,Jambi,Kota Baru,Simpang Tiga Sipin,36126
Jambi,Jambi,Kota Baru,Rawa Sari,36125
Jambi,Jambi,Telanaipura,Simpang Empat Sipin,36124
Jambi,Tebo,Sumay,Tuo Sumay,37573
Jambi,Tebo,Sumay,Teluk Singkawang,37573
Jambi,Tebo,Sumay,Teriti,37573
Jambi,Tebo,Sumay,Tuo Sumay,37573
Jambi,Tebo,Sumay,Teluk Singkawang,37573
Jambi,Tebo,Sumay,Teriti,37573
Jambi,Tebo,Tebo Ilir,Sei/Sungai Bengkal Barat,37572
Jambi,Tebo,Muara Tabir,Pintas Tuo,37572
Jambi,Tebo,Tengah Ilir,Rantau Api,37572
Jambi,Tebo,Tebo Tengah,Sungai Alai,37571
Jambi,Tebo,Tebo Tengah,Pelayang,37571
Jambi,Tebo,Tebo Tengah,Semabu,37571
Jambi,Tebo,Tebo Ulu,Rantau Langkap,37554
Jambi,Tebo,Tebo Ulu,Pulau Jelmu,37554
Jambi,Tebo,Tebo Ulu,Pulau Panjang,37554
Jambi,Tebo,Rimbo Ulu,Suka Maju,37553
Jambi,Tebo,Rimbo Ilir,Sumber Agung,37553
Jambi,Tebo,Rimbo Ulu,Sido Rukun,37553
Jambi,Sarolangun,Mandiangin,Suka Maju,37492
Jambi,Sarolangun,Mandiangin,Simpang Kertopati,37492
Jambi,Sarolangun,Mandiangin,Rangkiling,37492
Jambi,Sarolangun,Mandiangin,Gurun Mudo,37492
Jambi,Sarolangun,Mandiangin,Guruh Baru,37492
Jambi,Sarolangun,Mandiangin,Butang Baru,37492
Jambi,Sarolangun,Air Hitam,Jernih,37491
Jambi,Sarolangun,Pauh,Karang Mendapo,37491
Jambi,Sarolangun,Air Hitam,Desa Baru (Dusun Baru),37491
Jambi,Sarolangun,Batang Asai,Kasiro Ilir,37485
Jambi,Sarolangun,Batang Asai,Lubuk Bangkar,37485
Jambi,Sarolangun,Batang Asai,Muaro/Muara Air Dua,37485
Jambi,Sarolangun,Pelawan,Pematang Kolim/Kulim,37482
Jambi,Sarolangun,Pelawan,Penegah,37482
Jambi,Sarolangun,Pelawan,Pelawan,37482
Jambi,Sarolangun,Bathin VIII (Batin VIII),Tanjung,37481
Jambi,Sarolangun,Bathin VIII (Batin VIII),Tanjung Gagak,37481
Jambi,Sarolangun,Bathin VIII (Batin VIII),Teluk Kecimbung (Sikumbang),37481
Jambi,Sarolangun,Sarolangun,Gunung Kembang,37481
Jambi,Sarolangun,Bathin VIII (Batin VIII),Dusun Dalam,37481
Jambi,Sarolangun,Sarolangun,Bernai Dalam,37481
Jambi,Sarolangun,Limun,Ranggo,37382
Jambi,Sarolangun,Limun,Napal Melintang,37382
Jambi,Sarolangun,Limun,Panca Karya,37382
Jambi,Merangin,Sungai Tenang,Tanjung Beruang,37372
Jambi,Merangin,Lembah Masurai,Talang Paruh,37372
Jambi,Merangin,Sungai Tenang,Talang Tembago,37372
Jambi,Merangin,Lembah Masurai,Muara Lengayo,37372
Jambi,Merangin,Lembah Masurai,Muara Pangi,37372
Jambi,Merangin,Jangkat,Lubuk Pungguk,37372
Jambi,Merangin,Muara Siau,Sungai Ulas,37371
Jambi,Merangin,Tiang Pumpung,Sei Kancing (Sekancing),37371
Jambi,Merangin,Tiang Pumpung,Sekancing Ilir,37371
Jambi,Merangin,Pangkalan Jambu,Tanjung Mudo,37361
Jambi,Merangin,Renah Pembarap,Talang Segegah,37361
Jambi,Merangin,Sungai Manau,Sungai/Sei Pinang,37361
Jambi,Merangin,Renah Pembarap,Durian Batakuk,37361
Jambi,Merangin,Pangkalan Jambu,Bukit Perentak,37361
Jambi,Merangin,Pangkalan Jambu,Bungo Tanjung,37361
Jambi,Merangin,Tabir Barat,Muara Kibul,37356
Jambi,Merangin,Tabir Ulu,Medan Baru,37356
Jambi,Merangin,Tabir Ulu,Muara Jernih,37356
Jambi,Merangin,Tabir,Tanjung Ilir,37353
Jambi,Merangin,Tabir Timur,Sungai Limau,37353
Jambi,Merangin,Tabir Lintas,Tambang Baru,37353
Jambi,Merangin,Tabir,Mampun,37353
Jambi,Merangin,Tabir,Koto Rayo,37353
Jambi,Merangin,Tabir Ilir,Kota Raja,37353
Jambi,Merangin,Renah Pemenang,Rasau,37352
Jambi,Merangin,Pamenang Barat,PulauTujuh,37352
Jambi,Merangin,Pamenang Selatan,Pulau Bayur,37352
Jambi,Merangin,Bangko,Pematang Kandis,37314
Jambi,Merangin,Bangko,Dusun Bangko,37313
Jambi,Merangin,Batang Masumai,Titian Teras,37311
Jambi,Merangin,Nalo Tantan,Nalo Baru (Baru Nalo),37311
Jambi,Merangin,Nalo Tantan,Mentawak,37311
Jambi,Merangin,Bangko,Langling,37311
Jambi,Bungo,Tanah Sepenggal Lintas,Sungai Puri,37263
Jambi,Bungo,Tanah Sepenggal Lintas,Sungai Lilin,37263
