Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Jawa Tengah,Semarang,Sumowono,Kebonagung,50123
Jawa Tengah,Semarang,Semarang Timur,Karangturi,50124
Jawa Tengah,Semarang,Semarang Timur,Sarirejo,50124
Jawa Tengah,Demak,Kebonagung,Tlogosih,59583
Jawa Tengah,Demak,Mijen,Tanggul,59583
Jawa Tengah,Demak,Kebonagung,Werdoyo,59583
Jawa Tengah,Demak,Kebonagung,Tlogosih,59583
Jawa Tengah,Demak,Mijen,Tanggul,59583
Jawa Tengah,Demak,Kebonagung,Werdoyo,59583
Jawa Tengah,Demak,Kebonagung,Mangunrejo,59583
Jawa Tengah,Demak,Kebonagung,Kebonagung,59583
Jawa Tengah,Demak,Mijen,Jleper,59583
Jawa Tengah,Demak,Karanganyar,Jatirejo,59582
Jawa Tengah,Demak,Karanganyar,Karanganyar,59582
Jawa Tengah,Demak,Karanganyar,Kedungwaru Kidul,59582
Jawa Tengah,Demak,Gajah,Gajah,59581
Jawa Tengah,Demak,Gajah,Gedangalas,59581
Jawa Tengah,Demak,Gajah,Banjarsari,59581
Jawa Tengah,Demak,Wonosalam,Trengguli,59571
Jawa Tengah,Demak,Wonosalam,Wonosalam,59571
Jawa Tengah,Demak,Wonosalam,Tlogodowo,59571
Jawa Tengah,Demak,Wonosalam,Botorejo,59571
Jawa Tengah,Demak,Mranggen,Waru,59567
Jawa Tengah,Demak,Mranggen,Wringin Jajar,59567
Jawa Tengah,Demak,Karangawen,Wonosekar,59566
Jawa Tengah,Demak,Karangawen,Tlogorejo,59566
Jawa Tengah,Demak,Karangawen,Teluk,59566
Jawa Tengah,Demak,Guntur,Sidokumpul,59565
Jawa Tengah,Demak,Guntur,Sidoharjo,59565
Jawa Tengah,Demak,Guntur,Pamongan,59565
Jawa Tengah,Demak,Sayung,Pilangsari,59563
Jawa Tengah,Demak,Sayung,Purwosari,59563
Jawa Tengah,Demak,Sayung,Loireng,59563
Jawa Tengah,Demak,Karang Tengah,Pidodo,59561
Jawa Tengah,Demak,Karang Tengah,Ploso,59561
Jawa Tengah,Demak,Karang Tengah,Karangtowo,59561
Jawa Tengah,Demak,Wedung,Kedungmutih,59554
Jawa Tengah,Demak,Wedung,Jungpasir,59554
Jawa Tengah,Demak,Wedung,Jungsemi,59554
Jawa Tengah,Demak,Bonang,Margolinduk,59552
Jawa Tengah,Demak,Bonang,Jatirogo,59552
Jawa Tengah,Demak,Bonang,Karangrejo,59552
Jawa Tengah,Demak,Demak,Bango,59517
Jawa Tengah,Demak,Demak,Bolo,59517
Jawa Tengah,Demak,Demak,Mangunjiwan,59515
Jawa Tengah,Jepara,Nalumsari,Dorang,59466
Jawa Tengah,Jepara,Nalumsari,Blimbingrejo,59466
Jawa Tengah,Jepara,Mayong,Tigajuru,59465
Jawa Tengah,Jepara,Mayong,Bandung,59465
Jawa Tengah,Jepara,Mayong,Buaran,59465
Jawa Tengah,Jepara,Welahan,Ujungpandan,59464
Jawa Tengah,Jepara,Kedung,Tanggultlare,59463
Jawa Tengah,Jepara,Kedung,Sowan Lor,59463
Jawa Tengah,Jepara,Kedung,Sukosono,59463
Jawa Tengah,Jepara,Pecangaan,Pecangaan Wetan,59462
Jawa Tengah,Jepara,Pecangaan,Pulodarat,59462
Jawa Tengah,Jepara,Kalinyamatan,Pendosawalan,59462
Jawa Tengah,Jepara,Batealit,Somosari,59461
Jawa Tengah,Jepara,Batealit,Ngasem,59461
Jawa Tengah,Jepara,Batealit,Pekalongan,59461
Jawa Tengah,Jepara,Donorojo,Sumber Rejo,59454
Jawa Tengah,Jepara,Keling,Kelet,59454
Jawa Tengah,Jepara,Keling,Keling,59454
Jawa Tengah,Jepara,Bangsri,Kepuk,59453
Jawa Tengah,Jepara,Bangsri,Papasan,59453
Jawa Tengah,Jepara,Kembang,Kancilan,59453
Jawa Tengah,Jepara,Mlonggo,Srobyong,59452
Jawa Tengah,Jepara,Mlonggo,Suwawal,59452
Jawa Tengah,Jepara,Mlonggo,Sekuro,59452
Jawa Tengah,Jepara,Tahunan,Kecapi,59429
Jawa Tengah,Jepara,Tahunan,Tegalsambi,59427
Jawa Tengah,Jepara,Tahunan,Telukawur,59427
Jawa Tengah,Jepara,Jepara,Potroyudan,59412
Jawa Tengah,Jepara,Jepara,Bapangan,59413
Jawa Tengah,Jepara,Jepara,Karangkebagusan,59411
Jawa Tengah,Kudus,Mejobo,Mejobo,59381
Jawa Tengah,Kudus,Mejobo,Jepang,59381
Jawa Tengah,Kudus,Mejobo,Jojo,59381
Jawa Tengah,Kudus,Undaan,Glagahwaru,59372
Jawa Tengah,Kudus,Undaan,Kalirejo,59372
Jawa Tengah,Kudus,Dawe,Tergo,59353
Jawa Tengah,Kudus,Dawe,Cendono,59353
Jawa Tengah,Kudus,Jati,Tumpang Krasak,59349
Jawa Tengah,Kudus,Jati,Pasuruhan Lor,59349
Jawa Tengah,Kudus,Gebog,Karangmalang,59333
Jawa Tengah,Kudus,Gebog,Jurang,59333
Jawa Tengah,Kudus,Gebog,Gribig,59333
Jawa Tengah,Kudus,Kaliwungu,Bakalankrapyak,59332
Jawa Tengah,Kudus,Bae,Purworejo,59327
Jawa Tengah,Kudus,Bae,Peganjaran,59327
Jawa Tengah,Kudus,Kudus Kota,Damaran,59316
Jawa Tengah,Kudus,Kudus Kota,Janggalan,59316
Jawa Tengah,Kudus,Kudus Kota,Kerjasan,59315
Jawa Tengah,Rembang,Sarang,Sampung,59274
Jawa Tengah,Rembang,Sarang,Sarangmeduro,59274
Jawa Tengah,Rembang,Sarang,Nglojo,59274
Jawa Tengah,Rembang,Kragan,Woro,59273
Jawa Tengah,Rembang,Kragan,Tegalmulyo,59273
Jawa Tengah,Rembang,Kragan,Terjan,59273
Jawa Tengah,Rembang,Kragan,Kendalagung,59273
Jawa Tengah,Rembang,Kragan,Kragan,59273
Jawa Tengah,Rembang,Kragan,Karangharjo,59273
Jawa Tengah,Rembang,Lasem,Tasiksono,59271
Jawa Tengah,Rembang,Lasem,Sumbergirang,59271
Jawa Tengah,Rembang,Lasem,Sriombo,59271
Jawa Tengah,Rembang,Sale,Ukir,59265
Jawa Tengah,Rembang,Sale,Wonokerto,59265
Jawa Tengah,Rembang,Sale,Tahunan,59265
Jawa Tengah,Rembang,Sedan,Sambiroto,59264
Jawa Tengah,Rembang,Sedan,Mojosari,59264
Jawa Tengah,Rembang,Sedan,Ngulahan,59264
Jawa Tengah,Rembang,Gunem,Suntri,59263
Jawa Tengah,Rembang,Gunem,Tegaldowo,59263
Jawa Tengah,Rembang,Gunem,Sendangmulyo,59263
Jawa Tengah,Rembang,Pancur,Pancur,59262
Jawa Tengah,Rembang,Pancur,Pandan,59262
Jawa Tengah,Rembang,Pancur,Ngroto,59262
Jawa Tengah,Rembang,Pamotan,Samaran,59261
Jawa Tengah,Rembang,Pamotan,Segoromulyo,59261
Jawa Tengah,Rembang,Pamotan,Sendangagung,59261
Jawa Tengah,Rembang,Bulu,Sendangmulyo,59255
Jawa Tengah,Rembang,Bulu,Sumbermulyo,59255
Jawa Tengah,Rembang,Bulu,Ngulaan,59255
Jawa Tengah,Rembang,Sulang,Pedak,59254
Jawa Tengah,Rembang,Sulang,Pomahan,59254
Jawa Tengah,Rembang,Sulang,Pragu,59254
Jawa Tengah,Rembang,Sumber,Polbayem,59253
Jawa Tengah,Rembang,Sumber,Randuagung,59253
Jawa Tengah,Rembang,Sumber,Megulung,59253
Jawa Tengah,Rembang,Kaliori,Purworejo,59252
Jawa Tengah,Rembang,Kaliori,Sambiyan,59252
Jawa Tengah,Rembang,Kaliori,Mojowarno,59252
Jawa Tengah,Rembang,Rembang,Sumberjo,59219
