Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Jawa Timur,Surabaya,Mulyorejo,Kalijudan,60114
Jawa Timur,Surabaya,Mulyorejo,Kejawen Putih Tambak,60112
Jawa Timur,Surabaya,Mulyorejo,Dukuh Sutorejo,60113
Jawa Timur,Sumenep,Sapeken,Tanjungkiaok,69493
Jawa Timur,Sumenep,Sapeken,Sasiil (Saseel),69493
Jawa Timur,Sumenep,Sapeken,Sepanjang,69493
Jawa Timur,Sumenep,Sapeken,Tanjungkiaok,69493
Jawa Timur,Sumenep,Sapeken,Sasiil (Saseel),69493
Jawa Timur,Sumenep,Sapeken,Sepanjang,69493
Jawa Timur,Sumenep,Arjasa,Pandeman,69491
Jawa Timur,Sumenep,Arjasa,Paseraman,69491
Jawa Timur,Sumenep,Arjasa,Pajenangger,69491
Jawa Timur,Sumenep,Arjasa,Angon Angon,69491
Jawa Timur,Sumenep,Ra'as (Raas),Tonduk,69485
Jawa Timur,Sumenep,Ra'as (Raas),Ketupat,69485
Jawa Timur,Sumenep,Gayam,Nyamplong,69483
Jawa Timur,Sumenep,Gayam,Pancor,69483
Jawa Timur,Sumenep,Gayam,Karangtengah,69483
Jawa Timur,Sumenep,Talango,Kombang,69481
Jawa Timur,Sumenep,Talango,Gapurana,69481
Jawa Timur,Sumenep,Talango,Cabbiya,69481
Jawa Timur,Sumenep,Batang Batang,Tamedung,69473
Jawa Timur,Sumenep,Batang Batang,Totosan,69473
Jawa Timur,Sumenep,Batang Batang,Lombang,69473
Jawa Timur,Sumenep,Gapura,Longos,69472
Jawa Timur,Sumenep,Gapura,Grujugan,69472
Jawa Timur,Sumenep,Gapura,Gapura Tengah,69472
Jawa Timur,Sumenep,Saronggi,Saronggi,69467
Jawa Timur,Sumenep,Saronggi,Talang,69467
Jawa Timur,Sumenep,Saronggi,Tanah Merah,69467
Jawa Timur,Sumenep,Bluto,Lobuk,69466
Jawa Timur,Sumenep,Bluto,Masaran,69466
Jawa Timur,Sumenep,Bluto,Kapedi,69466
Jawa Timur,Sumenep,Pragaan,Pakamban Daya,69465
Jawa Timur,Sumenep,Pragaan,Pakamban Laok,69465
Jawa Timur,Sumenep,Pragaan,Kaduara Timur,69465
Jawa Timur,Sumenep,Ganding,Rombiya Timur,69462
Jawa Timur,Sumenep,Ganding,Ketawang Parebaan,69462
Jawa Timur,Sumenep,Ganding,Rombiya Barat,69462
Jawa Timur,Sumenep,Lenteng,Medelan,69461
Jawa Timur,Sumenep,Lenteng,Lenteng Barat,69461
Jawa Timur,Sumenep,Lenteng,Lembung Barat,69461
Jawa Timur,Sumenep,Pasongsongan,Lebeng Barat,69457
Jawa Timur,Sumenep,Pasongsongan,Lebeng Timur,69457
Jawa Timur,Sumenep,Pasongsongan,Campaka,69457
Jawa Timur,Sumenep,Ambunten,Keles,69455
Jawa Timur,Sumenep,Ambunten,Beluk Raja,69455
Jawa Timur,Sumenep,Ambunten,Bukabu,69455
Jawa Timur,Sumenep,Dasuk,Dasuk Barat,69454
Jawa Timur,Sumenep,Dasuk,Batubelah Barat,69454
Jawa Timur,Sumenep,Dasuk,Batubelah Timur,69454
Jawa Timur,Sumenep,Manding,Manding Daya,69452
Jawa Timur,Sumenep,Manding,Manding Laok,69452
Jawa Timur,Sumenep,Manding,Lalangon,69452
Jawa Timur,Sumenep,Kota Sumenep,Kolor,69417
Jawa Timur,Sumenep,Kota Sumenep,Karangduak,69417
Jawa Timur,Sumenep,Kota Sumenep,Kebunan,69417
Jawa Timur,Pamekasan,Larangan,Larangan Luar,69383
Jawa Timur,Pamekasan,Larangan,Lancar,69383
Jawa Timur,Pamekasan,Larangan,Kaduara Barat,69383
Jawa Timur,Pamekasan,Tlanakan,Taro’an,69371
Jawa Timur,Pamekasan,Tlanakan,Mangar,69371
Jawa Timur,Pamekasan,Tlanakan,Larangan Slampar,69371
Jawa Timur,Pamekasan,Proppo,Proppo,69363
Jawa Timur,Pamekasan,Proppo,Rang Perang Daya,69363
Jawa Timur,Pamekasan,Proppo,Pangtonggal,69363
Jawa Timur,Pamekasan,Palenga'an,Rombuh,69362
Jawa Timur,Pamekasan,Palenga'an,Rek Kerrek,69362
Jawa Timur,Pamekasan,Palenga'an,Potoan Laok,69362
Jawa Timur,Pamekasan,Pegantenan,Bulangan Timur,69361
Jawa Timur,Pamekasan,Pegantenan,Bulangan Haji,69361
Jawa Timur,Pamekasan,Pegantenan,Bulangan Branta,69361
Jawa Timur,Pamekasan,Kadur,Kadur,69355
Jawa Timur,Pamekasan,Kadur,Bungbaruh,69355
Jawa Timur,Pamekasan,Kadur,Gagah,69355
Jawa Timur,Pamekasan,Waru,Tlonto Ares,69353
Jawa Timur,Pamekasan,Waru,Tampojung Pregi,69353
Jawa Timur,Pamekasan,Waru,Tampojung Tengah,69353
Jawa Timur,Pamekasan,Pakong,Bajang,69352
Jawa Timur,Pamekasan,Pademawu,Tambung,69323
Jawa Timur,Pamekasan,Pademawu,Tanjung,69323
Jawa Timur,Pamekasan,Pademawu,Budagan (Buddagan),69323
Jawa Timur,Pamekasan,Pademawu,Barurambat Timur,69321
Jawa Timur,Pamekasan,Pademawu,Baddurih,69323
Jawa Timur,Pamekasan,Pamekasan,Parteker,69311
Jawa Timur,Sampang,Omben,Temoran,69291
Jawa Timur,Sampang,Omben,Sogiyan (Sogian),69291
Jawa Timur,Sampang,Omben,Angsokah,69291
Jawa Timur,Sampang,Camplong,Taddan,69281
Jawa Timur,Sampang,Camplong,Tambaan,69281
Jawa Timur,Sampang,Sreseh,Labuhan,69273
Jawa Timur,Sampang,Sreseh,Labang,69273
Jawa Timur,Sampang,Sreseh,Klobur,69273
Jawa Timur,Sampang,Jrengik,Asem Nonggal,69272
Jawa Timur,Sampang,Torjun,Torjun,69271
Jawa Timur,Sampang,Torjun,Tanah Merah,69271
Jawa Timur,Sampang,Banyuates,Trapang,69263
Jawa Timur,Sampang,Banyuates,Tlagah,69263
Jawa Timur,Sampang,Banyuates,Terosan,69263
Jawa Timur,Sampang,Sokobanah,Tobai Tengah,69262
Jawa Timur,Sampang,Sokobanah,Tobai Barat,69262
Jawa Timur,Sampang,Sokobanah,Tamberu Laok,69262
Jawa Timur,Sampang,Ketapang,Karang Anyar,69261
Jawa Timur,Sampang,Ketapang,Bunten Timur,69261
Jawa Timur,Sampang,Ketapang,Bunten Barat,69261
Jawa Timur,Sampang,Robatal,Bapelle,69254
Jawa Timur,Sampang,Tambelangan,Tambelangan,69253
Jawa Timur,Sampang,Tambelangan,Somber,69253
Jawa Timur,Sampang,Kedungdung,Kedungdung,69252
Jawa Timur,Sampang,Kedungdung,Komis,69252
Jawa Timur,Sampang,Kedungdung,Gunung Eleh,69252
Jawa Timur,Sampang,Sampang,Baruh,69216
Jawa Timur,Sampang,Sampang,Gunung Maddah,69216
Jawa Timur,Sampang,Sampang,Banyumas,69216
Jawa Timur,Bangkalan,Blega,Rosep,69174
Jawa Timur,Bangkalan,Blega,Pangeran Gedungan (Gadungan),69174
Jawa Timur,Bangkalan,Blega,Panjalinan,69174
Jawa Timur,Bangkalan,Galis,Telagah (Tlagah),69173
Jawa Timur,Bangkalan,Galis,Separah,69173
Jawa Timur,Bangkalan,Galis,Sorpa,69173
Jawa Timur,Bangkalan,Tanah Merah,Tanah Merah Laok,69172
Jawa Timur,Bangkalan,Tanah Merah,Tlomar (Tlomor),69172
Jawa Timur,Bangkalan,Tanah Merah,Rongdurin,69172
