Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Kalimantan Selatan,Banjarmasin,Banjarmasin Barat,Belitung Selatan,70116
Kalimantan Selatan,Banjarmasin,Banjarmasin Barat,Belitung Utara,70116
Kalimantan Selatan,Banjarmasin,Banjarmasin Tengah,Pasar Lama,70115
Kalimantan Selatan,Tanah Bumbu,Satui,Tegal Sari,72275
Kalimantan Selatan,Tanah Bumbu,Satui,Wonorejo,72275
Kalimantan Selatan,Tanah Bumbu,Angsana,Sumber Baru,72275
Kalimantan Selatan,Tanah Bumbu,Satui,Tegal Sari,72275
Kalimantan Selatan,Tanah Bumbu,Satui,Wonorejo,72275
Kalimantan Selatan,Tanah Bumbu,Satui,Sumber Makmur,72275
Kalimantan Selatan,Tanah Bumbu,Satui,Bukit Baru,72275
Kalimantan Selatan,Tanah Bumbu,Angsana,Banjar Sari,72275
Kalimantan Selatan,Tanah Bumbu,Angsana,Bayan Sari,72275
Kalimantan Selatan,Tanah Bumbu,Sungai Loban,Dwi Marga Utama,72274
Kalimantan Selatan,Tanah Bumbu,Kuranji,Indra Loka Jaya,72274
Kalimantan Selatan,Tanah Bumbu,Sungai Loban,Batu Meranti,72274
Kalimantan Selatan,Tanah Bumbu,Kusan Hilir,Pasar Baru,72273
Kalimantan Selatan,Tanah Bumbu,Kusan Hilir,Pakatellu,72273
Kalimantan Selatan,Tanah Bumbu,Kusan Hilir,Mudalang,72273
Kalimantan Selatan,Tanah Bumbu,Kusan Hulu,Wonorejo,72272
Kalimantan Selatan,Tanah Bumbu,Kuranji,Waringin Tunggal,72272
Kalimantan Selatan,Tanah Bumbu,Kusan Hulu,Tibarau Panjang,72272
Kalimantan Selatan,Tanah Bumbu,Kusan Hulu,Darasan Binjai (Derasan Binjai),72272
Kalimantan Selatan,Tanah Bumbu,Kusan Hulu,Dadap Kusan Raya,72272
Kalimantan Selatan,Tanah Bumbu,Kusan Hulu,Binawara,72272
Kalimantan Selatan,Tanah Bumbu,Simpang Empat,Baroqah,72213
Kalimantan Selatan,Tanah Bumbu,Mantewe,Sukadamai,72211
Kalimantan Selatan,Tanah Bumbu,Karang Bintang,Sumber Wangi,72211
Kalimantan Selatan,Tanah Bumbu,Karang Bintang,Madu Retno,72211
Kalimantan Selatan,Tanah Bumbu,Karang Bintang,Harapan Maju,72211
Kalimantan Selatan,Tanah Bumbu,Karang Bintang,Karang Bintang,72211
Kalimantan Selatan,Kotabaru,Pamukan Utara,Mulyo Harjo,72169
Kalimantan Selatan,Kotabaru,Pamukan Barat,Mayang Sari,72169
Kalimantan Selatan,Kotabaru,Pamukan Barat,Marga Jaya,72169
Kalimantan Selatan,Kotabaru,Pamukan Selatan,Sakadoyan,72168
Kalimantan Selatan,Kotabaru,Pamukan Selatan,Mulyodadi,72168
Kalimantan Selatan,Kotabaru,Pamukan Selatan,Pondok Labu,72168
Kalimantan Selatan,Kotabaru,Sampanahan,Rampa Manunggul,72166
Kalimantan Selatan,Kotabaru,Sampanahan,Basuang,72166
Kalimantan Selatan,Kotabaru,Sampanahan,Gunung Batu Besar,72166
Kalimantan Selatan,Kotabaru,Kelumpang Tengah,Senakin Seberang,72164
Kalimantan Selatan,Kotabaru,Kelumpang Tengah,Sei/Sungai Punggawa,72164
Kalimantan Selatan,Kotabaru,Kelumpang Tengah,Sei/Sungai Pinang,72164
Kalimantan Selatan,Kotabaru,Kelumpang Hulu,Laburan,72162
Kalimantan Selatan,Kotabaru,Kelumpang Hulu,Karang Liwar,72162
Kalimantan Selatan,Kotabaru,Kelumpang Hulu,Karang Payau,72162
