Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Kalimantan Timur,Samarinda,Samarinda Utara,Sei/Sungai Siring,75118
Kalimantan Timur,Samarinda,Samarinda Utara,Lempake,75118
Kalimantan Timur,Samarinda,Sungai Pinang,Sei/Sungai Pinang Dalam,75117
Kalimantan Timur,Berau,Derawan (Pulau Derawan),Teluk Semanting,77381
Kalimantan Timur,Berau,Derawan (Pulau Derawan),Tanjung Batu,77381
Kalimantan Timur,Berau,Derawan (Pulau Derawan),Pulau Derawan,77381
Kalimantan Timur,Berau,Derawan (Pulau Derawan),Teluk Semanting,77381
Kalimantan Timur,Berau,Derawan (Pulau Derawan),Tanjung Batu,77381
Kalimantan Timur,Berau,Derawan (Pulau Derawan),Pulau Derawan,77381
Kalimantan Timur,Berau,Batu Putih,Tembudan,77372
Kalimantan Timur,Berau,Tabalar,Tubaan,77372
Kalimantan Timur,Berau,Talisayan,Talisayan,77372
Kalimantan Timur,Berau,Biatan,Biatan Ulu,77372
Kalimantan Timur,Berau,Biatan,Biatan Ilir,77372
Kalimantan Timur,Berau,Biatan,Biatan Lempake,77372
Kalimantan Timur,Berau,Kelay,Sido Bangen,77362
Kalimantan Timur,Berau,Kelay,Merasa,77362
Kalimantan Timur,Berau,Kelay,Muara Lesan,77362
Kalimantan Timur,Berau,Segah,Long Laay/Laai,77361
Kalimantan Timur,Berau,Segah,Gunung Sari,77361
Kalimantan Timur,Berau,Segah,Harapan Jaya,77361
Kalimantan Timur,Berau,Teluk Bayur,Teluk Bayur,77315
Kalimantan Timur,Berau,Tanjung Redeb,Karang Ambun,77315
Kalimantan Timur,Berau,Tanjung Redeb,Sei/Sungai Bedungun,77315
Kalimantan Timur,Penajam Paser Utara,Babulu,Babulu Darat,76285
Kalimantan Timur,Penajam Paser Utara,Waru,Bangun Mulya,76284
Kalimantan Timur,Penajam Paser Utara,Waru,Sesulu,76284
Kalimantan Timur,Paser,Long Kali,Mendik Bhakti,76283
Kalimantan Timur,Paser,Long Kali,Makmur Jaya,76283
Kalimantan Timur,Paser,Long Kali,Maruat,76283
Kalimantan Timur,Paser,Long Ikis,Krayan Makmur,76282
Kalimantan Timur,Paser,Long Ikis,Krayan Sentosa,76282
Kalimantan Timur,Paser,Long Ikis,Lombok,76282
Kalimantan Timur,Paser,Kuaro,Kuaro,76281
Kalimantan Timur,Paser,Kuaro,Kendarom,76281
Kalimantan Timur,Paser,Kuaro,Kerta Bumi,76281
Kalimantan Timur,Paser,Pasir Belengkong,Bekoso,76271
Kalimantan Timur,Paser,Tanjung Harapan,Tanjung Aru,76261
Kalimantan Timur,Paser,Batu Engau,Tampakan,76261
Kalimantan Timur,Paser,Muara Komam,Uko,76253
Kalimantan Timur,Paser,Batu Engau,Bai Jaya,76261
Kalimantan Timur,Paser,Muara Komam,Swan Slutung,76253
Kalimantan Timur,Paser,Batu Sopang,Rantau Buta,76252
Kalimantan Timur,Paser,Muara Samu,Rantau Atas,76252
Kalimantan Timur,Paser,Muara Samu,Rantau Bintungan,76252
Kalimantan Timur,Paser,Tanah Grogot,Pulau Rantau,76251
Kalimantan Timur,Paser,Tanah Grogot,Rantau Panjang,76251
Kalimantan Timur,Paser,Tanah Grogot,Pepara,76251
Kalimantan Timur,Penajam Paser Utara,Sepaku,Argo Mulyo,76147
Kalimantan Timur,Penajam Paser Utara,Sepaku,Binuang,76147
Kalimantan Timur,Penajam Paser Utara,Sepaku,Maridan,76146
Kalimantan Timur,Penajam Paser Utara,Penajam,Penajam,76141
Kalimantan Timur,Penajam Paser Utara,Penajam,Lawe Lawe,76142
Kalimantan Timur,Penajam Paser Utara,Penajam,Gunung Seteleng,76141
Kalimantan Timur,Balikpapan,Balikpapan Tengah,Karang Jati,76123
Kalimantan Timur,Balikpapan,Balikpapan Tengah,Karang Rejo,76124
Kalimantan Timur,Balikpapan,Balikpapan Tengah,Gunung Sari Ulu,76122
Kalimantan Timur,Balikpapan,Balikpapan Kota,Prapatan,76111
Kalimantan Timur,Kutai Barat,Long Hubung,Tripati Makmur,75779
Kalimantan Timur,Kutai Barat,Long Hubung,Wana Pariq,75779
Kalimantan Timur,Kutai Barat,Bentian Besar,Sambung,75778
Kalimantan Timur,Kutai Barat,Bentian Besar,Dilang Puti,75778
Kalimantan Timur,Kutai Barat,Bentian Besar,Jelmu Sibak,75778
Kalimantan Timur,Kutai Barat,Damai,Damai Seberang,75777
Kalimantan Timur,Kutai Barat,Nyuatan,Dempar,75777
Kalimantan Timur,Kutai Barat,Damai,Bermai,75777
Kalimantan Timur,Kutai Barat,Barong Tongkok,Juhan Asa,75776
Kalimantan Timur,Kutai Barat,Barong Tongkok,Mencimai,75776
Kalimantan Timur,Kutai Barat,Barong Tongkok,Gemuhan Asa,75776
Kalimantan Timur,Kutai Barat,Muara Pahu,Tepian Ulaq,75774
Kalimantan Timur,Kutai Barat,Siluq Ngurai,Tendiq,75774
Kalimantan Timur,Kutai Barat,Muara Pahu,Teluk Tempudau,75774
Kalimantan Timur,Kutai Barat,Siluq Ngurai,Kenyanyan,75774
Kalimantan Timur,Kutai Barat,Siluq Ngurai,Kiaq,75774
Kalimantan Timur,Kutai Barat,Siluq Ngurai,Kaliq,75774
Kalimantan Timur,Kutai Barat,Jempang,Muara Nayan,75773
Kalimantan Timur,Kutai Barat,Jempang,Bekokong Makmur (Resak Bekokong),75773
Kalimantan Timur,Kutai Barat,Jempang,Lembonah,75773
Kalimantan Timur,Kutai Barat,Long Apari,Noha Tifab (Naha Tifab),75769
Kalimantan Timur,Kutai Barat,Long Apari,Tiong Buu,75769
Kalimantan Timur,Kutai Barat,Long Apari,Long Penaneh Tiga,75769
Kalimantan Timur,Kutai Barat,Long Pahangai,Lirung Ubing,75768
Kalimantan Timur,Kutai Barat,Long Bagun,Ujoh Bilang,75767
Kalimantan Timur,Kutai Barat,Long Pahangai,Datah Naha,75768
Kalimantan Timur,Kutai Barat,Tering,Purworejo,75766
Kalimantan Timur,Kutai Barat,Tering,Muyub/Muyup Ilir,75766
Kalimantan Timur,Kutai Barat,Tering,Muyub/Muyup Ulu,75766
Kalimantan Timur,Kutai Barat,Sekolaq Darat,Sri Mulyo,75765
Kalimantan Timur,Kutai Barat,Sekolaq Darat,Sekolaq Joleq,75765
Kalimantan Timur,Kutai Barat,Sekolaq Darat,Sekolaq Muliaq,75765
Kalimantan Timur,Kutai Barat,Melak,Empakuq,75765
Kalimantan Timur,Kutai Barat,Melak,Empas,75765
Kalimantan Timur,Kutai Barat,Penyinggahan,Penyinggahan Ulu,75763
Kalimantan Timur,Kutai Timur,Sangkulirang,Saka,75684
Kalimantan Timur,Kutai Timur,Sangkulirang,Peridan,75684
Kalimantan Timur,Kutai Timur,Karangan,Pengadan (Pengadaan Baru),75684
Kalimantan Timur,Kutai Timur,Sangatta Utara,Teluk Lingga,75683
Kalimantan Timur,Kutai Timur,Teluk Pandan,Suka Rahmat,75683
Kalimantan Timur,Kutai Timur,Sangatta Utara,Swarga Bara,75683
Kalimantan Timur,Kutai Timur,Muara Ancalong,Senyiur,75656
Kalimantan Timur,Kutai Timur,Long Mesangat (Mesengat),Sumber Sari,75656
Kalimantan Timur,Kutai Timur,Long Mesangat (Mesengat),Segoi Makmur,75656
Kalimantan Timur,Kutai Timur,Muara Wahau,Dabeq,75655
Kalimantan Timur,Kutai Timur,Batu Ampar,Telaga,75654
Kalimantan Timur,Kutai Timur,Long Mesangat (Mesengat),Tanah Abang,75654
Kalimantan Timur,Kutai Timur,Kaubun,Cipta Graha,75619
Kalimantan Timur,Kutai Timur,Kaubun,Bumi Jaya,75619
Kalimantan Timur,Kutai Timur,Kaubun,Bumi Etam,75619
Kalimantan Timur,Kutai Timur,Kaliorang,Bangun Jaya,75618
Kalimantan Timur,Kutai Timur,Kaliorang,Bukit Harapan,75618
Kalimantan Timur,Kutai Barat,Linggang Bigung,Purwadadi,75576
Kalimantan Timur,Kutai Kartanegara,Tenggarong Seberang,Manunggal Jaya,75572
Kalimantan Timur,Kutai Kartanegara,Tenggarong Seberang,Loa Lepu,75572
Kalimantan Timur,Kutai Kartanegara,Tenggarong Seberang,Loa Pari,75572
Kalimantan Timur,Kutai Kartanegara,Loa Kulu,Jongkang,75571
Kalimantan Timur,Kutai Kartanegara,Loa Kulu,Karya Utama,75571
Kalimantan Timur,Kutai Kartanegara,Loa Kulu,Jembayan Tengah,75571
Kalimantan Timur,Kutai Kartanegara,Muara Muntai,Muara Muntai Ulu,75562
Kalimantan Timur,Kutai Kartanegara,Muara Muntai,Muara Aloh,75562
Kalimantan Timur,Kutai Kartanegara,Muara Muntai,Muara Leka,75562
Kalimantan Timur,Kutai Kartanegara,Kota Bangun,Liang Ulu,75561
Kalimantan Timur,Kutai Kartanegara,Kota Bangun,Kota Bangun Ilir,75561
Kalimantan Timur,Kutai Kartanegara,Kota Bangun,Kota Bangun Seberang,75561
