Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Kalimantan Utara,Tarakan,Tarakan Utara,Juata Laut,77116
Kalimantan Utara,Tarakan,Tarakan Timur,Pantai Amal,77115
Kalimantan Utara,Tarakan,Tarakan Utara,Juata Krikil/Kerikil,77116
Kalimantan Utara,Malinau,Kayan Selatan,Metulang,77573
Kalimantan Utara,Malinau,Kayan Selatan,Sungai Barang,77573
Kalimantan Utara,Malinau,Sungai Boh,Mahak Baru,77573
Kalimantan Utara,Malinau,Kayan Selatan,Metulang,77573
Kalimantan Utara,Malinau,Kayan Selatan,Sungai Barang,77573
Kalimantan Utara,Malinau,Sungai Boh,Mahak Baru,77573
Kalimantan Utara,Malinau,Kayan Hilir,Data Dian,77571
Kalimantan Utara,Malinau,Bahau Hulu,Long Uli,77562
Kalimantan Utara,Malinau,Pujungan,Long Pujungan,77562
Kalimantan Utara,Malinau,Mentarang,Mentarang Baru,77555
Kalimantan Utara,Malinau,Sungai Tubu,Long Titi,77555
Kalimantan Utara,Malinau,Sungai Tubu,Long Nyau,77555
Kalimantan Utara,Malinau,Malinau Utara,Sembuak Warot/Warod,77554
Kalimantan Utara,Malinau,Malinau Barat,Sempayang,77554
Kalimantan Utara,Malinau,Malinau Utara,Semanggaris,77554
Kalimantan Utara,Malinau,Malinau Kota,Malinau Hilir,77554
Kalimantan Utara,Malinau,Malinau Kota,Malinau Hulu,77554
Kalimantan Utara,Malinau,Malinau Utara,Lubok Manis,77554
Kalimantan Utara,Malinau,Malinau Kota,Batu Lidung,77554
Kalimantan Utara,Malinau,Malinau Selatan Hilir,Batu Kajang,77554
Kalimantan Utara,Nunukan,Sebatik,Tanjung Karang,77483
Kalimantan Utara,Nunukan,Sebatik,Balansiku,77483
Kalimantan Utara,Nunukan,Tulin Onsoi,Tinampak I,77482
Kalimantan Utara,Nunukan,Tulin Onsoi,Tinampak II,77482
Kalimantan Utara,Nunukan,Nunukan,Nunukan Tengah,77482
Kalimantan Utara,Nunukan,Nunukan,Nunukan Timur,77482
Kalimantan Utara,Nunukan,Nunukan,Nunukan Barat,77482
Kalimantan Utara,Nunukan,Lumbis Ogong,Tubel Alung (Ubel Alung),77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Tau Lumbis,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Tetagas,77457
Kalimantan Utara,Nunukan,Lumbis,Sedongon,77457
Kalimantan Utara,Nunukan,Lumbis,Semalat,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Sedalit,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Nan Sapan,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Nantukidan,77457
Kalimantan Utara,Nunukan,Lumbis,Nainsid,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Jukup,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Kabungalor,77457
Kalimantan Utara,Nunukan,Lumbis Ogong,Kalam Buku,77457
Kalimantan Utara,Nunukan,Krayan,Sinar Baru,77456
Kalimantan Utara,Nunukan,Krayan,Pa Urud,77456
Kalimantan Utara,Nunukan,Krayan Selatan,Pa Urang,77456
Kalimantan Utara,Nunukan,Krayan Selatan,Pa Milau,77456
