Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Kepulauan Riau,Tanjung Pinang,Bukit Bestari,Sei Jang,29124
Kepulauan Riau,Tanjung Pinang,Bukit Bestari,Tanjung Unggat,29122
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Timur,Melayu Kota Piring,29123
Kepulauan Riau,Lingga,Singkep Barat,Tinjul,29875
Kepulauan Riau,Lingga,Singkep Barat,Sungai Raya,29875
Kepulauan Riau,Lingga,Singkep Barat,Tanjung Irat,29875
Kepulauan Riau,Lingga,Singkep Barat,Tinjul,29875
Kepulauan Riau,Lingga,Singkep Barat,Sungai Harapan,29875
Kepulauan Riau,Lingga,Singkep Barat,Sungai Raya,29875
Kepulauan Riau,Lingga,Lingga Utara,Linau,29874
Kepulauan Riau,Lingga,Lingga Utara,Pancur,29874
Kepulauan Riau,Lingga,Lingga Utara,Rantau Panjang,29874
Kepulauan Riau,Lingga,Senayang,Mensanak,29873
Kepulauan Riau,Lingga,Senayang,Benan,29873
Kepulauan Riau,Lingga,Senayang,Cempa,29873
Kepulauan Riau,Lingga,Lingga Timur,Kudung,29872
Kepulauan Riau,Lingga,Lingga Timur,Keton,29872
Kepulauan Riau,Lingga,Lingga,Kelumu,29872
Kepulauan Riau,Lingga,Singkep,Batu Berdaun,29871
Kepulauan Riau,Kepulauan Anambas,Jemaja Timur,Ulu Maras,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Rewak,29792
Kepulauan Riau,Kepulauan Anambas,Siantan,Tarempa Barat Daya,29791
Kepulauan Riau,Kepulauan Anambas,Siantan,Tarempa,29791
Kepulauan Riau,Kepulauan Anambas,Siantan,Tarempa Barat,29791
Kepulauan Riau,Kepulauan Anambas,Siantan Tengah,Teluk Sunting,29783
Kepulauan Riau,Kepulauan Anambas,Siantan Tengah,Teluk Siantan,29783
Kepulauan Riau,Natuna,Bunguran Utara,Teluk Buton,29783
Kepulauan Riau,Natuna,Pulau Tiga,Sabang Mawang Barat,29783
Kepulauan Riau,Natuna,Bunguran Timur,Ranai Kota,29783
Kepulauan Riau,Natuna,Pulau Tiga,Sabang Mawang,29783
Kepulauan Riau,Natuna,Bunguran Timur Laut,Kelanga,29783
Kepulauan Riau,Natuna,Bunguran Utara,Kelarik,29783
Kepulauan Riau,Natuna,Bunguran Utara,Kelarik Air Mali,29783
Kepulauan Riau,Natuna,Pulau Laut,Air Payang,29783
Kepulauan Riau,Kepulauan Anambas,Siantan Tengah,Air Asuk,29783
Kepulauan Riau,Natuna,Bunguran Barat,Selaut,29782
Kepulauan Riau,Natuna,Subi,Pulau Kerdau,29781
Kepulauan Riau,Natuna,Serasan Timur,Payak (Harapan Baru),29781
Kepulauan Riau,Natuna,Serasan,Pangkalan,29781
Kepulauan Riau,Karimun,Meral Barat,Pangke,29664
Kepulauan Riau,Karimun,Meral Barat,Pangke Barat,29664
Kepulauan Riau,Karimun,Buru,Lubuk Puding,29664
Kepulauan Riau,Karimun,Tebing,Pamak,29663
Kepulauan Riau,Karimun,Moro,Keban,29663
Kepulauan Riau,Karimun,Moro,Moro,29663
Kepulauan Riau,Karimun,Kundur Barat,Sawang,29662
Kepulauan Riau,Karimun,Kundur Barat,Sawang Laut,29662
Kepulauan Riau,Karimun,Kundur Utara,Perayun,29662
Kepulauan Riau,Karimun,Karimun,Lubuk Semut,29661
Kepulauan Riau,Karimun,Karimun,Parit,29661
Kepulauan Riau,Batam,Galang,Pulau Abang,29487
Kepulauan Riau,Batam,Batam Kota,Belian,29464
Kepulauan Riau,Batam,Batam Kota,Teluk Tering,29461
Kepulauan Riau,Batam,Bengkong,Bengkong Indah,29458
Kepulauan Riau,Batam,Sei/Sungai Beduk,Tanjung Piayu,29437
Kepulauan Riau,Batam,Batu Aji,Bukit Tempayan,29438
Kepulauan Riau,Batam,Sei/Sungai Beduk,Duriangka,29437
Kepulauan Riau,Batam,Belakang Padang,Pulau Terong,29416
Kepulauan Riau,Batam,Belakang Padang,Sekanak Raya,29416
Kepulauan Riau,Batam,Belakang Padang,Tanjung Sari,29416
Kepulauan Riau,Bintan,Bintan Utara,Tanjung Uban Selatan,29152
Kepulauan Riau,Bintan,Teluk Sebong,Sebung/Sebong Pereh,29152
Kepulauan Riau,Bintan,Teluk Sebong,Sri Bintan,29152
Kepulauan Riau,Tanjung Pinang,Bukit Bestari,Tanjung Pinang Timur,29122
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Timur,Kampung Bulang,29122
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Timur,Pinang Kencana,29122
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Kota,Kampung Bugis,29115
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Timur,Air Raja,29122
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Kota,Penyengat,29114
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Barat,Kampung Baru,29113
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Barat,Tanjung Pinang Barat,29113
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Barat,Kemboja,29112
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Kota,Tanjung Pinang Kota,29111
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Barat,Bukit Cermin,29111
Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Kota,Senggarang,29111
Kepulauan Riau,Lingga,Singkep Barat,Sungai Harapan,29875
Kepulauan Riau,Lingga,Singkep Barat,Suak Buaya,29875
Kepulauan Riau,Lingga,Singkep Barat,Sungai Buluh,29875
Kepulauan Riau,Lingga,Singkep Barat,Marok Tua,29875
Kepulauan Riau,Lingga,Singkep Barat,Posek,29875
Kepulauan Riau,Lingga,Singkep Barat,Raya,29875
Kepulauan Riau,Lingga,Singkep Barat,Kuala Raya,29875
Kepulauan Riau,Lingga,Singkep Barat,Langkap,29875
Kepulauan Riau,Lingga,Singkep Barat,Bukit Belah,29875
Kepulauan Riau,Lingga,Singkep Barat,Busung Panjang,29875
Kepulauan Riau,Lingga,Singkep Barat,Jaqoh,29875
Kepulauan Riau,Lingga,Lingga Utara,Teluk,29874
Kepulauan Riau,Lingga,Singkep Barat,Bakong,29875
Kepulauan Riau,Lingga,Lingga Utara,Sekanah,29874
Kepulauan Riau,Lingga,Lingga Utara,Sungai Besar,29874
Kepulauan Riau,Lingga,Lingga Utara,Resun Pesisir,29874
Kepulauan Riau,Lingga,Lingga Utara,Resun,29874
Kepulauan Riau,Lingga,Singkep Barat,Tanjung Irat,29875
Kepulauan Riau,Lingga,Singkep Barat,Suak Buaya,29875
Kepulauan Riau,Lingga,Singkep Barat,Sungai Buluh,29875
Kepulauan Riau,Lingga,Singkep Barat,Marok Tua,29875
Kepulauan Riau,Lingga,Singkep Barat,Posek,29875
Kepulauan Riau,Lingga,Singkep Barat,Raya,29875
Kepulauan Riau,Lingga,Singkep Barat,Kuala Raya,29875
Kepulauan Riau,Lingga,Singkep Barat,Langkap,29875
Kepulauan Riau,Lingga,Singkep Barat,Jaqoh,29875
Kepulauan Riau,Lingga,Singkep Barat,Bukit Belah,29875
Kepulauan Riau,Lingga,Singkep Barat,Busung Panjang,29875
Kepulauan Riau,Lingga,Lingga Utara,Teluk,29874
Kepulauan Riau,Lingga,Singkep Barat,Bakong,29875
Kepulauan Riau,Lingga,Lingga Utara,Sekanah,29874
Kepulauan Riau,Lingga,Lingga Utara,Sungai Besar,29874
Kepulauan Riau,Lingga,Lingga Utara,Resun,29874
Kepulauan Riau,Lingga,Lingga Utara,Resun Pesisir,29874
Kepulauan Riau,Lingga,Lingga Utara,Duara,29874
Kepulauan Riau,Lingga,Lingga Utara,Limbung,29874
Kepulauan Riau,Lingga,Lingga Utara,Belungkur,29874
Kepulauan Riau,Lingga,Lingga Utara,Bukit Harapan,29874
Kepulauan Riau,Lingga,Senayang,Tanjung Lipat,29873
Kepulauan Riau,Lingga,Senayang,Temiang,29873
Kepulauan Riau,Lingga,Senayang,Senayang,29873
Kepulauan Riau,Lingga,Senayang,Tajur Biru,29873
Kepulauan Riau,Lingga,Senayang,Tanjung Kelit,29873
Kepulauan Riau,Lingga,Senayang,Pulau Medang,29873
Kepulauan Riau,Lingga,Senayang,Rejai,29873
Kepulauan Riau,Lingga,Senayang,Pulau Batang,29873
Kepulauan Riau,Lingga,Senayang,Pulau Bukit,29873
Kepulauan Riau,Lingga,Senayang,Pulau Duyung,29873
Kepulauan Riau,Lingga,Senayang,Pasir Panjang,29873
Kepulauan Riau,Lingga,Senayang,Penaah,29873
Kepulauan Riau,Lingga,Senayang,Mamut,29873
Kepulauan Riau,Lingga,Senayang,Labo,29873
Kepulauan Riau,Lingga,Senayang,Baran,29873
Kepulauan Riau,Lingga,Senayang,Batu Belubang,29873
Kepulauan Riau,Lingga,Selayar,Selayar,29872
Kepulauan Riau,Lingga,Lingga Timur,Sei/Sungai Pinang,29872
Kepulauan Riau,Lingga,Selayar,Penuba,29872
Kepulauan Riau,Lingga,Selayar,Penuba Timur,29872
Kepulauan Riau,Lingga,Lingga,Pekajang,29872
Kepulauan Riau,Lingga,Lingga Timur,Pekaka,29872
Kepulauan Riau,Lingga,Lingga,Panggak Laut,29872
Kepulauan Riau,Lingga,Selayar,Pantai Harapan,29872
Kepulauan Riau,Lingga,Lingga,Nerekeh,29872
Kepulauan Riau,Lingga,Lingga,Panggak Darat,29872
Kepulauan Riau,Lingga,Lingga,Mepar,29872
Kepulauan Riau,Lingga,Lingga,Merawang,29872
Kepulauan Riau,Lingga,Lingga,Musai,29872
Kepulauan Riau,Lingga,Lingga,Mentuda,29872
Kepulauan Riau,Lingga,Lingga Timur,Kerandin,29872
Kepulauan Riau,Lingga,Lingga,Kelombok,29872
Kepulauan Riau,Lingga,Lingga,Daik,29872
Kepulauan Riau,Lingga,Lingga Timur,Bukit Langkap,29872
Kepulauan Riau,Lingga,Singkep,Sungai Lumpur,29871
Kepulauan Riau,Lingga,Singkep,Tanjung Harapan,29871
Kepulauan Riau,Lingga,Singkep Pesisir,Sedamai,29871
Kepulauan Riau,Lingga,Singkep Pesisir,Pelakak,29871
Kepulauan Riau,Lingga,Singkep Pesisir,Persing,29871
Kepulauan Riau,Lingga,Singkep,Marok Kecil,29871
Kepulauan Riau,Lingga,Singkep Pesisir,Lanjut,29871
Kepulauan Riau,Lingga,Singkep Pesisir,Kota/Kote,29871
Kepulauan Riau,Lingga,Singkep,Dabo,29871
Kepulauan Riau,Lingga,Singkep,Dabo Lama,29871
Kepulauan Riau,Lingga,Singkep Pesisir,Berindat,29871
Kepulauan Riau,Lingga,Singkep,Berhala,29871
Kepulauan Riau,Lingga,Singkep,Batu Karang,29871
Kepulauan Riau,Kepulauan Anambas,Jemaja,Sunggak,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Mampok,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Letung,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Landak,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja Timur,Kuala Maras,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Keramut,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Impol,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja Timur,Genting Pulur,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja Timur,Bukit Padi,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Batu Berapit,29792
Kepulauan Riau,Kepulauan Anambas,Jemaja,Air Biru,29792
