Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Lampung,Metro,Metro Timur,Tejo Sari,34124
Lampung,Metro,Metro Selatan,Rejomulyo,34123
Lampung,Metro,Metro Selatan,Sumbersari,34122
Lampung,Tanggamus,Wonosobo,Way Panas,35686
Lampung,Tanggamus,Wonosobo,Wonosobo,35686
Lampung,Tanggamus,Wonosobo,Way Liwok,35686
Lampung,Tanggamus,Wonosobo,Wonosobo,35686
Lampung,Tanggamus,Wonosobo,Way Panas,35686
Lampung,Tanggamus,Wonosobo,Way Liwok,35686
Lampung,Tanggamus,Bandar Negeri Semuong,Negeri Agung,35686
Lampung,Tanggamus,Wonosobo,Negeri Ngarip,35686
Lampung,Tanggamus,Wonosobo,Kunyayan,35686
Lampung,Tanggamus,Cukuh Balak,Way Rilau,35683
Lampung,Tanggamus,Cukuh Balak,Tanjung Jati,35683
Lampung,Tanggamus,Cukuh Balak,Tanjung Raja,35683
Lampung,Tanggamus,Cukuh Balak,Banjar Manis,35683
Lampung,Pringsewu,Pardasuka,Tanjung Rusia Timur,35682
Lampung,Tanggamus,Bulok,Tanjungsari,35682
Lampung,Pringsewu,Pardasuka,Kedaung,35682
Lampung,Tanggamus,Bulok,Banjar Masin,35682
Lampung,Tanggamus,Bulok,Gunung Terang,35682
Lampung,Tanggamus,Pulau Panggung,Muara Dua,35679
Lampung,Tanggamus,Pulau Panggung,Penantian,35679
Lampung,Tanggamus,Pulau Panggung,Kemuning,35679
Lampung,Tanggamus,Pugung,Tanjung Heran,35675
Lampung,Tanggamus,Pugung,Talang Lebar,35675
Lampung,Tanggamus,Pugung,Tamansari,35675
Lampung,Pringsewu,Adi Luwih,Waringinsari Timur,35674
Lampung,Tanggamus,Pugung,Babakan,35675
Lampung,Pringsewu,Sukoharjo,Waringin Sari Barat,35674
Lampung,Pringsewu,Sukoharjo,Pandan Surat,35674
Lampung,Pringsewu,Sukoharjo,Panggung Rejo,35674
Lampung,Pringsewu,Sukoharjo,Pandan Sari,35674
Lampung,Tanggamus,Limau,Badak,35613
Lampung,Tanggamus,Limau,Antarbrak (Antarberak),35613
Lampung,Tanggamus,Kota Agung (Kota Agung Pusat),Baros,35611
Lampung,Lampung Selatan,Ketapang,Ruguk,35596
Lampung,Lampung Selatan,Ketapang,Sido Luhur,35596
Lampung,Lampung Selatan,Ketapang,Pematang Pasir,35596
Lampung,Lampung Selatan,Palas,Palas Pasemah,35594
Lampung,Lampung Selatan,Palas,Mekar Mulya,35594
Lampung,Lampung Selatan,Palas,Palas Aji,35594
Lampung,Lampung Selatan,Penengahan,Ruang Tengah,35592
Lampung,Lampung Selatan,Penengahan,Pasuruan,35592
Lampung,Lampung Selatan,Penengahan,Pisang,35592
Lampung,Lampung Selatan,Rajabasa,Wai Muli Timur,35552
Lampung,Lampung Selatan,Rajabasa,Sukaraja,35552
Lampung,Lampung Selatan,Rajabasa,Tanjung Gading,35552
Lampung,Lampung Selatan,Kalianda,Tajimalela,35551
Lampung,Lampung Selatan,Kalianda,Pematang,35551
Lampung,Lampung Selatan,Kalianda,Suka Tani,35551
Lampung,Lampung Selatan,Kalianda,Buah Berak,35551
Lampung,Lampung Selatan,Kalianda,Babulang,35551
Lampung,Lampung Tengah,Anak Ratu Aji,Sukajaya,35513
Lampung,Pesawaran,Marga Punduh,Pekon Ampai,35453
Lampung,Pesawaran,Marga Punduh,Maja,35453
Lampung,Pesawaran,Marga Punduh,Kunyaian,35453
Lampung,Lampung Selatan,Way Sulan,Purwodadi,35452
Lampung,Lampung Selatan,Katibung,Pardasuka,35452
Lampung,Lampung Selatan,Way Sulan,Pemulihan,35452
Lampung,Pesawaran,Padang Cermin,Pesawaran Indah,35451
Lampung,Pesawaran,Padang Cermin,Paya,35451
Lampung,Pesawaran,Padang Cermin,Padang Cermin,35451
Lampung,Tanggamus,Ulubelu,Suka Maju,35387
Lampung,Tanggamus,Ulubelu,Tanjung Baru,35387
Lampung,Tanggamus,Ulubelu,Sirnagalih,35387
Lampung,Tanggamus,Semaka,Sudimoro Bangun,35386
Lampung,Tanggamus,Semaka,Sri Purnomo,35386
Lampung,Tanggamus,Semaka,Sri Kuncoro,35386
Lampung,Tanggamus,Kota Agung Barat,Teba Bunuk,35384
Lampung,Tanggamus,Kota Agung Timur,Tanjungjati,35384
Lampung,Tanggamus,Kota Agung Barat,Talangening (Tela Gening),35384
Lampung,Tanggamus,Kota Agung (Kota Agung Pusat),Kedamaian,35384
Lampung,Tanggamus,Kota Agung (Kota Agung Pusat),Kelungu,35384
Lampung,Tanggamus,Kota Agung Barat,Kesugihan,35384
Lampung,Tanggamus,Pematang Sawa,Tanjungan,35382
Lampung,Tanggamus,Pematang Sawa,Tampang,35382
Lampung,Tanggamus,Kota Agung (Kota Agung Pusat),Pardasuka,35382
Lampung,Tanggamus,Kelumbayan,Pekon Susuk,35379
Lampung,Tanggamus,Kelumbayan,Pekon Unggak,35379
Lampung,Tanggamus,Gunung Alip,Pariaman,35379
Lampung,Tanggamus,Gisting,Gisting Permai,35378
Lampung,Tanggamus,Gisting,Gisting Bawah,35378
Lampung,Tanggamus,Gisting,Banjarmanis,35378
Lampung,Tanggamus,Talang Padang,Kejayaan,35377
Lampung,Tanggamus,Talang Padang,Negeri Agung,35377
Lampung,Tanggamus,Ulubelu,Datarajan,35377
Lampung,Pringsewu,Pagelaran,Pamenang,35376
Lampung,Pringsewu,Pagelaran,Panutan,35376
Lampung,Pringsewu,Pagelaran,Padang Rejo,35376
Lampung,Pringsewu,Pagelaran,Candi Retno,35376
Lampung,Pringsewu,Pagelaran,Bumi Rejo,35376
Lampung,Pringsewu,Ambarawa,Ambarawa Timur,35376
Lampung,Tanggamus,Sumberejo,Argomulyo,35374
Lampung,Pringsewu,Banyumas,Sukamulya,35373
Lampung,Pringsewu,Pringsewu,Waluyojati,35373
Lampung,Pringsewu,Pringsewu,Bumi Ayu,35373
Lampung,Pringsewu,Pringsewu,Fajar Agung Barat,35373
Lampung,Pringsewu,Banyumas,Banyuwangi,35373
Lampung,Pringsewu,Gading Rejo,Mataram,35372
Lampung,Pringsewu,Gading Rejo,Panjerejo,35372
Lampung,Pringsewu,Gading Rejo,Gadingrejo Utara,35372
Lampung,Pesawaran,Way Khilau,Padang Cermin,35368
Lampung,Pesawaran,Way Khilau,Kota Jawa,35368
Lampung,Pesawaran,Way Khilau,Kubu Batu,35368
Lampung,Pesawaran,Way Lima,Gunungrejo,35367
Lampung,Pesawaran,Way Lima,Kotadalam,35367
Lampung,Pesawaran,Way Lima,Cimanuk,35367
Lampung,Pesawaran,Gedong Tataan (Gedung Tataan),Bogorejo,35366
Lampung,Pesawaran,Gedong Tataan (Gedung Tataan),Cipadang,35366
Lampung,Pesawaran,Gedong Tataan (Gedung Tataan),Bernung,35366
Lampung,Lampung Selatan,Jati Agung,Karang Rejo,35365
Lampung,Lampung Selatan,Jati Agung,Gedung Agung,35365
Lampung,Lampung Selatan,Jati Agung,Gedung Harapan,35365
Lampung,Pesawaran,Tegineneng,Batang Hari Ogan,35363
Lampung,Lampung Selatan,Natar,Tanjungsari,35362
Lampung,Lampung Selatan,Natar,Wai Sari,35362
Lampung,Lampung Selatan,Natar,Kali Sari,35362
Lampung,Lampung Selatan,Natar,Haduyang,35362
Lampung,Lampung Selatan,Natar,Bumisari,35362
Lampung,Lampung Selatan,Tanjung Sari,Purwodadi Dalam,35361
Lampung,Lampung Selatan,Tanjung Sari,Mulyo Sari,35361
Lampung,Lampung Selatan,Tanjung Sari,Malang Sari,35361
Lampung,Lampung Selatan,Merbau Mataram,Mekar Jaya,35357
Lampung,Lampung Selatan,Merbau Mataram,Lebungsari,35357
Lampung,Lampung Selatan,Merbau Mataram,Karang Raja,35357
Lampung,Pesawaran,Negeri Katon,Trisno Maju,35353
Lampung,Pesawaran,Negeri Katon,Tri Rahayu,35353
Lampung,Pesawaran,Negeri Katon,Tanjung Rejo,35353
Lampung,Pesawaran,Negeri Katon,Roworejo,35353
Lampung,Pesawaran,Negeri Katon,Pujorahayu,35353
Lampung,Pesawaran,Negeri Katon,Poncokresno,35353
Lampung,Bandar Lampung,Panjang,Ketapang,35245
Lampung,Bandar Lampung,Sukabumi,Way Laga,35245
Lampung,Bandar Lampung,Panjang,Karang Maritim,35245
Lampung,Bandar Lampung,Telukbetung Selatan,Talang,35229
Lampung,Bandar Lampung,Bumi Waras,Garuntang,35227
Lampung,Bandar Lampung,Bumi Waras,Bumi Raya,35228
Lampung,Bandar Lampung,Telukbetung Utara,Kupang Teba,35212
Lampung,Lampung Tengah,Way Pangubuan (Pengubuan),Banjar Kertarahayu,35213
Lampung,Bandar Lampung,Telukbetung Utara,Kupang Raya,35212
Lampung,Bandar Lampung,Tanjung Karang Barat,Segala Mider,35152
Lampung,Bandar Lampung,Langkapura,Gunung Terang,35152
Lampung,Bandar Lampung,Tanjung Karang Barat,Sukajawa Baru,35151
Lampung,Bandar Lampung,Tanjung Senang,Way Kandis,35143
Lampung,Bandar Lampung,Labuhan Ratu,Labuhan Ratu,35142
Lampung,Bandar Lampung,Labuhan Ratu,Labuhan Ratu Raya,35142
Lampung,Bandar Lampung,Sukarame,Korpri Raya,35131
Lampung,Bandar Lampung,Sukarame,Sukarame,35131
Lampung,Bandar Lampung,Sukarame,Korpri Jaya,35131
Lampung,Bandar Lampung,Tanjung Karang Pusat,Palapa,35116
Lampung,Bandar Lampung,Enggal,Pelita,35117
Lampung,Bandar Lampung,Tanjung Karang Pusat,Durian Payung,35116
Lampung,Lampung Barat,Pagar Dewa,Pahayu Jaya,34885
Lampung,Lampung Barat,Pagar Dewa,Marga Jaya,34885
Lampung,Lampung Barat,Pagar Dewa,Mekar Sari,34885
Lampung,Pesisir Barat,Bengkunat Belimbing,Tanjung Kemala,34883
Lampung,Pesisir Barat,Ngambur,Sumber Agung,34883
Lampung,Pesisir Barat,Bengkunat,Sukarame,34883
