Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Maluku Utara,Ternate,Ternate Tengah (Kota),Takoma,97714
Maluku Utara,Ternate,Ternate Selatan (Kota),Ngade,97713
Maluku Utara,Ternate,Ternate Tengah (Kota),Tanah Raja,97713
Maluku Utara,Halmahera Timur,Wasile Selatan,Yawal,97863
Maluku Utara,Halmahera Timur,Wasile Timur,Woka Jaya,97863
Maluku Utara,Halmahera Timur,Wasile Selatan,Waijoi,97863
Maluku Utara,Halmahera Timur,Wasile Timur,Woka Jaya,97863
Maluku Utara,Halmahera Timur,Wasile Selatan,Yawal,97863
Maluku Utara,Halmahera Timur,Wasile,Waisuba,97863
Maluku Utara,Halmahera Timur,Wasile Timur,Rawamangun,97863
Maluku Utara,Halmahera Timur,Wasile Selatan,Nusa Jaya,97863
Maluku Utara,Halmahera Timur,Wasile Tengah,Nyaolako,97863
Maluku Utara,Halmahera Timur,Wasile Selatan,Ekorino,97863
Maluku Utara,Halmahera Timur,Wasile Selatan,Fayaul,97863
Maluku Utara,Halmahera Timur,Wasile Selatan,Ekor,97863
Maluku Utara,Halmahera Timur,Maba Selatan,Waci,97862
Maluku Utara,Halmahera Timur,Kota Maba,Wailukum,97862
Maluku Utara,Halmahera Timur,Maba,Teluk Buli,97862
Maluku Utara,Halmahera Timur,Kota Maba,Maba Sangaji (Gotowasi),97862
Maluku Utara,Halmahera Timur,Maba Selatan,Loloelamo,97862
Maluku Utara,Halmahera Timur,Maba Utara,Lili,97862
Maluku Utara,Halmahera Timur,Maba,Baburino,97862
Maluku Utara,Halmahera Timur,Maba Tengah,Babasaram,97862
Maluku Utara,Halmahera Tengah,Patani,Yondeliu,97854
Maluku Utara,Halmahera Tengah,Patani Utara,Masure,97854
Maluku Utara,Halmahera Tengah,Patani,Kipai,97854
Maluku Utara,Halmahera Tengah,Pulau Gebe,Kapaleo,97854
Maluku Utara,Halmahera Tengah,Weda Selatan,Tilope (Tiloppe),97853
Maluku Utara,Halmahera Tengah,Weda Selatan,Sosowomo,97853
Maluku Utara,Halmahera Tengah,Weda,Sidanga,97853
Maluku Utara,Halmahera Tengah,Weda Utara,Fritu (Sepoh),97853
Maluku Utara,Halmahera Tengah,Weda Utara,Dotte,97853
Maluku Utara,Halmahera Tengah,Weda Selatan,Air Salobar,97853
Maluku Utara,Tidore Kepulauan,Oba,Kusu Sinopa,97852
Maluku Utara,Tidore Kepulauan,Oba,Koli,97852
Maluku Utara,Tidore Kepulauan,Oba,Kosa,97852
Maluku Utara,Tidore Kepulauan,Tidore Selatan,Tuguiha,97813
Maluku Utara,Tidore Kepulauan,Tidore Timur (Pulau Tidore),Tosa,97813
Maluku Utara,Tidore Kepulauan,Tidore (Pulau Tidore),Topo Tiga,97813
Maluku Utara,Tidore Kepulauan,Tidore Timur (Pulau Tidore),Kalaodi,97813
