Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Nanggroe Aceh Darussalam,Banda Aceh,Syiah Kuala,Lamgugob,23115
Nanggroe Aceh Darussalam,Banda Aceh,Syiah Kuala,Rukoh,23112
Nanggroe Aceh Darussalam,Banda Aceh,Syiah Kuala,Jeulingke,23114
Nanggroe Aceh Darussalam,Aceh Singkil,Pulau Banyak Barat,Ujung Sialit,24791
Nanggroe Aceh Darussalam,Aceh Singkil,Pulau Banyak,Teluk Nibung,24791
Nanggroe Aceh Darussalam,Aceh Singkil,Pulau Banyak Barat,Suka Makmur,24791
Nanggroe Aceh Darussalam,Aceh Singkil,Pulau Banyak Barat,Ujung Sialit,24791
Nanggroe Aceh Darussalam,Aceh Singkil,Pulau Banyak,Teluk Nibung,24791
Nanggroe Aceh Darussalam,Aceh Singkil,Pulau Banyak,Pulau Balai,24791
Nanggroe Aceh Darussalam,Subulussalam,Rundeng,Lae Mate,24786
Nanggroe Aceh Darussalam,Subulussalam,Rundeng,Lae Pamualan,24786
Nanggroe Aceh Darussalam,Subulussalam,Rundeng,Kuala Kepeng (Keupeng),24786
Nanggroe Aceh Darussalam,Aceh Singkil,Singkil,Pemuka,24785
Nanggroe Aceh Darussalam,Aceh Singkil,Singkil,Pulo Sarok,24785
Nanggroe Aceh Darussalam,Aceh Singkil,Singkil,Rantau Gedang,24785
Nanggroe Aceh Darussalam,Aceh Singkil,Gunung Meriah (Mariah),Suka Makmur,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Kuala Baru,Suka Jaya,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Singkohor,Sri Kayu,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Gunung Meriah (Mariah),Pandan Sari,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Suro Makmur,Pangkalan Sulampi,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Danau Paris,Napa Galuh,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Kuala Baru,Kayu Menang,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Gunung Meriah (Mariah),Gunung Lagan,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Gunung Meriah (Mariah),Cingkam,24784
Nanggroe Aceh Darussalam,Aceh Singkil,Simpang Kanan,Sododadi,24783
Nanggroe Aceh Darussalam,Aceh Singkil,Simpang Kanan,Serasah,24783
Nanggroe Aceh Darussalam,Aceh Singkil,Simpang Kanan,Siatas,24783
Nanggroe Aceh Darussalam,Subulussalam,Simpang Kiri,Tangga Besi,24782
Nanggroe Aceh Darussalam,Subulussalam,Sultan Daulat,Suka Maju,24782
Nanggroe Aceh Darussalam,Subulussalam,Simpang Kiri,Subulussalam Selatan,24782
Nanggroe Aceh Darussalam,Subulussalam,Simpang Kiri,Pasar Panjang,24782
Nanggroe Aceh Darussalam,Subulussalam,Sultan Daulat,Namo Buayo,24782
Nanggroe Aceh Darussalam,Subulussalam,Simpang Kiri,Makmur Jaya,24782
Nanggroe Aceh Darussalam,Subulussalam,Sultan Daulat,Gunung Bakti,24782
Nanggroe Aceh Darussalam,Subulussalam,Longkib,Darul Aman (Ginasing),24782
Nanggroe Aceh Darussalam,Subulussalam,Sultan Daulat,Cipar Pari/Pare,24782
