Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Nusa Tenggara Barat,Mataram,Selaparang (Selaprang),Monjok Timur,83122
Nusa Tenggara Barat,Mataram,Selaparang (Selaprang),Karang Baru,83123
Nusa Tenggara Barat,Mataram,Selaparang (Selaprang),Monjok,83122
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Sapugara Bree,84458
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Tepas,84458
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Bangkat Monte,84458
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Sapugara Bree,84458
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Tepas,84458
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Bangkat Monte,84458
Nusa Tenggara Barat,Sumbawa Barat,Brang Ene,Tepas Sepakat,84455
Nusa Tenggara Barat,Sumbawa Barat,Taliwang,Sermong,84455
Nusa Tenggara Barat,Sumbawa Barat,Taliwang,Tamekan,84455
Nusa Tenggara Barat,Sumbawa Barat,Brang Ene,Kalimantong,84455
Nusa Tenggara Barat,Sumbawa Barat,Taliwang,Dalam,84455
Nusa Tenggara Barat,Sumbawa Barat,Taliwang,Bugis,84455
Nusa Tenggara Barat,Sumbawa Barat,Poto Tano,Kiantar,84454
Nusa Tenggara Barat,Sumbawa Barat,Sateluk (Seteluk),Kelanir,84454
Nusa Tenggara Barat,Sumbawa Barat,Sateluk (Seteluk),Air Suning,84454
Nusa Tenggara Barat,Sumbawa,Empang,Boal,84384
Nusa Tenggara Barat,Sumbawa,Tarano,Banda,84384
Nusa Tenggara Barat,Sumbawa,Plampang,Teluk Santong,84383
Nusa Tenggara Barat,Sumbawa,Labangka,Labangka,84383
Nusa Tenggara Barat,Sumbawa,Plampang,Brang Kolong,84383
Nusa Tenggara Barat,Sumbawa,Lopok,Pungkit,84382
Nusa Tenggara Barat,Sumbawa,Moyo Hilir,Olat Rawa,84381
Nusa Tenggara Barat,Sumbawa,Moyo Hilir,Labuhan Ijuk,84381
Nusa Tenggara Barat,Sumbawa,Moyo Hilir,Moyo,84381
Nusa Tenggara Barat,Sumbawa,Lenangguar,Tatebal,84372
Nusa Tenggara Barat,Sumbawa,Lenangguar,Telaga,84372
Nusa Tenggara Barat,Sumbawa,Ropang,Ropang,84372
Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Lito,84371
Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Maman,84371
Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Batutering,84371
Nusa Tenggara Barat,Sumbawa,Buer,Labuhan Burung,84353
Nusa Tenggara Barat,Sumbawa,Alas Barat,Lekong,84353
Nusa Tenggara Barat,Sumbawa,Alas Barat,Labuan Mapin,84353
Nusa Tenggara Barat,Sumbawa,Rhee,Luk,84352
Nusa Tenggara Barat,Sumbawa,Utan,Motong,84352
Nusa Tenggara Barat,Sumbawa,Utan,Orong Bawa,84352
Nusa Tenggara Barat,Sumbawa,Labuhan Badas,Bugis Medang,84316
Nusa Tenggara Barat,Sumbawa,Labuhan Badas,Karang Dima,84316
Nusa Tenggara Barat,Sumbawa,Unter Iwes (Unterwiris),Boak,84316
Nusa Tenggara Barat,Dompu,Pekat,Tambora,84261
Nusa Tenggara Barat,Dompu,Kempo,Ta’a,84261
Nusa Tenggara Barat,Dompu,Kempo,Soro,84261
Nusa Tenggara Barat,Dompu,Menggelewa (Manggelewa),Doromelo,84253
Nusa Tenggara Barat,Dompu,Kilo,Mbuju,84252
Nusa Tenggara Barat,Dompu,Kilo,Taropo,84252
Nusa Tenggara Barat,Dompu,Dompu,Katua,84219
Nusa Tenggara Barat,Dompu,Dompu,Mangge Nae,84219
Nusa Tenggara Barat,Dompu,Dompu,Kandai Satu,84219
Nusa Tenggara Barat,Bima,Tambora,Kawinda Nae,84191
Nusa Tenggara Barat,Bima,Tambora,Kawinda Toi,84191
Nusa Tenggara Barat,Bima,Sanggar,Boro,84191
Nusa Tenggara Barat,Bima,Lambu,Melayu,84182
Nusa Tenggara Barat,Bima,Lambu,Lanta,84182
Nusa Tenggara Barat,Bima,Sape,Lamere (Lamera),84182
Nusa Tenggara Barat,Bima,Wawo,Ntori,84181
Nusa Tenggara Barat,Bima,Wawo,Pesa,84181
Nusa Tenggara Barat,Bima,Wawo,Raba,84181
Nusa Tenggara Barat,Bima,Palibelo,Tonggorisa,84173
Nusa Tenggara Barat,Bima,Palibelo,Teke,84173
Nusa Tenggara Barat,Bima,Belo,Soki,84173
Nusa Tenggara Barat,Bima,Monta,Tangga Baru,84172
Nusa Tenggara Barat,Bima,Monta,Tolotangga,84172
Nusa Tenggara Barat,Bima,Monta,Simpasai,84172
Nusa Tenggara Barat,Bima,Woha,Rabakodo,84171
Nusa Tenggara Barat,Bima,Woha,Risa,84171
Nusa Tenggara Barat,Bima,Woha,Pandai,84171
Nusa Tenggara Barat,Bima,Donggo,Mbawa,84162
Nusa Tenggara Barat,Bima,Donggo,Bumi Pajo,84162
Nusa Tenggara Barat,Bima,Donggo,Doridungga,84162
Nusa Tenggara Barat,Bima,Ambalawi,Nipa,84153
Nusa Tenggara Barat,Bima,Wera,Wora,84152
Nusa Tenggara Barat,Bima,Ambalawi,Kole,84153
Nusa Tenggara Barat,Bima,Rasanae Timur,Oi Fo’o,84119
Nusa Tenggara Barat,Bima,Raba,Nitu,84119
Nusa Tenggara Barat,Bima,Raba,Ntobo,84119
Nusa Tenggara Barat,Bima,Mpunda,Penatoi,84115
Nusa Tenggara Barat,Bima,Rasanae Barat,Nae,84116
Nusa Tenggara Barat,Bima,Raba,Penaraga,84115
Nusa Tenggara Barat,Bima,Madapangga,Campa,84111
Nusa Tenggara Barat,Lombok Timur,Keruak,Tanjung Luar,83672
Nusa Tenggara Barat,Lombok Timur,Jerowaru,Wakan,83672
Nusa Tenggara Barat,Lombok Timur,Jerowaru,Kwang Rundun,83672
Nusa Tenggara Barat,Lombok Timur,Keruak,Mendana Raya,83672
Nusa Tenggara Barat,Lombok Timur,Keruak,Ketangga Jeraeng,83672
Nusa Tenggara Barat,Lombok Timur,Sakra,Rumbuk,83671
Nusa Tenggara Barat,Lombok Timur,Sakra,Rumbuk Timur,83671
Nusa Tenggara Barat,Lombok Timur,Sakra Barat,Rensing Bat,83671
Nusa Tenggara Barat,Lombok Timur,Sakra Barat,Jerogunung,83671
Nusa Tenggara Barat,Lombok Timur,Sakra,Kabar,83671
Nusa Tenggara Barat,Lombok Timur,Sakra Barat,Gerisak Semanggelen,83671
Nusa Tenggara Barat,Lombok Timur,Montong Gading,Pringgajurang Utara,83663
Nusa Tenggara Barat,Lombok Timur,Montong Gading,Pringga Jurang,83663
Nusa Tenggara Barat,Lombok Timur,Montong Gading,Perian,83663
Nusa Tenggara Barat,Lombok Timur,Sikur,Montongbaan,83662
Nusa Tenggara Barat,Lombok Timur,Sikur,Semaya,83662
Nusa Tenggara Barat,Lombok Timur,Sikur,Montong Baan Selatan,83662
Nusa Tenggara Barat,Lombok Timur,Masbagik,Lendang Nangka Utara,83661
Nusa Tenggara Barat,Lombok Timur,Masbagik,Masbagik Selatan,83661
Nusa Tenggara Barat,Lombok Timur,Masbagik,Kumbang,83661
Nusa Tenggara Barat,Lombok Timur,Sambalia (Sambelia),Darakunci,83656
Nusa Tenggara Barat,Lombok Timur,Sambalia (Sambelia),Labuhan Pandan,83656
Nusa Tenggara Barat,Lombok Timur,Sambalia (Sambelia),Dadap,83656
Nusa Tenggara Barat,Lombok Timur,Suela (Suwela),Ketangga,83654
Nusa Tenggara Barat,Lombok Timur,Suela (Suwela),Mekar Sari,83654
Nusa Tenggara Barat,Lombok Timur,Pringgabaya,Labuhan Lombok,83654
Nusa Tenggara Barat,Lombok Timur,Aikmel,Lenek Lauq,83653
Nusa Tenggara Barat,Lombok Timur,Aikmel,Lenek Pesiraman,83653
Nusa Tenggara Barat,Lombok Timur,Aikmel,Lenek Daya,83653
Nusa Tenggara Barat,Lombok Timur,Wanasaba,Bebidas,83653
Nusa Tenggara Barat,Lombok Timur,Aikmel,Aikmel Timur,83653
Nusa Tenggara Barat,Lombok Timur,Aikmel,Aikmel Utara,83653
Nusa Tenggara Barat,Lombok Timur,Sukamulia,Jantuk,83652
Nusa Tenggara Barat,Lombok Timur,Suralaga,Gapuk,83652
Nusa Tenggara Barat,Lombok Timur,Suralaga,Gerung Permai,83652
Nusa Tenggara Barat,Lombok Timur,Labuhan Haji,Kertasari,83617
Nusa Tenggara Barat,Lombok Timur,Labuhan Haji,Labuhan Haji,83616
Nusa Tenggara Barat,Lombok Timur,Labuhan Haji,Surya Wangi,83616
Nusa Tenggara Barat,Lombok Tengah,Praya Tengah,Batunyala,83582
Nusa Tenggara Barat,Lombok Tengah,Praya Tengah,Beraim,83582
Nusa Tenggara Barat,Lombok Tengah,Praya Tengah,Jurang Jaler,83582
Nusa Tenggara Barat,Lombok Tengah,Pujut,Rembitan,83573
Nusa Tenggara Barat,Lombok Tengah,Pujut,Pengembur,83573
Nusa Tenggara Barat,Lombok Tengah,Pujut,Pengengat,83573
Nusa Tenggara Barat,Lombok Tengah,Praya Barat Daya,Pandan Indah,83571
Nusa Tenggara Barat,Lombok Tengah,Praya Barat Daya,Pelambik (Plambik),83571
Nusa Tenggara Barat,Lombok Tengah,Praya Barat Daya,Kabul (Kabol),83571
Nusa Tenggara Barat,Lombok Tengah,Jonggat,Nyerot,83561
Nusa Tenggara Barat,Lombok Tengah,Jonggat,Gemel,83561
Nusa Tenggara Barat,Lombok Tengah,Jonggat,Jelantik,83561
Nusa Tenggara Barat,Lombok Tengah,Kopang,Kopang Rembiga,83553
Nusa Tenggara Barat,Lombok Tengah,Kopang,Lendang Ara,83553
Nusa Tenggara Barat,Lombok Tengah,Kopang,Monggas,83553
Nusa Tenggara Barat,Lombok Tengah,Batukliang,Aik Darek (Aiq Dareq),83552
Nusa Tenggara Barat,Lombok Tengah,Batukliang Utara,Aik Berik,83552
Nusa Tenggara Barat,Lombok Tengah,Batukliang Utara,Aik Bukak (Bukaq),83552
Nusa Tenggara Barat,Lombok Barat,Narmada,Suranadi,83371
Nusa Tenggara Barat,Lombok Barat,Narmada,Tanah/Tanak Beak,83371
Nusa Tenggara Barat,Lombok Barat,Narmada,Sesaot,83371
Nusa Tenggara Barat,Lombok Barat,Narmada,Krama Jaya,83371
Nusa Tenggara Barat,Lombok Barat,Lingsar,Gontoran,83371
Nusa Tenggara Barat,Lombok Barat,Narmada,Golong,83371
Nusa Tenggara Barat,Lombok Barat,Sekotong,Kedaro,83365
Nusa Tenggara Barat,Lombok Barat,Sekotong,Cendi Manik,83365
Nusa Tenggara Barat,Lombok Barat,Sekotong,Buwun Mas,83365
Nusa Tenggara Barat,Lombok Barat,Gerung,Gerung Selatan,83363
Nusa Tenggara Barat,Lombok Barat,Gerung,Dasan Geres,83363
Nusa Tenggara Barat,Lombok Barat,Gerung,Dasan Tapen,83363
Nusa Tenggara Barat,Lombok Barat,Kediri,Gelogor,83362
Nusa Tenggara Barat,Lombok Barat,Kediri,Banyumulek,83362
Nusa Tenggara Barat,Lombok Barat,Labuapi,Telagawaru,83361
Nusa Tenggara Barat,Lombok Barat,Batu Layar,Batu Layar,83355
Nusa Tenggara Barat,Lombok Barat,Batu Layar,Bengkaung,83355
Nusa Tenggara Barat,Lombok Utara,Bayan,Senaru,83354
Nusa Tenggara Barat,Lombok Utara,Gangga,Gondang,83353
Nusa Tenggara Barat,Lombok Utara,Kayangan,Dangiang,83353
Nusa Tenggara Barat,Lombok Utara,Gangga,Genggelang,83353
Nusa Tenggara Barat,Lombok Barat,Gunungsari,Midang,83351
Nusa Tenggara Barat,Lombok Barat,Gunungsari,Kekait,83351
Nusa Tenggara Barat,Lombok Barat,Gunungsari,Kekeri,83351
Nusa Tenggara Barat,Mataram,Selaparang (Selaprang),Monjok Barat,83122
Nusa Tenggara Barat,Mataram,Mataram,Mataram Timur,83121
Nusa Tenggara Barat,Mataram,Ampenan,Pajarakan Karya,83118
Nusa Tenggara Barat,Mataram,Ampenan,Tamansari,83118
Nusa Tenggara Barat,Mataram,Ampenan,Doyan Peken,83118
Nusa Tenggara Barat,Mataram,Ampenan,Kebunsari,83118
Nusa Tenggara Barat,Mataram,Ampenan,Banjar,83118
Nusa Tenggara Barat,Mataram,Ampenan,Bintaro,83118
Nusa Tenggara Barat,Mataram,Mataram,Pagutan,83117
Nusa Tenggara Barat,Mataram,Sekarbela,Kekalik Jaya,83116
Nusa Tenggara Barat,Mataram,Sekarbela,Tanjung Karang Permai,83116
Nusa Tenggara Barat,Mataram,Sekarbela,Jempang Baru,83116
Nusa Tenggara Barat,Mataram,Sekarbela,Karang Pule,83116
Nusa Tenggara Barat,Mataram,Sekarbela,Tanjung Karang,83115
Nusa Tenggara Barat,Mataram,Ampenan,Pejeruk,83113
Nusa Tenggara Barat,Mataram,Ampenan,Ampenan Selatan,83114
Nusa Tenggara Barat,Mataram,Ampenan,Ampenan Tengah,83112
Nusa Tenggara Barat,Sumbawa Barat,Brang Rea,Desa Beru,84458
Nusa Tenggara Barat,Sumbawa Barat,Sekongkang,Tongo,84457
