Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Nusa Tenggara Timur,Kupang,Kota Raja,Kuanino,85119
Nusa Tenggara Timur,Kupang,Kota Raja,Naikoten I (Satu),85118
Nusa Tenggara Timur,Kupang,Kota Raja,Naikoten II (Dua),85118
Nusa Tenggara Timur,Sumba Barat,Loli,Wee Dabo,87284
Nusa Tenggara Timur,Sumba Barat,Loli,Wee Karou,87284
Nusa Tenggara Timur,Sumba Barat,Loli,Ubu Pede,87284
Nusa Tenggara Timur,Sumba Barat,Loli,Wee Karou,87284
Nusa Tenggara Timur,Sumba Barat,Loli,Wee Dabo,87284
Nusa Tenggara Timur,Sumba Barat,Loli,Ubu Pede,87284
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay,Ngadu Olu,87283
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay,Padira Tana,87283
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay,Mbilur Pangadu,87283
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Barat,Umbu Pabal,87282
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Barat,Umbu Kawolu,87282
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Barat,Umbu Langgang,87282
Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Barat,Dewa Tana,87282
Nusa Tenggara Timur,Sumba Tengah,Katikutana Selatan,Dameka,87282
Nusa Tenggara Timur,Sumba Tengah,Katikutana,Dewa Jara,87282
Nusa Tenggara Timur,Sumba Barat,Wanokaka,Bali Loku,87272
Nusa Tenggara Timur,Sumba Barat,Lamboya Barat,Wee Tana,87271
Nusa Tenggara Timur,Sumba Barat,Lamboya,Watu Karere,87271
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Selatan,Tena Teke,87263
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Selatan,Mandungo,87263
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Selatan,Denduka,87263
Nusa Tenggara Timur,Sumba Barat Daya,Kodi Bangedo,Rada Malando,87262
Nusa Tenggara Timur,Sumba Barat Daya,Kodi Bangedo,Tana Mete,87262
Nusa Tenggara Timur,Sumba Barat Daya,Kodi Balaghar,Panenggo Ede,87262
Nusa Tenggara Timur,Sumba Barat Daya,Kodi,Pero Konda,87261
Nusa Tenggara Timur,Sumba Barat Daya,Kodi,Onggol,87261
Nusa Tenggara Timur,Sumba Barat Daya,Kodi Utara,Mangganipi,87261
Nusa Tenggara Timur,Sumba Barat Daya,Kodi Utara,Bila Cenge,87261
Nusa Tenggara Timur,Sumba Barat Daya,Kodi Utara,Bukambero,87261
Nusa Tenggara Timur,Sumba Barat Daya,Kodi,Bondo Kodi,87261
Nusa Tenggara Timur,Sumba Barat,Tana Righu,Ngadu Pada,87257
Nusa Tenggara Timur,Sumba Barat,Tana Righu,Tarona,87257
Nusa Tenggara Timur,Sumba Barat,Tana Righu,Malata,87257
Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Waitabula,87255
Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Langga Lero,87255
Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Kalena Wano,87255
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Wali Ate,87253
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Raba Ege,87253
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Reda Pada,87253
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Utara,Wano Talla,87252
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Tengah (Wewera Tengah),Tanggaba,87252
Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Utara,Puu Potto,87252
Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak,Pada Eweta,87217
Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak,Lapale,87217
Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak,Kalembu Kuni,87217
Nusa Tenggara Timur,Sumba Timur,Wula Waijelu,Lainjanji,87182
Nusa Tenggara Timur,Sumba Timur,Wula Waijelu,Laipandak,87182
Nusa Tenggara Timur,Sumba Timur,Wula Waijelu,La Tena,87182
Nusa Tenggara Timur,Sumba Timur,Rindi,Lai Lanjang,87181
Nusa Tenggara Timur,Sumba Timur,Rindi,Hanggaroru,87181
Nusa Tenggara Timur,Sumba Timur,Rindi,Kabaru,87181
