Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Papua,Biak Numfor,Biak Kota,Mnubabo (Ambroben),98118
Papua,Biak Numfor,Biak Kota,Karyendi,98118
Papua,Biak Numfor,Biak Kota,Manggandisapi,98118
Papua,Mimika,Mimika Barat Jauh,Umar,99974
Papua,Mimika,Mimika Barat Jauh,Yapakopa,99974
Papua,Mimika,Mimika Barat Jauh,Potowayburu (Potowaiburu),99974
Papua,Mimika,Mimika Barat Jauh,Umar,99974
Papua,Mimika,Mimika Barat Jauh,Yapakopa,99974
Papua,Mimika,Mimika Barat Jauh,Potowayburu (Potowaiburu),99974
Papua,Mimika,Mimika Barat Tengah,Kapiraya,99973
Papua,Mimika,Mimika Barat (Mibar),Apiri (Ipiri),99973
Papua,Mimika,Mimika Barat (Mibar),Amar,99973
Papua,Mimika,Kuala Kencana,Bhintuka,99968
Papua,Mimika,Tembagapura,Waa,99967
Papua,Mimika,Tembagapura,Tembagapura,99967
Papua,Mimika,Jita,Sempan Timur,99965
Papua,Mimika,Jita,Sumapro,99965
Papua,Mimika,Jita,Noema (Nerva),99965
Papua,Mimika,Mimika Baru,Kwamki,99910
Papua,Mimika,Mimika Baru,Limau Asri,99910
Papua,Mimika,Mimika Baru,Kamoro Jaya,99910
Papua,Mappi,Haju,Gairipim,99881
Papua,Mappi,Haju,Amuro (Omuro),99881
Papua,Mappi,Haju,Arare,99881
Papua,Mappi,Ti Zain,Kumaban,99875
Papua,Mappi,Ti Zain,Merokima,99875
Papua,Mappi,Passue Bawah,Keta,99875
Papua,Mappi,Assue,Kiki,99874
Papua,Mappi,Assue,Jufo Kecil,99874
Papua,Mappi,Assue,Kaitok,99874
Papua,Mappi,Minyamur,Upin,99872
Papua,Mappi,Minyamur,Sene,99872
Papua,Mappi,Minyamur,Sumur Aman,99872
Papua,Mappi,Obaa,Wanggate,99871
Papua,Mappi,Obaa,Yangpop,99871
Papua,Mappi,Obaa,Wairu (Mairu),99871
Papua,Mappi,Obaa,Marbin,99871
Papua,Mappi,Obaa,Masin,99871
Papua,Mappi,Obaa,Madu,99871
Papua,Mappi,Bamgi,Yeloba,99853
Papua,Mappi,Yakomi,Yame,99853
Papua,Mappi,Bamgi,Tagaimon Karome,99853
Papua,Mappi,Venaha,Harapan,99853
Papua,Mappi,Venaha,Ebeske,99853
Papua,Mappi,Venaha,Getiyo,99853
Papua,Asmat,Fayit,Isar,99782
Papua,Asmat,Fayit,Kagas,99782
Papua,Asmat,Fayit,Bora,99782
Papua,Asmat,Akat,Manepsimni (Manep),99779
Papua,Asmat,Jetsy,Katew,99779
Papua,Asmat,Jetsy,Dawer,99779
Papua,Asmat,Suru-suru,Tii,99778
Papua,Asmat,Sawa Erma,Sauti,99778
Papua,Asmat,Sawa Erma,Sawa,99778
Papua,Asmat,Suru-suru,Kebikduk,99778
Papua,Asmat,Suru-suru,Katalina,99778
Papua,Asmat,Unir Sirau,Jipawer (Yipawer),99778
Papua,Asmat,Pulau Tiga,As,99778
Papua,Asmat,Pulau Tiga,Aou,99778
Papua,Asmat,Pulau Tiga,Aoep,99778
Papua,Asmat,Jetsy,Birak,99777
Papua,Asmat,Agats,Asuwetsy,99777
Papua,Asmat,Ayip,Yefiwangi (Yefuwagi),99776
Papua,Asmat,Betcbamu,Desep,99776
Papua,Asmat,Atsy / Atsj,Cewewyamew,99776
Papua,Asmat,Ayip,Comoro,99776
Papua,Asmat,Der Koumur,Suagai / Suwagai (Suwa),99773
Papua,Asmat,Der Koumur,Sohomane,99773
Papua,Asmat,Kopay,Sasime,99773
Papua,Asmat,Pantai Kasuari,Hainam,99773
Papua,Asmat,Pantai Kasuari,Eseib (Esaib),99773
Papua,Asmat,Kopay,Hahare,99773
Papua,Asmat,Suator,Vakam Dua,99766
Papua,Asmat,Kolf Braza,Ulakin,99766
Papua,Asmat,Suator,Vakam,99766
Papua,Asmat,Suator,Burbis,99766
Papua,Asmat,Kolf Braza,Butukatnau,99766
Papua,Asmat,Suator,Bor,99766
Papua,Boven Digoel,Firiwage,Karuwage,99665
Papua,Boven Digoel,Firiwage,Firiwage,99665
Papua,Boven Digoel,Firiwage,Kabuwage,99665
Papua,Boven Digoel,Kombay,Sinimburu,99664
Papua,Boven Digoel,Yaniruma,Manggemakhe (Manggemahe),99664
Papua,Boven Digoel,Ambatkwi (Ambatkui),Kuken,99664
Papua,Boven Digoel,Fofi,Sohokanggo,99663
Papua,Boven Digoel,Arimop,Patriot,99663
Papua,Boven Digoel,Fofi,Navini,99663
Papua,Boven Digoel,Bomakia,Aifo,99663
Papua,Boven Digoel,Iniyandit,Wariktop (Wariktoop),99662
Papua,Boven Digoel,Sesnuk,Yomkondo,99662
Papua,Boven Digoel,Kombut,Awayanka,99662
Papua,Boven Digoel,Mindiptana,Awayanka,99662
Papua,Boven Digoel,Iniyandit,Autriop,99662
Papua,Boven Digoel,Jair,Anggai,99661
Papua,Boven Digoel,Jair,Asiki,99661
Papua,Boven Digoel,Subur,Aiwat,99661
Papua,Merauke,Jagebob,Obathrow,99656
Papua,Merauke,Jagebob,Melin Megikar,99656
Papua,Merauke,Jagebob,Mimi Baru,99656
Papua,Merauke,Animha,Baad,99656
Papua,Merauke,Jagebob,Blandin Kakayo,99656
Papua,Merauke,Jagebob,Angger Parmegi (Permegi),99656
Papua,Merauke,Ilyawab,Padua,99655
Papua,Merauke,Kimaam,Mambum (Mambai),99655
Papua,Merauke,Waan,Konorau,99655
Papua,Merauke,Tubang,Wamal,99654
Papua,Merauke,Tubang,Welbuti,99654
Papua,Merauke,Okaba,Wambi,99654
Papua,Merauke,Muting,Wan (Waan),99652
Papua,Merauke,Eligobel,Tof-Tof (Taftof),99652
Papua,Merauke,Eligobel,Tanas (Tanaas),99652
Papua,Merauke,Ulilin,Kindiki,99652
Papua,Merauke,Eligobel,Geriser (Gerisar),99652
Papua,Merauke,Ulilin,Kafyamke,99652
Papua,Merauke,Semangga,Urumb,99651
Papua,Merauke,Semangga,Waninggap Kay/Kai,99651
Papua,Merauke,Tanah Miring,Soa,99651
Papua,Merauke,Naukenjerai,Tomer,99616
Papua,Merauke,Merauke,Nasem,99616
Papua,Merauke,Naukenjerai,Onggaya,99616
Papua,Yalimo,Abenaho,Yabusup,99587
Papua,Yalimo,Abenaho,Wurupikma,99587
Papua,Yalimo,Abenaho,Wutlarin,99587
Papua,Yalimo,Abenaho,Ulusi,99587
Papua,Yalimo,Abenaho,Usabiye,99587
Papua,Yalimo,Abenaho,Ulun,99587
Papua,Yalimo,Abenaho,Pamumu,99587
Papua,Yalimo,Abenaho,Obabin Satu,99587
Papua,Yalimo,Abenaho,Obabin,99587
Papua,Yalimo,Abenaho,Kesuwi,99587
Papua,Yalimo,Abenaho,Kewi,99587
Papua,Yalimo,Abenaho,Kawokholik,99587
Papua,Yalimo,Abenaho,Fabulik,99587
Papua,Yalimo,Abenaho,Eliekma,99587
Papua,Yalimo,Abenaho,Elesim,99587
Papua,Yalimo,Apalapsili,Yarema Satu,99586
Papua,Yalimo,Apalapsili,Wiralesili,99586
Papua,Yalimo,Apalapsili,Wiyukwilik,99586
Papua,Yalimo,Apalapsili,Moliyinggi,99586
Papua,Yalimo,Apalapsili,Makrig,99586
Papua,Yalimo,Apalapsili,Lambukmu,99586
Papua,Yalimo,Apalapsili,Filiyahik,99586
Papua,Yalimo,Apalapsili,Habalo,99586
Papua,Yalimo,Apalapsili,Eal,99586
Papua,Yalimo,Welarek,Tahamak,99585
Papua,Yalimo,Welarek,Tinmuhuk,99585
Papua,Yalimo,Welarek,Soharam,99585
Papua,Yalimo,Welarek,Panal,99585
Papua,Yalimo,Welarek,Mohonu,99585
Papua,Yalimo,Welarek,Montek,99585
Papua,Yalimo,Welarek,Halialo,99585
Papua,Yalimo,Welarek,Halisek,99585
Papua,Yalimo,Welarek,Helebol,99585
Papua,Yalimo,Elelim,Ubi,99584
Papua,Yalimo,Elelim,Ulo,99584
Papua,Yalimo,Elelim,Sira,99584
Papua,Yalimo,Elelim,Keron,99584
Papua,Yalimo,Elelim,Kwikma,99584
Papua,Yalimo,Elelim,Honita,99584
Papua,Yalimo,Benawa,Thamaksin,99583
Papua,Yalimo,Benawa,Trikora,99583
Papua,Yalimo,Benawa,Prititi,99583
Papua,Yalimo,Benawa,Key,99583
Papua,Yalimo,Benawa,Karamina,99583
Papua,Yalimo,Benawa,Kapawa,99583
Papua,Yahukimo,Walma,Wewasi,99582
Papua,Yahukimo,Walma,Werene,99582
Papua,Yahukimo,Walma,Weri,99582
Papua,Yahukimo,Talambo,Tibul (Timbul),99582
Papua,Yahukimo,Nipsan,Tapla,99582
Papua,Yahukimo,Ubalihi,Talambela (Talempela),99582
Papua,Yahukimo,Hereapini (Hereanini),Pue,99582
Papua,Yahukimo,Ubalihi,Salakma,99582
Papua,Yahukimo,Puldama,Puldama,99582
Papua,Yahukimo,Hereapini (Hereanini),Nelisa,99582
Papua,Yahukimo,Nalca,Nalca,99582
Papua,Yahukimo,Hereapini (Hereanini),Muhumu,99582
Papua,Yahukimo,Endomen,Kouwet,99582
Papua,Yahukimo,Panggema,Kuni,99582
Papua,Yahukimo,Kosarek,Konosa,99582
Papua,Yahukimo,Walma,Hontulun,99582
Papua,Yahukimo,Pronggoli (Proggoli),Huhulpunu,99582
Papua,Yahukimo,Panggema,Homtongo,99582
Papua,Yahukimo,Dirwemna (Diruwena),Dolsen,99582
Papua,Yahukimo,Duram,Duram,99582
Papua,Yahukimo,Dirwemna (Diruwena),Dirwemna,99582
Papua,Yahukimo,Hilipuk,Yamin,99578
Papua,Yahukimo,Bomela,Yalmabi,99578
Papua,Yahukimo,Sobaham,Yalisomon,99578
Papua,Yahukimo,Kabianggama (Kabianggema),Subayo,99578
Papua,Yahukimo,Holuon,Sosi,99578
Papua,Yahukimo,Koropun (Korupun),Somsek,99578
Papua,Yahukimo,Sobaham,Sele,99578
Papua,Yahukimo,Sela,Sela,99578
