Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Riau,Pekanbaru,Sukajadi,Pulau Karam,28127
Riau,Pekanbaru,Sukajadi,Jadirejo,28126
Riau,Pekanbaru,Marpoyan Damai,Sidomulyo Timur,28125
Riau,Kuantan Singingi,Sentajo Raya,Teratak Air Hitam,29566
Riau,Kuantan Singingi,Benai,Ujung Tanjung,29566
Riau,Kuantan Singingi,Benai,Tanjungsimandolak,29566
Riau,Kuantan Singingi,Sentajo Raya,Teratak Air Hitam,29566
Riau,Kuantan Singingi,Benai,Ujung Tanjung,29566
Riau,Kuantan Singingi,Benai,Tanjungsimandolak,29566
Riau,Kuantan Singingi,Sentajo Raya,Langsat Hulu,29566
Riau,Kuantan Singingi,Sentajo Raya,Jalur Patah,29566
Riau,Kuantan Singingi,Sentajo Raya,Kampung Baru Sentajo,29566
Riau,Kuantan Singingi,Hulu Kuantan,Sungai Alah,29565
Riau,Kuantan Singingi,Gunung Toar,Siberobah,29565
Riau,Kuantan Singingi,Hulu Kuantan,Serosah/Serusa,29565
Riau,Kuantan Singingi,Hulu Kuantan,Koto Kombu,29565
Riau,Kuantan Singingi,Inuman,Lebuh Lurus,29565
Riau,Kuantan Singingi,Gunung Toar,Koto Gunung,29565
Riau,Kuantan Singingi,Kuantan Mudik,Rantau Sialang,29564
Riau,Kuantan Singingi,Pucuk Rantau,Perhentian Sungkai,29564
Riau,Kuantan Singingi,Kuantan Mudik,Pebaun Hilir,29564
Riau,Kuantan Singingi,Kuantan Mudik,Banjar Guntung,29564
Riau,Kuantan Singingi,Kuantan Mudik,Banjar Padang,29564
Riau,Kuantan Singingi,Kuantan Mudik,Bukit Kauman,29564
Riau,Kuantan Singingi,Singingi,Petai Baru,29563
Riau,Kuantan Singingi,Singingi,Muara Lembu,29563
Riau,Kuantan Singingi,Singingi,Pangkalan Indarung,29563
Riau,Kuantan Singingi,Kuantan Hilir,Pulaumadinah,29561
Riau,Kuantan Singingi,Kuantan Hilir,Rawang Bonto,29561
Riau,Kuantan Singingi,Kuantan Hilir Seberang,Pulaubaru,29561
Riau,Kuantan Singingi,Kuantan Hilir,Banuaran,29561
Riau,Kuantan Singingi,Kuantan Hilir Seberang,Danau,29561
Riau,Kuantan Singingi,Logas Tanah Darat,Sungai Rambai,29556
Riau,Kuantan Singingi,Cerenti,Pulau Jambu,29555
Riau,Kuantan Singingi,Cerenti,Pulau Bayur,29555
Riau,Kuantan Singingi,Cerenti,Pesikaian/Pasikaian,29555
Riau,Kuantan Singingi,Pangean,Pauh Angit,29553
Riau,Kuantan Singingi,Pangean,Pauh Angit Hulu,29553
Riau,Kuantan Singingi,Pangean,Padang Tanggung,29553
Riau,Kuantan Singingi,Kuantan Tengah,Pasar Teluk,29511
Riau,Kuantan Singingi,Kuantan Tengah,Koto Tuo,29511
Riau,Kuantan Singingi,Kuantan Tengah,Munsalo,29511
Riau,Indragiri Hulu,Seberida,Bandar Padang,29371
Riau,Indragiri Hulu,Sungai Lala,Sungai Air Putih,29363
Riau,Indragiri Hulu,Sungai Lala,Sungai Lala,29363
Riau,Indragiri Hulu,Batang Cenaku,Sanglap,29355
Riau,Indragiri Hulu,Batang Gansal,Ringin,29355
Riau,Indragiri Hulu,Batang Cenaku,Punti Anai,29355
Riau,Indragiri Hulu,Batang Cenaku,Anak Talang,29355
Riau,Indragiri Hulu,Batang Cenaku,Alim,29355
Riau,Indragiri Hulu,Batang Peranap,Sukamaju,29354
Riau,Indragiri Hulu,Peranap,Gumanti,29354
Riau,Indragiri Hulu,Peranap,Ketipopura,29354
Riau,Indragiri Hulu,Peranap,Baturijal Hilir,29354
Riau,Indragiri Hulu,Lirik,Banjar Balam,29353
Riau,Indragiri Hulu,Lubuk Batu Jaya,Tasik Juang,29352
Riau,Indragiri Hulu,Kelayang,Teluk Sejuah,29352
Riau,Indragiri Hulu,Kelayang,Simpang Kota Medan,29352
Riau,Indragiri Hulu,Kelayang,Sei/Sungai Pasir Putih,29352
Riau,Indragiri Hulu,Pasir Penyu,Sekar Mawar,29352
Riau,Indragiri Hulu,Lubuk Batu Jaya,Kulim Jaya,29352
Riau,Indragiri Hulu,Rakit Kulim,Kota Baru,29352
Riau,Indragiri Hulu,Rakit Kulim,Kuantan Tenang,29352
Riau,Indragiri Hulu,Rengat Barat,Tanah Makmur,29351
Riau,Indragiri Hulu,Rengat Barat,Sungai Baung,29351
Riau,Indragiri Hulu,Rengat Barat,Sungai Dawu,29351
Riau,Indragiri Hulu,Kuala Cenaku,Rawa Sekip,29335
Riau,Indragiri Hulu,Kuala Cenaku,Suka Jadi,29335
Riau,Indragiri Hulu,Kuala Cenaku,Pulau Gelang,29335
Riau,Indragiri Hulu,Rengat,Kampung Besar Kota,29312
