Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sulawesi Barat,Polewali Mandar,Polewali,Pekkabata,91311
Sulawesi Barat,Polewali Mandar,Polewali,Polewali,91311
Sulawesi Barat,Polewali Mandar,Polewali,Manding,91311
Sulawesi Barat,Polewali Mandar,Alu (Allu),Saragian,96365
Sulawesi Barat,Polewali Mandar,Alu (Allu),Sayoang,96365
Sulawesi Barat,Polewali Mandar,Alu (Allu),Petoosang,96365
Sulawesi Barat,Polewali Mandar,Alu (Allu),Saragian,96365
Sulawesi Barat,Polewali Mandar,Alu (Allu),Sayoang,96365
Sulawesi Barat,Polewali Mandar,Alu (Allu),Petoosang,96365
Sulawesi Barat,Mamuju Utara,Bambalamotu,Kalola,91574
Sulawesi Barat,Mamuju Utara,Bambaira,Bambaira,91574
Sulawesi Barat,Mamuju Utara,Duripoku,Taranggi,91573
Sulawesi Barat,Mamuju Utara,Baras,Motu,91572
Sulawesi Barat,Mamuju Utara,Bulu Taba,Lilimori (Lelemori),91572
Sulawesi Barat,Mamuju Utara,Bulu Taba,Lelejae,91572
Sulawesi Barat,Mamuju Utara,Pasangkayu,Martajaya,91571
Sulawesi Barat,Mamuju Utara,Pedongga,Martasari,91571
Sulawesi Barat,Mamuju Utara,Pasangkayu,Malei,91571
Sulawesi Barat,Mamuju,Sampaga,Tanam Buah (Tanambua),91563
Sulawesi Barat,Mamuju,Topoyo,Tabolang,91563
Sulawesi Barat,Mamuju,Papalang,Sukadamai,91563
Sulawesi Barat,Mamuju,Pangale,Polocamba,91563
Sulawesi Barat,Mamuju,Budong-Budong,Passapa (Pasapa),91563
Sulawesi Barat,Mamuju,Topoyo,Paraili,91563
Sulawesi Barat,Mamuju,Budong-Budong,Bojo,91563
Sulawesi Barat,Mamuju,Papalang,Bonda,91563
Sulawesi Barat,Mamuju,Papalang,Boda-Boda,91563
Sulawesi Barat,Mamuju,Tommo,Saludengen,91562
Sulawesi Barat,Mamuju,Bonehau,Mappu,91562
Sulawesi Barat,Mamuju,Kalumpang,Polio (Ba’san),91562
Sulawesi Barat,Mamuju,Tommo,Kakulasang (Kakullasan),91562
Sulawesi Barat,Mamuju,Bonehau,Buttuada,91562
Sulawesi Barat,Mamuju,Tommo,Buana Sakti,91562
Sulawesi Barat,Mamuju,Mamuju,Rimuku,91515
Sulawesi Barat,Mamuju,Mamuju,Bambu,91514
Sulawesi Barat,Mamuju,Mamuju,Karampuang,91515
Sulawesi Barat,Mamuju,Simboro dan Kepulauan,Botteng Utara,91512
Sulawesi Barat,Mamuju,Simboro dan Kepulauan,Botteng,91512
Sulawesi Barat,Mamuju Utara,Dapurang,Benggaulu,91512
Sulawesi Barat,Majene,Malunda,Mekkatta,91453
Sulawesi Barat,Majene,Malunda,Lombong,91453
Sulawesi Barat,Majene,Malunda,Lombong Timur,91453
Sulawesi Barat,Majene,Sendana,Sendana,91452
Sulawesi Barat,Majene,Sendana,Sendana,91452
Sulawesi Barat,Majene,Sendana,Pundau,91452
Sulawesi Barat,Majene,Pamboang,Simbang,91451
Sulawesi Barat,Majene,Pamboang,Sirindu,91451
Sulawesi Barat,Majene,Pamboang,Lalampanua,91451
Sulawesi Barat,Polewali Mandar,Limboro,Todang Todang,91413
Sulawesi Barat,Polewali Mandar,Limboro,Tangan Baru,91413
Sulawesi Barat,Majene,Banggae Timur,Tande Timur,91413
Sulawesi Barat,Majene,Banggae Timur,Baurung,91412
Sulawesi Barat,Majene,Banggae Timur,Baruga Dua,91411
Sulawesi Barat,Majene,Banggae,Banggae,91411
Sulawesi Barat,Mamasa,Tabulahan,Saluleang,91372
Sulawesi Barat,Mamasa,Tabulahan,Tabulahan,91372
