Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sulawesi Selatan,Makassar,Ujung Pandang,Lae – Lae,90111
Sulawesi Selatan,Makassar,Ujung Pandang,Losari,90112
Sulawesi Selatan,Makassar,Ujung Pandang,Bulogading,90111
Sulawesi Selatan,Luwu Timur,Angkona,Watangpanua,92985
Sulawesi Selatan,Luwu Timur,Angkona,Tawakua,92985
Sulawesi Selatan,Luwu Timur,Angkona,Wanasari,92985
Sulawesi Selatan,Luwu Timur,Angkona,Watangpanua,92985
Sulawesi Selatan,Luwu Timur,Angkona,Tawakua,92985
Sulawesi Selatan,Luwu Timur,Angkona,Wanasari,92985
Sulawesi Selatan,Luwu Timur,Towuti,Wawondula,92982
Sulawesi Selatan,Luwu Timur,Wasuponda,Balambano,92983
Sulawesi Selatan,Luwu Timur,Towuti,Tokalimbo,92982
Sulawesi Selatan,Luwu Timur,Malili,Manurung,92981
Sulawesi Selatan,Luwu Timur,Malili,Pongkeru,92981
Sulawesi Selatan,Luwu Timur,Malili,Harapan,92981
Sulawesi Selatan,Luwu Timur,Burau,Burau,92975
Sulawesi Selatan,Luwu Timur,Burau,Batu Putih,92975
Sulawesi Selatan,Luwu Timur,Mangkutana,Wonorejo Timur,92973
Sulawesi Selatan,Luwu Timur,Mangkutana,Balai Kembang,92973
Sulawesi Selatan,Luwu Timur,Tomoni,Ujung Baru,92972
Sulawesi Selatan,Luwu Timur,Tomoni,Tomoni,92972
Sulawesi Selatan,Luwu Timur,Tomoni,Bangun Jaya,92972
Sulawesi Selatan,Luwu Timur,Tomoni Timur,Alam Buana,92972
Sulawesi Selatan,Luwu Timur,Wotu,Tarengge Timur,92971
Sulawesi Selatan,Luwu Utara,Baebunta,Sumpira,92965
Sulawesi Selatan,Luwu Utara,Baebunta,Salassa,92965
Sulawesi Selatan,Luwu Utara,Baebunta,Salulemo,92965
Sulawesi Selatan,Luwu Utara,Rampi,Rampi,92964
Sulawesi Selatan,Luwu Utara,Rampi,Sulaku,92964
Sulawesi Selatan,Luwu Utara,Rampi,Onondoa,92964
Sulawesi Selatan,Luwu Utara,Sukamaju,Paomacang,92963
Sulawesi Selatan,Luwu Utara,Sukamaju,Rawamangun,92963
