Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sulawesi Tengah,Sigi,Pipikoro,Onu,94112
Sulawesi Tengah,Sigi,Pipikoro,Parelea,94112
Sulawesi Tengah,Sigi,Pipikoro,Mapahi,94112
Sulawesi Tengah,Morowali,Bungku Barat,Wosu,94976
Sulawesi Tengah,Morowali,Wita Ponda,Ungkaya,94976
Sulawesi Tengah,Morowali,Bungku Barat,Umpanga,94976
Sulawesi Tengah,Morowali,Bungku Barat,Wosu,94976
Sulawesi Tengah,Morowali,Bungku Barat,Umpanga,94976
Sulawesi Tengah,Morowali,Bungku Barat,Wata,94976
Sulawesi Tengah,Morowali,Bungku Barat,Larobenu,94976
Sulawesi Tengah,Morowali,Bumi Raya,Lambelu,94976
Sulawesi Tengah,Morowali,Wita Ponda,Lantula Jaya,94976
Sulawesi Tengah,Morowali,Menui Kepulauan,Tafagapi,94975
Sulawesi Tengah,Morowali,Menui Kepulauan,Pulau Tiga,94975
Sulawesi Tengah,Morowali,Menui Kepulauan,Samarengga,94975
Sulawesi Tengah,Morowali,Bungku Pesisir,Torete,94974
Sulawesi Tengah,Morowali,Bungku Pesisir,Tangofa,94974
Sulawesi Tengah,Morowali,Bahodopi,Siumbatu,94974
Sulawesi Tengah,Morowali,Bungku Selatan,Lokombulo,94974
Sulawesi Tengah,Morowali,Bahodopi,Le-Le,94974
Sulawesi Tengah,Morowali,Bungku Selatan,Lamontoli,94974
Sulawesi Tengah,Morowali,Bahodopi,Bete Bete,94974
Sulawesi Tengah,Morowali,Bungku Selatan,Bakala,94974
Sulawesi Tengah,Morowali,Bahodopi,Bahomakmur,94974
Sulawesi Tengah,Morowali,Bungku Tengah,Lamberea,94973
Sulawesi Tengah,Morowali,Bungku Timur,Lahuafu,94973
Sulawesi Tengah,Morowali,Bungku Tengah,Ipi,94973
Sulawesi Tengah,Morowali,Bungku Utara,Tokala Atas,94972
Sulawesi Tengah,Morowali,Bungku Utara,Tirongan Atas,94972
Sulawesi Tengah,Morowali,Bungku Utara,Tirongan Bawah,94972
Sulawesi Tengah,Morowali,Bungku Utara,Matube,94972
Sulawesi Tengah,Morowali,Mamosalato,Lijo,94972
Sulawesi Tengah,Morowali,Bungku Utara,Lemowalia,94972
Sulawesi Tengah,Morowali,Petasia,Tanauge,94971
Sulawesi Tengah,Morowali,Soyo Jaya,Tambayoli,94971
Sulawesi Tengah,Morowali,Soyo Jaya,Tamainusi,94971
Sulawesi Tengah,Morowali,Petasia,Kolonodale,94971
Sulawesi Tengah,Morowali,Petasia,Korolaki,94971
Sulawesi Tengah,Morowali,Petasia,Korolama,94971
Sulawesi Tengah,Morowali,Lembo Raya,Petumbea,94966
Sulawesi Tengah,Morowali,Lembo Raya,Pa’awaru,94966
Sulawesi Tengah,Morowali,Lembo,Mora,94966
Sulawesi Tengah,Morowali,Mori Utara,Tamonjengi,94965
Sulawesi Tengah,Morowali,Mori Atas,Taende,94965
Sulawesi Tengah,Morowali,Mori Utara,Tabarano,94965
Sulawesi Tengah,Banggai Kepulauan,Bokan Kepulauan,Timpaus,94892
Sulawesi Tengah,Banggai Kepulauan,Bangkurung,Taduno,94892
Sulawesi Tengah,Banggai Kepulauan,Bangkurung,Tabulang,94892
Sulawesi Tengah,Banggai Kepulauan,Labobo (Lobangkurung),Lalong,94892
Sulawesi Tengah,Banggai Kepulauan,Bangkurung,Lalong,94892
Sulawesi Tengah,Banggai Kepulauan,Bokan Kepulauan,Kokudang,94892
Sulawesi Tengah,Banggai Kepulauan,Banggai,Potil Pololoba,94891
Sulawesi Tengah,Banggai Kepulauan,Banggai Tengah,Pososlalongo,94891
Sulawesi Tengah,Banggai Kepulauan,Banggai Utara,Popisi,94891
Sulawesi Tengah,Banggai Kepulauan,Banggai Utara,Bone Baru,94891
Sulawesi Tengah,Banggai Kepulauan,Banggai Selatan,Bantean,94891
Sulawesi Tengah,Banggai Kepulauan,Banggai Tengah,Adean,94891
Sulawesi Tengah,Banggai Kepulauan,Tinangkung,Kautu,94885
Sulawesi Tengah,Banggai Kepulauan,Tinangkung,Bulungkobit,94885
Sulawesi Tengah,Banggai Kepulauan,Tinangkung,Bungin,94885
Sulawesi Tengah,Banggai Kepulauan,Totikum Selatan,Mata,94884
Sulawesi Tengah,Banggai Kepulauan,Totikum Selatan,Lobuton,94884
Sulawesi Tengah,Banggai Kepulauan,Totikum (Totikung),Kombutokan,94884
Sulawesi Tengah,Banggai Kepulauan,Peling Tengah,Luk,94883
Sulawesi Tengah,Banggai Kepulauan,Liang,Loolong,94883
Sulawesi Tengah,Banggai Kepulauan,Peling Tengah,Labibi,94883
Sulawesi Tengah,Banggai Kepulauan,Bulagi Selatan,Tatarandang,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi,Sumondung,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi Utara,Sambulangan,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi,Meselesek,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi Selatan,Lolantang,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi Utara,Luk Panenteng,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi Selatan,Babang,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi,Alul,94882
Sulawesi Tengah,Banggai Kepulauan,Bulagi Selatan,Alasan Nggolobuton,94882
Sulawesi Tengah,Banggai Kepulauan,Buko,Lalengan,94881
Sulawesi Tengah,Banggai Kepulauan,Buko Selatan,Landonan Bebeau,94881
Sulawesi Tengah,Banggai Kepulauan,Buko Selatan,Buko,94881
Sulawesi Tengah,Banggai,Balantak Utara,Pulau Dua,94773
Sulawesi Tengah,Banggai,Balantak Selatan,Poyang,94773
Sulawesi Tengah,Banggai,Balantak Utara,Pangkalaseang,94773
Sulawesi Tengah,Banggai,Balantak,Balantak,94773
Sulawesi Tengah,Banggai,Masama,Tompotika Makmur,94772
Sulawesi Tengah,Banggai,Masama,Taugi,94772
Sulawesi Tengah,Banggai,Lamala,Poroan,94771
Sulawesi Tengah,Banggai,Mantoh,Pondang,94771
Sulawesi Tengah,Banggai,Lamala,Nipa,94771
Sulawesi Tengah,Banggai,Moilong,Tou,94765
Sulawesi Tengah,Banggai,Toili,Toili,94765
Sulawesi Tengah,Banggai,Moilong,Toili,94765
Sulawesi Tengah,Banggai,Toili,Piondo,94765
Sulawesi Tengah,Banggai,Toili,Rusa Kencana,94765
Sulawesi Tengah,Banggai,Toili Barat,Pandan Wangi,94765
Sulawesi Tengah,Banggai,Moilong,Karang Anyar,94765
Sulawesi Tengah,Banggai,Moilong,Karya Jaya,94765
Sulawesi Tengah,Banggai,Toili Barat,Gunung Kramat,94765
Sulawesi Tengah,Banggai,Batui Selatan,Sinorang,94762
Sulawesi Tengah,Banggai,Batui Selatan,Paisu Buloli,94762
Sulawesi Tengah,Banggai,Batui,Ondo-Ondolu,94762
Sulawesi Tengah,Banggai,Kintom,Tangkiang,94761
Sulawesi Tengah,Banggai,Nambo,Sayangbongin,94761
Sulawesi Tengah,Banggai,Kintom,Sayambongin,94761
Sulawesi Tengah,Banggai,Kintom,Dimpalon,94761
Sulawesi Tengah,Banggai,Kintom,Kalolos,94761
Sulawesi Tengah,Banggai,Kintom,Babang Buyangge,94761
Sulawesi Tengah,Banggai,Nuhon,Petak,94753
Sulawesi Tengah,Banggai,Nuhon,Obok Balingara,94753
Sulawesi Tengah,Banggai,Nuhon,Pakowa Bunta (Pokowa Bunta),94753
Sulawesi Tengah,Banggai,Simpang Raya,Dwipa Karya,94753
Sulawesi Tengah,Banggai,Simpang Raya,Dowiwi,94753
Sulawesi Tengah,Banggai,Bunta,Dondo Simoli,94753
Sulawesi Tengah,Banggai,Bualemo (Boalemo),Trans Mayayap,94752
Sulawesi Tengah,Banggai,Pagimana,Tombang,94752
Sulawesi Tengah,Banggai,Pagimana,Tongkonunuk,94752
Sulawesi Tengah,Banggai,Pagimana,Pakowa,94752
Sulawesi Tengah,Banggai,Lobu,Niubulan,94752
Sulawesi Tengah,Banggai,Bualemo (Boalemo),Nipa Kaleman / Kalemoan,94752
Sulawesi Tengah,Banggai,Pagimana,Hohudongan,94752
Sulawesi Tengah,Banggai,Pagimana,Gomuo,94752
Sulawesi Tengah,Banggai,Luwuk,Soho,94713
Sulawesi Tengah,Banggai,Bualemo (Boalemo),Binsil Padang,94752
Sulawesi Tengah,Banggai,Luwuk Utara,Lenyek,94711
Sulawesi Tengah,Banggai,Bualemo (Boalemo),Binsil Ch,94752
Sulawesi Tengah,Banggai,Luwuk,Baru,94711
Sulawesi Tengah,Banggai,Pagimana,Ampera,94752
Sulawesi Tengah,Banggai,Luwuk Utara,Awu,94711
Sulawesi Tengah,Tojo Una-Una,Walea Kepulauan,Pautu,94692
Sulawesi Tengah,Banggai,Luwuk Timur,Boitan,94723
Sulawesi Tengah,Tojo Una-Una,Walea Besar,Pasokan,94692
Sulawesi Tengah,Tojo Una-Una,Walea Kepulauan,Kadoda,94692
Sulawesi Tengah,Banggai,Luwuk Selatan,Hanga-Hanga Permai,94717
Sulawesi Tengah,Banggai,Luwuk Selatan,Hanga Hanga,94717
Sulawesi Tengah,Tojo Una-Una,Una - Una,Kulingkinari,94691
Sulawesi Tengah,Tojo Una-Una,Una - Una,Kambutu,94691
Sulawesi Tengah,Tojo Una-Una,Una - Una,Kavetan,94691
Sulawesi Tengah,Tojo Una-Una,Ampana Tete,Kajulangko,94684
Sulawesi Tengah,Tojo Una-Una,Ampana Tete,Giri Mulyo,94684
Sulawesi Tengah,Tojo Una-Una,Ampana Tete,Bulan Jaya,94684
Sulawesi Tengah,Tojo Una-Una,Ampana Kota,Padang Tumbuo,94683
Sulawesi Tengah,Tojo Una-Una,Ampana Kota,Patingko,94683
Sulawesi Tengah,Tojo Una-Una,Ampana Kota,Malotong,94683
Sulawesi Tengah,Tojo Una-Una,Togean,Awo,94683
Sulawesi Tengah,Tojo Una-Una,Ampana Kota,Ampana,94683
Sulawesi Tengah,Tojo Una-Una,Ulu Bongka,Uematopa,94682
Sulawesi Tengah,Tojo Una-Una,Tojo Barat,Ujung Tibu,94681
Sulawesi Tengah,Tojo Una-Una,Tojo,Uekuli,94681
Sulawesi Tengah,Tojo Una-Una,Tojo,Tongku,94681
Sulawesi Tengah,Tojo Una-Una,Tojo,Kalemba I,94681
Sulawesi Tengah,Tojo Una-Una,Tojo,Kalemba II,94681
Sulawesi Tengah,Tojo Una-Una,Tojo Barat,Galuga,94681
Sulawesi Tengah,Poso,Pamona Selatan,Pendolo,94664
Sulawesi Tengah,Poso,Pamona Selatan,Panjo,94664
Sulawesi Tengah,Poso,Pamona Selatan,Pasir Putih,94664
Sulawesi Tengah,Poso,Pamona Utara,Uelincu,94663
Sulawesi Tengah,Poso,Pamona Puselemba,Tonusu,94663
Sulawesi Tengah,Poso,Pamona Timur,Tiu,94663
Sulawesi Tengah,Poso,Pamona Utara,Kuku,94663
Sulawesi Tengah,Poso,Pamona Utara,Lena,94663
Sulawesi Tengah,Poso,Pamona Timur,Kelei,94663
Sulawesi Tengah,Poso,Lage,Malei,94661
Sulawesi Tengah,Poso,Lore Barat,Tuare,94654
Sulawesi Tengah,Poso,Lore Selatan,Pada,94654
Sulawesi Tengah,Poso,Lore Piore,Wanga,94653
Sulawesi Tengah,Poso,Lore Piore,Watutau,94653
Sulawesi Tengah,Poso,Lore Utara,Watumaeta,94653
Sulawesi Tengah,Poso,Poso Pesisir,Towu (Towo),94652
Sulawesi Tengah,Poso,Poso Pesisir Utara,Tri Mulya,94652
Sulawesi Tengah,Poso,Poso Pesisir,Tokorondo,94652
Sulawesi Tengah,Poso,Poso Pesisir,Lape,94652
Sulawesi Tengah,Poso,Poso Pesisir Utara,Kilo,94652
Sulawesi Tengah,Poso,Poso Pesisir,Lanto Jaya,94652
Sulawesi Tengah,Poso,Poso Kota Utara,Lawanga,94615
Sulawesi Tengah,Poso,Poso Kota Selatan,Bukit Bambu,94614
Sulawesi Tengah,Poso,Poso Kota Utara,Madale,94614
Sulawesi Tengah,Buol,Gadung,Lokodoka,94568
Sulawesi Tengah,Buol,Gadung,Lipubogu,94568
Sulawesi Tengah,Buol,Gadung,Lokodidi,94568
Sulawesi Tengah,Buol,Bunobogu,Domag Mekar,94567
Sulawesi Tengah,Buol,Bunobogu,Inalatan,94567
Sulawesi Tengah,Buol,Bunobogu,Kenamukan (Konamukan),94567
Sulawesi Tengah,Buol,Momunu,Pomayagon,94565
Sulawesi Tengah,Buol,Momunu,Panimbul,94565
Sulawesi Tengah,Buol,Momunu,Permata Putih,94565
Sulawesi Tengah,Buol,Bokat,Tikopo,94564
Sulawesi Tengah,Buol,Bukal,Unone,94564
Sulawesi Tengah,Buol,Bukal,Potangoan,94564
Sulawesi Tengah,Buol,Biau,Leok II,94563
Sulawesi Tengah,Buol,Lakea (Lipunoto),Leok II,94563
Sulawesi Tengah,Buol,Biau,Leok I,94563
Sulawesi Tengah,Buol,Karamat,Baruga,94563
Sulawesi Tengah,Toli-Toli,Tolitoli Utara,Timbolo,94562
Sulawesi Tengah,Toli-Toli,Tolitoli Utara,Santigi,94562
Sulawesi Tengah,Toli-Toli,Galang,Lantapan,94561
Sulawesi Tengah,Toli-Toli,Galang,Ginunggung,94561
Sulawesi Tengah,Toli-Toli,Galang,Kalangkangan,94561
Sulawesi Tengah,Toli-Toli,Dampal Utara,Banagan,94553
Sulawesi Tengah,Toli-Toli,Dampal Utara,Kabinuang,94553
Sulawesi Tengah,Toli-Toli,Dampal Utara,Bambapula,94553
Sulawesi Tengah,Toli-Toli,Basidondo,Galandau,94552
Sulawesi Tengah,Toli-Toli,Dondo,Anggasan,94552
Sulawesi Tengah,Toli-Toli,Dondo,Bambapun,94552
Sulawesi Tengah,Toli-Toli,Ogo Deide,Labuan Lobo,94516
Sulawesi Tengah,Toli-Toli,Ogo Deide,Buga,94516
Sulawesi Tengah,Toli-Toli,Ogo Deide,Kabetan,94516
Sulawesi Tengah,Parigi Moutong,Ongka Malino,Tinombala Barat,94479
Sulawesi Tengah,Parigi Moutong,Ongka Malino,Tinombala Jaya,94479
Sulawesi Tengah,Parigi Moutong,Ongka Malino,Tinombala Sejati,94479
Sulawesi Tengah,Parigi Moutong,Moutong,Pande,94479
Sulawesi Tengah,Parigi Moutong,Taopa,Palapi,94479
Sulawesi Tengah,Parigi Moutong,Moutong,Olonggata,94479
Sulawesi Tengah,Parigi Moutong,Bolano Lambunu/Lambulu,Lambunu Timur,94479
Sulawesi Tengah,Parigi Moutong,Ongka Malino,Lambanau,94479
Sulawesi Tengah,Parigi Moutong,Bolano Lambunu/Lambulu,Lambunu,94479
Sulawesi Tengah,Parigi Moutong,Bolano,Bolano Barat,94479
Sulawesi Tengah,Parigi Moutong,Taopa,Bilalea,94479
Sulawesi Tengah,Parigi Moutong,Bolano,Beringin Jaya,94479
