Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sulawesi Tenggara,Kendari,Mandonga,Mandonga,93111
Sulawesi Tenggara,Kendari,Mandonga,Anggilowu,93111
Sulawesi Tenggara,Kolaka Utara,Watunohu,Watunohu,93958
Sulawesi Tenggara,Kolaka Utara,Ngapa,Tadoumera (Tadaumera),93958
Sulawesi Tenggara,Kolaka Utara,Ngapa,Watumotaha,93958
Sulawesi Tenggara,Kolaka Utara,Watunohu,Watunohu,93958
Sulawesi Tenggara,Kolaka Utara,Watunohu,Tambuha,93958
Sulawesi Tenggara,Kolaka Utara,Ngapa,Tadoumera (Tadaumera),93958
Sulawesi Tenggara,Kolaka Utara,Kodeoha,Meeto,93957
Sulawesi Tenggara,Kolaka Utara,Kodeoha,Sawanggaoha,93957
Sulawesi Tenggara,Kolaka Utara,Kodeoha,Mala-Mala,93957
Sulawesi Tenggara,Kolaka Utara,Lombai (Lambai),Tebagiano,93956
Sulawesi Tenggara,Kolaka Utara,Wawo,Salurengko,93956
Sulawesi Tenggara,Kolaka Utara,Ranteangin,Rante Baru,93956
Sulawesi Tenggara,Kolaka Utara,Batu Putih,Sarowali,93955
Sulawesi Tenggara,Kolaka Utara,Porehu,Sarambu,93955
Sulawesi Tenggara,Kolaka Utara,Batu Putih,Puncak Harapan,93955
Sulawesi Tenggara,Kolaka Utara,Batu Putih,Delang Delang,93955
Sulawesi Tenggara,Kolaka Utara,Batu Putih,Kalahunde,93955
Sulawesi Tenggara,Kolaka Utara,Batu Putih,Bukit Baru,93955
Sulawesi Tenggara,Kolaka Utara,Pakue,Olo Oloho (Olaha),93954
Sulawesi Tenggara,Kolaka Utara,Pakue Utara,Pakue,93954
Sulawesi Tenggara,Kolaka Utara,Pakue,Mikuasi,93954
Sulawesi Tenggara,Kolaka Utara,Lasusua,Pucak Monapa,93916
Sulawesi Tenggara,Kolaka Utara,Lasusua,Rante Limbung,93916
Sulawesi Tenggara,Kolaka Utara,Lasusua,Patowonua,93916
Sulawesi Tenggara,Kolaka,Samaturu,Konaweha,93915
Sulawesi Tenggara,Kolaka,Samaturu,Kaloloa,93915
Sulawesi Tenggara,Kolaka,Samaturu,Amomutu,93915
Sulawesi Tenggara,Konawe Selatan,Laonti,Peo Indah,93892
Sulawesi Tenggara,Konawe Selatan,Laonti,Mata Bondu,93892
Sulawesi Tenggara,Konawe Selatan,Laonti,Lawisata,93892
Sulawesi Tenggara,Konawe Selatan,Moramo Utara,Sanggula,93891
Sulawesi Tenggara,Konawe Selatan,Moramo,Pudaria Jaya,93891
Sulawesi Tenggara,Konawe Selatan,Moramo Utara,Puasana,93891
Sulawesi Tenggara,Konawe Selatan,Tinanggea,Torokeku,93885
Sulawesi Tenggara,Konawe Selatan,Tinanggea,Wadanggo,93885
Sulawesi Tenggara,Konawe Selatan,Tinanggea,Watumelewe,93885
Sulawesi Tenggara,Konawe Selatan,Lalembuu / Lalumbuu,Mondoke (Mandoke),93885
Sulawesi Tenggara,Konawe Selatan,Tinanggea,Matandahi,93885
Sulawesi Tenggara,Konawe Selatan,Lalembuu / Lalumbuu,Merongga Raya,93885
Sulawesi Tenggara,Konawe Selatan,Tinanggea,Asingi,93885
Sulawesi Tenggara,Konawe Selatan,Andoolo,Andolo,93884
Sulawesi Tenggara,Konawe Selatan,Baito,Wonua/Wanua Raya,93883
Sulawesi Tenggara,Konawe Selatan,Baito,Mekar Jaya,93883
Sulawesi Tenggara,Konawe Selatan,Palangga Selatan,Lalowua,93883
Sulawesi Tenggara,Konawe Selatan,Baito,Matabubu,93883
Sulawesi Tenggara,Konawe Selatan,Laeya,Punggaluku,93881
Sulawesi Tenggara,Konawe Selatan,Lainea,Pangan Jaya,93881
Sulawesi Tenggara,Konawe Selatan,Lainea,Polewali,93881
Sulawesi Tenggara,Konawe Selatan,Laeya,Ambesea,93881
Sulawesi Tenggara,Konawe Selatan,Laeya,Anduna,93881
Sulawesi Tenggara,Konawe Selatan,Laeya,Ambakumina (Ambukumina),93881
Sulawesi Tenggara,Konawe Selatan,Benua,Puunggawu Kawu (Punggawukawu),93875
Sulawesi Tenggara,Konawe Selatan,Angata,Puao,93875
Sulawesi Tenggara,Konawe Selatan,Angata,Pudambu,93875
Sulawesi Tenggara,Konawe Selatan,Benua,Lamara,93875
Sulawesi Tenggara,Konawe Selatan,Angata,Kasebo,93875
Sulawesi Tenggara,Konawe Selatan,Basala,Iwoi Mendoro,93875
Sulawesi Tenggara,Konawe Selatan,Wolasi,Matawolasi,93874
Sulawesi Tenggara,Konawe Selatan,Konda,Masagena,93874
Sulawesi Tenggara,Konawe Selatan,Wolasi,Leleka,93874
Sulawesi Tenggara,Konawe Selatan,Mowila,Wonua Sari,93873
Sulawesi Tenggara,Konawe Selatan,Landono,Wawobende,93873
Sulawesi Tenggara,Konawe Selatan,Mowila,Wonua Monapa,93873
Sulawesi Tenggara,Konawe Selatan,Landono,Morini Mulya,93873
Sulawesi Tenggara,Konawe Selatan,Mowila,Mowila,93873
Sulawesi Tenggara,Konawe Selatan,Mowila,Mataiwoi,93873
Sulawesi Tenggara,Konawe Selatan,Ranomeeto,Ranomeeto,93871
Sulawesi Tenggara,Konawe Selatan,Ranomeeto,Ranooha,93871
Sulawesi Tenggara,Konawe Selatan,Ranomeeto,Onewila,93871
Sulawesi Tenggara,Konawe Selatan,Andoolo,Wunduwatu,93819
Sulawesi Tenggara,Konawe Selatan,Andoolo,Punggapu,93819
Sulawesi Tenggara,Konawe Selatan,Andoolo,Puundoho,93819
Sulawesi Tenggara,Konawe Selatan,Buke,Tirto/Tirta Wartani,93814
Sulawesi Tenggara,Konawe Selatan,Buke,Silea Jaya,93814
Sulawesi Tenggara,Konawe Selatan,Buke,Tetenggolasa,93814
Sulawesi Tenggara,Wakatobi,Wangi-Wangi Selatan,Mola Selatan,93795
Sulawesi Tenggara,Wakatobi,Wangi-Wangi Selatan,Mola Bahari,93795
Sulawesi Tenggara,Wakatobi,Wangi-Wangi Selatan,Mola Nelayan Bakti/Bhakti,93795
