Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sulawesi Utara,Manado,Sario,Sario Utara,95114
Sulawesi Utara,Manado,Sario,Titiwungen Utara,95113
Sulawesi Utara,Manado,Sario,Sario,95114
Sulawesi Utara,Minahasa Selatan,Ranoyapo,Powalutan,95999
Sulawesi Utara,Minahasa Selatan,Ranoyapo,Ranoyapo (Ranoiapo),95999
Sulawesi Utara,Minahasa Selatan,Ranoyapo,Poopo,95999
Sulawesi Utara,Minahasa Selatan,Ranoyapo,Powalutan,95999
Sulawesi Utara,Minahasa Selatan,Ranoyapo,Ranoyapo (Ranoiapo),95999
Sulawesi Utara,Minahasa Selatan,Ranoyapo,Poopo,95999
Sulawesi Utara,Minahasa Tenggara,Silian Raya,Silian Timur,95998
Sulawesi Utara,Minahasa Tenggara,Silian Raya,Silian Satu,95998
Sulawesi Utara,Minahasa Tenggara,Silian Raya,Silian Selatan,95998
Sulawesi Utara,Minahasa Tenggara,Touluaan Selatan,Bunag,95998
Sulawesi Utara,Minahasa Tenggara,Touluaan Selatan,Kalait,95998
Sulawesi Utara,Minahasa Tenggara,Touluaan Selatan,Banga,95998
Sulawesi Utara,Minahasa Tenggara,Ratatotok,Ratatotok,95997
Sulawesi Utara,Minahasa Tenggara,Ratatotok,Ratatotok Dua,95997
Sulawesi Utara,Minahasa Tenggara,Ratatotok,Ratatotok Muara,95997
Sulawesi Utara,Minahasa Tenggara,Belang,Buku Selatan,95997
Sulawesi Utara,Minahasa Tenggara,Belang,Buku Tengah,95997
Sulawesi Utara,Minahasa Tenggara,Belang,Borgo Satu,95997
Sulawesi Utara,Minahasa Tenggara,Tombatu,Tombatu Satu,95996
Sulawesi Utara,Minahasa Tenggara,Tombatu,Tombatu Tiga Selatan,95996
Sulawesi Utara,Minahasa Tenggara,Tombatu Utara,Tombatu Dua Tengah,95996
Sulawesi Utara,Minahasa Tenggara,Tombatu Timur,Esandom,95996
Sulawesi Utara,Minahasa Tenggara,Tombatu Timur,Esandom Dua,95996
Sulawesi Utara,Minahasa Tenggara,Tombatu Timur,Esandom Satu,95996
Sulawesi Utara,Minahasa Tenggara,Pasan,Tolombukan Satu,95995
Sulawesi Utara,Minahasa Tenggara,Pasan,Tolombukan Barat,95995
Sulawesi Utara,Minahasa Tenggara,Pasan,Tolombukan,95995
Sulawesi Utara,Minahasa Selatan,Sinonsayang,Poigar Dua,95959
Sulawesi Utara,Minahasa Selatan,Sinonsayang,Ongkaw Dua,95959
Sulawesi Utara,Minahasa Selatan,Sinonsayang,Ongkaw Satu,95959
Sulawesi Utara,Minahasa Selatan,Motoling Barat,Tondey Dua,95956
Sulawesi Utara,Minahasa Selatan,Motoling Barat,Tondey Satu,95956
Sulawesi Utara,Minahasa Selatan,Motoling Barat,Tondey (Tondei),95956
Sulawesi Utara,Minahasa Selatan,Kumelembuai,Kumelembuai Atas,95956
Sulawesi Utara,Minahasa Selatan,Kumelembuai,Kumelembuai Dua,95956
Sulawesi Utara,Minahasa Selatan,Kumelembuai,Kumelembuai,95956
Sulawesi Utara,Minahasa Selatan,Amurang Timur,Ranomea,95954
Sulawesi Utara,Minahasa Selatan,Amurang,Ranoketang Tua,95954
Sulawesi Utara,Minahasa Selatan,Amurang Timur,Pinaling,95954
Sulawesi Utara,Minahasa Selatan,Suluun Tareran,Suluun Satu,95953
Sulawesi Utara,Minahasa Selatan,Tareran,Romoong Atas,95953
Sulawesi Utara,Minahasa Selatan,Tareran,Romoong Atas Dua,95953
Sulawesi Utara,Kepulauan Talaud,Melonguane,Mala,95885
Sulawesi Utara,Kepulauan Talaud,Melonguane,Mala Timur,95885
Sulawesi Utara,Kepulauan Talaud,Melonguane,Kiama Barat,95885
Sulawesi Utara,Kepulauan Talaud,Essang Selatan,Sambuara,95883
Sulawesi Utara,Kepulauan Talaud,Essang Selatan,Sambuara Satu,95883
Sulawesi Utara,Kepulauan Talaud,Gemeh,Taruan,95883
Sulawesi Utara,Kepulauan Talaud,Gemeh,Gemeh,95883
Sulawesi Utara,Kepulauan Talaud,Damao (Damau),Birang,95872
Sulawesi Utara,Kepulauan Talaud,Damao (Damau),Akas,95872
Sulawesi Utara,Kepulauan Talaud,Moronge,Moronge Selatan II,95871
Sulawesi Utara,Kepulauan Talaud,Moronge,Moronge Selatan I,95871
Sulawesi Utara,Kepulauan Talaud,Gemeh,Bambung,95883
Sulawesi Utara,Kepulauan Talaud,Kalongan,Kalongan,95871
Sulawesi Utara,Kepulauan Talaud,Tampan Amma,Riung Utara,95882
Sulawesi Utara,Kepulauan Talaud,Tampan Amma,Riung,95882
Sulawesi Utara,Kepulauan Talaud,Pulutan,Daran Utara,95882
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Biaro,Buang,95864
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Biaro,Dalinsaheng,95864
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Tagulandang,Lesah Rende,95863
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Tagulandang Utara,Lumbo,95863
Sulawesi Utara,Kepulauan Talaud,Rainis,Alo Utara,95882
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Tagulandang Selatan,Birarikei,95863
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Tagulandang Utara,Bawoleu,95863
Sulawesi Utara,Kepulauan Talaud,Beo Selatan,Matahit,95881
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Barat Selatan,Tanaki,95862
Sulawesi Utara,Kepulauan Talaud,Beo,Bantik Lama,95881
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Barat Selatan,Talawid,95862
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Barat,Makalehi Utara,95862
Sulawesi Utara,Kepulauan Talaud,Kabaruan,Pannulan,95872
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Barat,Makalehi Timur,95862
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Barat Selatan,Batusenggo,95862
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Barat Utara,Batubulan,95862
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Timur,Tatahadeng (Tatehadeng),95861
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Tengah,Dompase,95861
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Timur,Dame,95861
Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro),Siau Timur,Dame I,95861
Sulawesi Utara,Kepulauan Sangihe,Tabukan Selatan Tenggara,Sampakang,95858
Sulawesi Utara,Kepulauan Sangihe,Tabukan Selatan Tengah,Salurang,95858
Sulawesi Utara,Kepulauan Sangihe,Tabukan Selatan Tenggara,Pintareng,95858
Sulawesi Utara,Kepulauan Sangihe,Tabukan Selatan Tengah,Beeng Laut,95858
Sulawesi Utara,Kepulauan Sangihe,Tabukan Selatan Tengah,Beeng,95858
Sulawesi Utara,Kepulauan Sangihe,Tabukan Selatan,Batuwingkung,95858
Sulawesi Utara,Kepulauan Sangihe,Tabukan Tengah,Bungalawang,95857
Sulawesi Utara,Kepulauan Sangihe,Tabukan Tengah,Biru,95857
Sulawesi Utara,Kepulauan Sangihe,Tabukan Tengah,Bira,95857
Sulawesi Utara,Kepulauan Sangihe,Tabukan Utara,Mala,95856
Sulawesi Utara,Kepulauan Sangihe,Tabukan Utara,Lenganeng,95856
Sulawesi Utara,Kepulauan Sangihe,Tabukan Utara,Likuang,95856
Sulawesi Utara,Kepulauan Sangihe,Tamako,Menggawa II,95855
Sulawesi Utara,Kepulauan Sangihe,Tamako,Menggawa,95855
Sulawesi Utara,Kepulauan Sangihe,Tamako,Makalakuhe,95855
Sulawesi Utara,Kepulauan Sangihe,Manganitu Selatan,Ngalipaeng Satu (I),95854
