Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sumatera Barat,Padang,Padang Barat,Purus,25115
Sumatera Barat,Padang,Padang Barat,Padang Pasir,25112
Sumatera Barat,Padang,Padang Barat,Flamboyan (Plamboyan Baru),25114
Sumatera Barat,Solok Selatan,Sangir Batang Hari,Ranah Pantai Cermin,27779
Sumatera Barat,Solok Selatan,Sangir Batang Hari,Sitapus,27779
Sumatera Barat,Solok Selatan,Sangir Batang Hari,Lubuk Ulang Aling Selatan,27779
Sumatera Barat,Solok Selatan,Sangir Batang Hari,Ranah Pantai Cermin,27779
Sumatera Barat,Solok Selatan,Sangir Batang Hari,Sitapus,27779
Sumatera Barat,Solok Selatan,Sangir Batang Hari,Lubuk Ulang Aling Selatan,27779
Sumatera Barat,Solok Selatan,Sungai Pagu,Sako Utara Pasia Talang,27776
Sumatera Barat,Solok Selatan,Sangir Jujuan,Bidar Alam,27777
Sumatera Barat,Solok Selatan,Sungai Pagu,Pulakek Koto Baru,27776
Sumatera Barat,Dharmasraya,Sungai Rumbai,Sungai Rumbai Timur,27684
Sumatera Barat,Dharmasraya,Asam Jujuhan,Sinamar,27684
Sumatera Barat,Dharmasraya,Sungai Rumbai,Sungai Rumbai,27684
Sumatera Barat,Dharmasraya,Koto Baru,Simalidu,27681
Sumatera Barat,Dharmasraya,Koto Baru,Sialang Gaung,27681
Sumatera Barat,Dharmasraya,Tiumang,Sei/Sungai Langkok,27681
Sumatera Barat,Dharmasraya,Timpeh,Tabek (Penyebrangan),27678
Sumatera Barat,Dharmasraya,Timpeh,Taratak Tinggi,27678
Sumatera Barat,Dharmasraya,Timpeh,Timpeh,27678
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Kamang Baru,Muaro Takuang,27572
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Kamang Baru,Padang Tarok,27572
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Kamang Baru,Kamang,27572
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Sumpur Kudus,Tanjung Bonai Aur,27563
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Sumpur Kudus,Tanjung Bonai Aur Selatan,27563
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Sumpur Kudus,Sumpur Kudus Selatan,27563
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),IV Nagari,Muaro Bodi,27561
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Sijunjung,Silokek,27553
Sumatera Barat,Sijunjung (Sawah Lunto Sijunjung),Lubuak Tarok,Silongo,27553
Sumatera Barat,Sawah Lunto,Talawi,Sijantang Koto,27446
Sumatera Barat,Sawah Lunto,Talawi,Kumbayau,27443
Sumatera Barat,Sawah Lunto,Talawi,Bukik Gadang,27444
Sumatera Barat,Sawah Lunto,Barangin,Balai Batu Sandaran,27422
Sumatera Barat,Sawah Lunto,Lembah Segar,Air/Aia Dingin,27419
Sumatera Barat,Sawah Lunto,Barangin,Lumindai,27421
Sumatera Barat,Solok,Junjung Sirih,Muaro Pingai,27388
Sumatera Barat,Solok,IX Koto Sei Lasi,Guguk Sarai,27388
Sumatera Barat,Solok,IX Koto Sei Lasi,Indudur,27388
Sumatera Barat,Solok,Pantai Cermin,Lolo,27373
Sumatera Barat,Solok,Pantai Cermin,Surian,27373
Sumatera Barat,Solok,Tigo Lurah,Tanjung Balik Sumiso,27372
Sumatera Barat,Solok,Gunung Talang,Batang Barus,27365
Sumatera Barat,Solok,Gunung Talang,Aia Batumbuak,27365
Sumatera Barat,Solok,Kubung,Tanjung Bingkuang,27361
Sumatera Barat,Solok,X Koto Diatas,Tanjung Balik,27355
Sumatera Barat,Solok,X Koto Diatas,Siberambang,27355
Sumatera Barat,Solok,X Koto Diatas,Pasilihan,27355
Sumatera Barat,Solok,Lubuk Sikarah,VI Suku,27311
Sumatera Barat,Solok,Lubuk Sikarah,Tanah Garam,27312
Sumatera Barat,Tanah Datar,Sungayang,Sungayang,27294
Sumatera Barat,Tanah Datar,Tanjung Emas,Saruaso,27281
Sumatera Barat,Tanah Datar,Tanjung Emas,Koto Tangah,27281
Sumatera Barat,Tanah Datar,Tanjung Emas,Pagaruyung (Pagaruyuang),27281
Sumatera Barat,Tanah Datar,Batipuh,Batipuh Ateh (Batipuah Ateh),27265
Sumatera Barat,Tanah Datar,Pariangan,Sungai Jambu,27264
Sumatera Barat,Tanah Datar,Pariangan,Tabek,27264
Sumatera Barat,Tanah Datar,Sungai Tarab,Koto Baru,27261
Sumatera Barat,Tanah Datar,Sungai Tarab,Koto Tuo,27261
Sumatera Barat,Tanah Datar,Lima Kaum,Cubadak,27216
Sumatera Barat,Padang Panjang,Padang Panjang Timur,Koto Katik,27123
Sumatera Barat,Padang Panjang,Padang Panjang Timur,Ngalau,27124
Sumatera Barat,Padang Panjang,Padang Panjang Timur,Ekor Lubuk,27125
Sumatera Barat,Pasaman Barat,Kinali,Katiagan Mandiangin,26567
Sumatera Barat,Pasaman Barat,Kinali,Kinali,26567
Sumatera Barat,Pasaman Barat,Pasaman,Lingkuang Aua,26566
Sumatera Barat,Agam,Lubuk Basung,Manggopoh,26451
Sumatera Barat,Agam,Tanjung Raya,Bayua,26471
Sumatera Barat,Agam,Lubuk Basung,Kampung Tangah,26451
Sumatera Barat,Pasaman,Rao,Padang Metinggi/Mantinggi,26353
Sumatera Barat,Pasaman,Mapat Tunggul,Muara Tais,26353
Sumatera Barat,Pasaman,Tigo Nagari (III Nagari),Malampah,26353
Sumatera Barat,Pasaman,Duo Koto (II Koto),Simpang Tonang,26311
Sumatera Barat,Lima Puluh Koto/Kota,Kapur IX/Sembilan,Muaro Paiti,26273
Sumatera Barat,Lima Puluh Koto/Kota,Kapur IX/Sembilan,Sialang,26273
Sumatera Barat,Lima Puluh Koto/Kota,Harau,Lubuak Batingkok,26271
Sumatera Barat,Lima Puluh Koto/Kota,Harau,Harau,26271
Sumatera Barat,Lima Puluh Koto/Kota,Harau,Batu Balang,26271
Sumatera Barat,Lima Puluh Koto/Kota,Bukik Barisan,Maek,26257
Sumatera Barat,Lima Puluh Koto/Kota,Gunuang Omeh (Gunung Mas),Talang Anau,26256
Sumatera Barat,Lima Puluh Koto/Kota,Bukik Barisan,Banja Laweh,26257
Sumatera Barat,Lima Puluh Koto/Kota,Guguak (Gugu),Kubang,26253
Sumatera Barat,Lima Puluh Koto/Kota,Situjuah Limo/Lima Nagari,Tungka,26252
Sumatera Barat,Lima Puluh Koto/Kota,Akabiluru,Suayan,26252
Sumatera Barat,Lima Puluh Koto/Kota,Payakumbuh,Koto Baru Simalanggang,26251
Sumatera Barat,Payakumbuh,Payakumbuh Timur,Koto Baru,26237
Sumatera Barat,Payakumbuh,Payakumbuh Timur,Koto Panjang,26237
Sumatera Barat,Payakumbuh,Payakumbuh Selatan,Aur Kuning/Aua Kuniang,26228
Sumatera Barat,Payakumbuh,Payakumbuh Selatan,Limbukan,26227
Sumatera Barat,Payakumbuh,Payakumbuh Selatan,Limo Kampung/Kampuang,26227
Sumatera Barat,Payakumbuh,Payakumbuh Barat,Parik/Parit Rantang,26222
Sumatera Barat,Payakumbuh,Payakumbuh Barat,Koto Tangah,26223
Sumatera Barat,Payakumbuh,Payakumbuh Barat,Daya Bangun,26221
Sumatera Barat,Payakumbuh,Payakumbuh Utara,Balai Betung (Batung/Batuang),26216
Sumatera Barat,Payakumbuh,Payakumbuh Utara,Talawi,26216
Sumatera Barat,Payakumbuh,Payakumbuh Utara,Pasir/Pasie,26215
Sumatera Barat,Agam,Baso,Koto Baru III Jorong,26192
Sumatera Barat,Agam,Baso,Koto Tinggi,26192
Sumatera Barat,Agam,IV Angkat Candung (Ampek Angkek),Pasia,26191
Sumatera Barat,Agam,Banuhampu,Kubang Putiah,26181
Sumatera Barat,Agam,Banuhampu,Cingkariang,26181
Sumatera Barat,Agam,Sungai Pua (Puar),Batu Palano,26181
Sumatera Barat,Agam,Malakak,Malalak Utara,26161
Sumatera Barat,Agam,Malakak,Malalak Timur,26161
Sumatera Barat,Agam,Malakak,Malalak Selatan,26161
Sumatera Barat,Agam,Palupuh,Nan Tujuah,26151
Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Birugo,26138
Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Sapiran,26137
