Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sumatera Selatan,Palembang,Ilir Timur II,Lawang Kidul,30111
Sumatera Selatan,Palembang,Ilir Timur II,Kuto Batu,30111
Sumatera Selatan,Palembang,Ilir Timur II,10 Ilir,30111
Sumatera Selatan,Ogan Komering Ulu Timur,Bunga Mayang,Tunas Peracak,32387
Sumatera Selatan,Ogan Komering Ulu Timur,Bunga Mayang,Tulang Bawang,32387
Sumatera Selatan,Ogan Komering Ulu Timur,Bunga Mayang,Suka Baru,32387
Sumatera Selatan,Ogan Komering Ulu Timur,Bunga Mayang,Tunas Peracak,32387
Sumatera Selatan,Ogan Komering Ulu Timur,Bunga Mayang,Suka Baru,32387
Sumatera Selatan,Ogan Komering Ulu Timur,Bunga Mayang,Tulang Bawang,32387
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang Mulya,Sari Guna,32386
Sumatera Selatan,Ogan Komering Ulu Timur,Semendawai Suku III,Mujo Rahayu,32386
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang Mulya,Petanggan,32386
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang III,Nusaraya,32385
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang III,Nusa Tenggara,32385
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang III,Nusa Tunggal,32385
Sumatera Selatan,Ogan Komering Ulu Timur,Cempaka,Ulak Baru,32384
Sumatera Selatan,Ogan Komering Ulu Timur,Cempaka,Negeri Sakti,32384
Sumatera Selatan,Ogan Komering Ulu Timur,Cempaka,Sukabumi,32384
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang II,Sumber Harapan,32383
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang II,Sumber Jaya,32383
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang Mulya,Sukoharjo,32383
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang II,Darma Buana,32383
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang,Tegal Rejo,32382
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang,Triyoso,32382
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang,Serbaguna,32382
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang Jaya,Margo Koyo,32382
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang Jaya,Panca Tunggal,32382
Sumatera Selatan,Ogan Komering Ulu Timur,Martapura,Keromongan,32381
Sumatera Selatan,Ogan Komering Ulu Timur,Jayapura,Bunga Mayang,32381
Sumatera Selatan,Ogan Komering Ulu Timur,Jayapura,Condong,32381
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku III,Suka Damai,32366
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku II,Sri Kencana,32366
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku II,Sri Mulyo,32366
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku II,Banban Rejo,32366
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku III,Banding Agung,32366
Sumatera Selatan,Ogan Komering Ulu Timur,Belitang Madang Raya,Tulus Ayu,32362
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku I,Karta Mulya,32362
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku I,Jatisari,32362
Sumatera Selatan,Ogan Komering Ulu Timur,Madang Suku I,Jaya Bakti,32362
Sumatera Selatan,Ogan Komering Ulu Timur,Buay Madang,Sumber Agung,32361
Sumatera Selatan,Ogan Komering Ulu Timur,Buay Madang Timur,Sukoharjo,32361
Sumatera Selatan,Ogan Komering Ulu Timur,Buay Madang Timur,Sukodadi,32361
Sumatera Selatan,Ogan Komering Ulu Timur,Buay Madang Timur,Limansari,32361
Sumatera Selatan,Ogan Komering Ulu Timur,Buay Madang,Kurungan Nyawa III,32361
Sumatera Selatan,Ogan Komering Ulu Timur,Buay Madang,Kurungan Nyawa II,32361
Sumatera Selatan,Ogan Komering Ulu Timur,Martapura,Kota Baru Selatan,32315
Sumatera Selatan,Ogan Komering Ulu Timur,Martapura,Bukit Sari,32315
