Propinsi,Kota/Kab.,Kecamatan,Kelurahan,Kode Pos
Sumatera Utara,Medan,Medan Helvetia,Helvetia,20124
Sumatera Utara,Medan,Medan Sunggal,Tanjung Rejo,20122
Sumatera Utara,Medan,Medan Helvetia,Dwi Kora,20123
Sumatera Utara,Mandailing Natal,Muara Sipongi,Tamiang Mudo,22998
Sumatera Utara,Mandailing Natal,Muara Sipongi,Tanjung Alai,22998
Sumatera Utara,Mandailing Natal,Ulu Pungkut,Tolang,22998
Sumatera Utara,Mandailing Natal,Muara Sipongi,Tamiang Mudo,22998
Sumatera Utara,Mandailing Natal,Muara Sipongi,Tanjung Alai,22998
Sumatera Utara,Mandailing Natal,Ulu Pungkut,Tolang,22998
Sumatera Utara,Mandailing Natal,Ulu Pungkut,Huta Rimbaru Up (Hutaimbaru),22998
Sumatera Utara,Mandailing Natal,Pakantan,Huta Toras,22998
Sumatera Utara,Mandailing Natal,Ulu Pungkut,Huta Padang Up,22998
Sumatera Utara,Mandailing Natal,Kotanopan,Singengu Julu,22994
Sumatera Utara,Mandailing Natal,Kotanopan,Singengu Jae,22994
Sumatera Utara,Mandailing Natal,Kotanopan,Simpang Tolang Julu,22994
Sumatera Utara,Mandailing Natal,Lembah Sorik Merapi,Pasar Maga,22994
Sumatera Utara,Mandailing Natal,Tambangan,Pastap,22994
Sumatera Utara,Mandailing Natal,Tambangan,Pasar Laru,22994
Sumatera Utara,Mandailing Natal,Tambangan,Lumban Pasir,22994
Sumatera Utara,Mandailing Natal,Tambangan,Laru Baringin,22994
Sumatera Utara,Mandailing Natal,Tambangan,Laru Bolak,22994
Sumatera Utara,Mandailing Natal,Kotanopan,Gunung Tua Sm,22994
Sumatera Utara,Mandailing Natal,Puncak Sorik Marapi/Merapi,Handel,22994
Sumatera Utara,Mandailing Natal,Kotanopan,Botung,22994
Sumatera Utara,Mandailing Natal,Muara Batang Gadis,Huta Imbaru,22989
Sumatera Utara,Mandailing Natal,Sinunukan,Sinunukan III,22988
Sumatera Utara,Mandailing Natal,Sinunukan,Sinunukan IV,22988
Sumatera Utara,Mandailing Natal,Batahan,Batu Sondat,22988
Sumatera Utara,Mandailing Natal,Sinunukan,Banjar Aur Utara,22988
Sumatera Utara,Mandailing Natal,Batahan,Batahan I,22988
Sumatera Utara,Mandailing Natal,Natal,Pasar VI Natal,22987
Sumatera Utara,Mandailing Natal,Natal,Patiluban Hilir,22987
Sumatera Utara,Mandailing Natal,Natal,Pasar II Natal,22987
Sumatera Utara,Mandailing Natal,Batang Natal,Sipogu,22983
Sumatera Utara,Mandailing Natal,Ranto Baek/Baik,Simpang Talap,22983
Sumatera Utara,Mandailing Natal,Langga Bayu (Lingga Bayu),Simpang Koje,22983
Sumatera Utara,Mandailing Natal,Batang Natal,Muara Soma,22983
Sumatera Utara,Mandailing Natal,Ranto Baek/Baik,Muara Bangko,22983
Sumatera Utara,Mandailing Natal,Ranto Baek/Baik,Manisak,22983
Sumatera Utara,Mandailing Natal,Ranto Baek/Baik,Banjar Maga,22983
Sumatera Utara,Mandailing Natal,Batang Natal,Banjar Malayu,22983
Sumatera Utara,Mandailing Natal,Ranto Baek/Baik,Bangun Saroha,22983
Sumatera Utara,Mandailing Natal,Huta Bargot,Sayur Maincat,22978
Sumatera Utara,Mandailing Natal,Panyabungan Utara,Rumbio,22978
Sumatera Utara,Mandailing Natal,Huta Bargot,Mondan,22978
Sumatera Utara,Mandailing Natal,Bukit Malintang,Sidojadi,22977
Sumatera Utara,Mandailing Natal,Naga Juang,Sayur Matua,22977
Sumatera Utara,Mandailing Natal,Bukit Malintang,Malintang Julu,22977
Sumatera Utara,Mandailing Natal,Siabu,Sinonoan,22976
Sumatera Utara,Mandailing Natal,Siabu,Sihepeng,22976
Sumatera Utara,Mandailing Natal,Siabu,Siabu,22976
Sumatera Utara,Mandailing Natal,Panyabungan Selatan,Pagaran Gala-Gala,22952
Sumatera Utara,Mandailing Natal,Panyabungan Selatan,Roburan Dolok,22952
Sumatera Utara,Mandailing Natal,Panyabungan Selatan,Kayu Laut,22952
Sumatera Utara,Mandailing Natal,Panyabungan Kota,Pidoli Dolok,22915
Sumatera Utara,Mandailing Natal,Panyabungan Timur,Tebing Tinggi,22912
Sumatera Utara,Mandailing Natal,Panyabungan Kota,Panyabungan II,22913
